{'短评内容': '设施有些旧。', '短评打分': 4}
{'短评内容': '不错  还有早餐', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '房间大，早餐还可以吧', '短评打分': 5}
{'短评内容': '热情周到的服务，安静舒适，是我的朋友推荐在携程预订的，下次出差还会再过来入住！', '短评打分': 5}
{'短评内容': '环境差，服务更差', '短评打分': 3}
{'短评内容': '酒店环境等一般', '短评打分': 3}
{'短评内容': '酒店交通比较方便，早餐种类有点少哦……', '短评打分': 4}
{'短评内容': '杯子忘在房间，服务员及时发现并送了下来', '短评打分': 4}
{'短评内容': '服务非常好，其他很一般', '短评打分': 4}
{'短评内容': '比想象中好，以为修地铁会很吵，但是双层玻璃关上隔音挺好的，暖气热水很足，早餐简单爽口，整体感觉较舒适，性价比高，不开车的朋友可以选择入住', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '酒店里面的设施也太老了一点吧，早餐根本就没什么选择性，晚上肚子饿了想让房务中心送点吃的东西说是没有！真不知道他们的三星是怎么来的，以后肯定不会住了！', '短评打分': 1}
