{'短评内容': '位置不好找，床该修理一下，停车方便。', '短评打分': 3}
{'短评内容': '位置不错。卫生做的不到位，床单被套好像没有换过，留有前人的东西。。。', '短评打分': 3}
{'短评内容': '楼下就是饭店，还是挺方便的，但是住的环境就不值这个价了，可能大假期间版纳的住宿都贵吧，平时这样的房间顶多200，也没有电梯，很不方便，不推荐。', '短评打分': 4}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': '环境不错，但卫生不好，有待改进。', '短评打分': 3}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '挺好的 住着舒服 房间还算大 有热水 有空调  都挺好的', '短评打分': 5}
{'短评内容': '我入住2晚，客房还可以，比较满意。', '短评打分': 3}
{'短评内容': '价格很高，1月22日，23日价格380元，条件很差，比杭州的一般二星酒店还差，在景洪市有很多别的酒店，设施更好，价格更合理，如山西大酒店，也在不远处。\n而且，云博客栈的服务态度也不够好。', '短评打分': 1}
{'短评内容': '不错的酒店。在网上订的，价钱很便宜。交通也很方便。下次去版纳还会去住的。', '短评打分': 5}
{'短评内容': '酒店位置不错，出行和吃饭都很方便，就是价钱太高了点。', '短评打分': 1}
