{'短评内容': '我看了下酒店别的房间，双人间以上都不错，唯独这个圆床房真的不敢恭维，应该是南方湿气大，屋子里很潮，并且不知道喷了什么香水，味道很熏，有鼻炎的人真的不建议选择这种房间，带窗户应该会好很多，本来打算添钱换带窗户的，但差价太多，网上订的房间还不能退，唉，附近公交车站倒是不少，去市中心步行街需要半个多小时吧，吧台服务不错，卫生也不错，总体还可以吧', '短评打分': 5}
{'短评内容': '卫生一般，设施一般，位置尚可。', '短评打分': 4}
{'短评内容': '没有洗浴用品，洗浴用品收费，没有吹风机，电视看不了！', '短评打分': 3}
{'短评内容': '酒店维修没跟上，显得很陈旧，墙纸也开了，床垫也坏了！', '短评打分': 3}
{'短评内容': '酒店不错、还是很干净，蛮不错的酒店', '短评打分': 5}
{'短评内容': '牙具都没得送，呵呵了', '短评打分': 2}
{'短评内容': '房间气味很大，卫生也不好，床边烟头多！', '短评打分': 2}
{'短评内容': '确实不错，今晚还继续住一晚', '短评打分': 5}
{'短评内容': '长沙市雨花区东和酒店服务设施都很好，交通方便，真的很不错！', '短评打分': 5}
{'短评内容': '不错，就是空调可能开的有点高，有点热', '短评打分': 5}
{'短评内容': '可以，好评。', '短评打分': 5}
{'短评内容': '墙纸又重新贴过了，专修重修搞过了，非常赞', '短评打分': 5}
{'短评内容': '还好', '短评打分': 1}
{'短评内容': '酒店房间相对较宽敞，设施可以，服务态度好', '短评打分': 4}
{'短评内容': '真心一般  当然价钱不贵', '短评打分': 3}
{'短评内容': '拖鞋发臭，床边头发没扫干净，空调不能调温度，洗漱用品全部要收费，抽风机响，闷', '短评打分': 1}
