{'短评内容': '很好很好很好', '短评打分': 5}
{'短评内容': '特别好', '短评打分': 5}
{'短评内容': '特别好', '短评打分': 5}
{'短评内容': '还行。', '短评打分': 5}
{'短评内容': '价格贵', '短评打分': 5}
{'短评内容': '一般一般。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '三星的价格五星的服务', '短评打分': 5}
{'短评内容': '房间干净舒适，服务态度很好', '短评打分': 5}
{'短评内容': '不错啊。。。。。。', '短评打分': 5}
{'短评内容': '恩非常好哈哈哈哈', '短评打分': 5}
{'短评内容': '.', '短评打分': 5}
{'短评内容': '不错不错吧不错挺好的啊', '短评打分': 5}
{'短评内容': '舒适干净', '短评打分': 5}
{'短评内容': '住着舒适干净', '短评打分': 5}
{'短评内容': '环境不错，服务态度也很好，用京东第一次订房感觉很不错，若能和信用付一样不用付押金，我想肯定会更好', '短评打分': 5}
{'短评内容': '不错的酒店，离火车站有点远，但公交车可以直达。下次还来。', '短评打分': 5}
{'短评内容': '很好，环境还不错，好找，方便', '短评打分': 5}
{'短评内容': '酒店设备真心不值这个价', '短评打分': 4}
{'短评内容': '一直都住', '短评打分': 5}
{'短评内容': '酒店空调系统不稳定、好冷、我一个盖了二床被子、才睡着', '短评打分': 4}
{'短评内容': '满意', '短评打分': 5}
{'短评内容': '火车有点吵', '短评打分': 5}
{'短评内容': '贵，旁边还有很多性价比更合适的酒店', '短评打分': 3}
{'短评内容': '在火车站附近，周边各种商场，非常方便，就是房间有点小。。', '短评打分': 4}
{'短评内容': '火车就在楼底下，晚上会有火车鸣笛的声音，怕吵的慎选，房间比较小，洗漱用品要另外消费，有赠送水果，但是如果不吃，续房的时候会拿走再给新的，续房卫生不仔细，拖鞋也不弄整齐，喝过的茶杯也不换，茶叶也不续', '短评打分': 3}
{'短评内容': '火车就在楼底下，晚上会有火车鸣笛的声音，怕吵的慎选，房间比较小，洗漱用品要另外消费，有赠送水果，但是如果不吃，续房的时候会拿走再给新的，续房卫生不仔细，拖鞋也不弄整齐，喝过的茶杯也不换，茶叶也不续', '短评打分': 3}
{'短评内容': '环境不错，很干净，自助早餐挺丰富的，就是附近的火车有点吵！', '短评打分': 5}
{'短评内容': '地理位置好，前台服务好，房间干净，电视也不错，下次再来，肯定还会住的。', '短评打分': 3}
{'短评内容': '酒店环境很好 服务周到 设施齐全 下次还会入住 ', '短评打分': 5}
{'短评内容': '环境不错，就是一进房间消毒水味道很重，值得推荐', '短评打分': 5}
{'短评内容': '靠近火车站，周边环境、房内设施及卫生等都不错', '短评打分': 5}
{'短评内容': '这样的价格，这样的地段性价比还不错了，房间虽小了点，卫生还可以。', '短评打分': 5}
{'短评内容': '感觉还不错，住的标双。', '短评打分': 3}
{'短评内容': '很好不错位置好打车方便房间装修很精致就是卫生间味道比较大', '短评打分': 5}
{'短评内容': '环境不错，就是有点吵', '短评打分': 3}
{'短评内容': '很不错的酒店！交通方便！就是靠铁路的一面比较吵！', '短评打分': 5}
{'短评内容': '很不错，装修很舒适，小而精。只是时常会有楼下火车过路的声音，不过声音不算大，可以接受', '短评打分': 5}
{'短评内容': '酒店环境蛮不错！', '短评打分': 3}
{'短评内容': '酒店设施比较有新意.也比较高档.卫生.服务都还不错。以后会继续来的', '短评打分': 5}
{'短评内容': '很吵，楼下就有火车经过，不远处就是火车站，在这个交通枢纽，噪音可想而知', '短评打分': 1}
{'短评内容': '酒店设施还可以， 但是电梯太少， 等候时间长。更要命的是管理混乱， 明明没有在mini吧消费， 却说消费了，后来虽然没有收费， 但是耽误了很多时间。烦躁！', '短评打分': 1}
{'短评内容': '服务不错，就是房间小了点', '短评打分': 3}
{'短评内容': '酒店环境不错，床很舒服，网速超快，在闹市区但是不怎么吵，下次还住，物超所值了！', '短评打分': 5}
{'短评内容': '装修很时尚精致，地理位置很方便，这价格感觉物有所值，下次还会来。唯一感觉就是这投资人太喜欢用鬼子货，电视是东芝的，中央空调是日本大金，马桶是TOTO，为什么就不用德国货呢，坚决抵制日货。', '短评打分': 5}
{'短评内容': '房间小，楼下是火车，晚上全是火车鸣叫声。早餐没见过更差的。这里还是铁路工作人员的宿舍。', '短评打分': 3}
