{'短评内容': '307很吵，隔音不好，馬桶不太通。', '短评打分': 4}
{'短评内容': '地点行，房间沒有備免費水。', '短评打分': 4}
{'短评内容': '房间比较安静，卫生，离市中心也很近', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还行吧，环境卫生都还可以', '短评打分': 4}
{'短评内容': '挺好的 但酒店改名字了 现在叫品优 现在叫品优 现在叫品优', '短评打分': 5}
{'短评内容': '首先说酒店的服务真的差到位了，前台爱理不理的，我也是做服务行业的，你这样的员工倒贴我钱我都不会要，半夜回来怕打扰同住的，我主动出示身份证说补张房卡，她居然说你给我这个干嘛？你报房号不就可以了吗？如果这是你们酒店的标准，我觉得你们安全方面真的存在很大问题，自己想想，其次进入客房，那个卫生间真的叫一个烂，上面滴凉水 花洒忽冷忽热，卫生间马桶不出水，还有早上起来一次性牙刷的牙膏没有那种盖子可以刺透塑封口', '短评打分': 1}
{'短评内容': '还可以吧，给个好评', '短评打分': 5}
{'短评内容': '携程订房的性价比挺好！谢谢！ ', '短评打分': 4}
{'短评内容': '房间很大，有可躺沙发很舒服。', '短评打分': 3}
{'短评内容': '总体都不错了，前台态度很好，还可以借用吹风机哦', '短评打分': 5}
{'短评内容': '环境很好，方便便利，值得推荐', '短评打分': 5}
{'短评内容': '环境很好，方便便利，值得推荐', '短评打分': 5}
{'短评内容': '房间挺大的，卫生间热水也很好，还有衣柜和衣架，很满意', '短评打分': 3}
{'短评内容': '听我同事说还不错，比较干净！以后还会来的。', '短评打分': 5}
{'短评内容': '好，服务很好......前台素质很高。。。', '短评打分': 5}
{'短评内容': '还是不错的   干净整洁   不过靠窗的豪华双标确实很吵   外面从8点开始一家小超市一直在大喇叭放广告  不过不影响  我睡眠好', '短评打分': 5}
{'短评内容': '订的豪华标间，里面设施一般，不值这个价，早餐很差', '短评打分': 1}
{'短评内容': '连续住了4晚，酒店隔音不好，环境吵杂，早餐品种少，总体感觉一般', '短评打分': 3}
{'短评内容': '还行吧  早餐不给力。交通方便。个别地方有点小脏。', '短评打分': 5}
{'短评内容': '房间较大  门头简陋', '短评打分': 3}
{'短评内容': '还不错，老速8的风格，入住结账办理速度都很快，只是早餐有待丰富！', '短评打分': 5}
{'短评内容': '不错不错，离琅琊山也挺近。就是停车比较困难。', '短评打分': 5}
{'短评内容': '服务态度不错，价格便宜，可免费打长途，离南湖公园也挺近。', '短评打分': 5}
{'短评内容': '预约价比挂牌价格还高,很不爽!', '短评打分': 3}
{'短评内容': '还不错，就是窗口蛮吵，卫生一般\n还不错，就是窗口蛮吵，卫生一般\n还不错，就是窗口蛮吵，卫生一般\n还不错，就是窗口蛮吵，卫生一般', '短评打分': 5}
{'短评内容': '过得去吧 本来经济型酒店没太多要求，滁州也没太多选择', '短评打分': 3}
{'短评内容': '干净卫生、设施陈旧', '短评打分': 3}
{'短评内容': '这个速8太一般呀，太一般，不知道你信不信，反正我信了。', '短评打分': 1}
{'短评内容': '条件太差，早餐也不行，只是有个优点，打长途电话不要钱，给力', '短评打分': 5}
{'短评内容': '环境很好，早餐也很不错', '短评打分': 3}
{'短评内容': '比起其他地方的速8来要差点。一大早还停电也没有通知。环境一般', '短评打分': 5}
{'短评内容': '交通方便，设施稍微旧了些。作为快捷酒店，还行吧', '短评打分': 5}
{'短评内容': '服务态度 不好，硬件设施还可以！希望老板可以改进；', '短评打分': 5}
{'短评内容': '环境设施很普通，临街窗户为单层，噪音太大了。夜里2层还有人吵架，4楼的人都能被惊动了。可见隔音多么的差。', '短评打分': 1}
{'短评内容': '早餐太差，基本没什么可吃，酒店停车场也比较拥挤。卫生条件还可以，房间隔音效果不好。', '短评打分': 1}
{'短评内容': '里办事的地方很近,有早餐还不错的,但内容一般般.卫生还可以,服务一般吧.', '短评打分': 5}
{'短评内容': '房间设计不合理，豪标居然在马路边上，夜晚太过于吵闹，而且房间味道太刺鼻，洗手间毛巾看起来都脏兮兮的不太敢用。最让人气愤的是，早晨7点左右就开始有装修的声音，电钻、铁锤一起上。打总台电话至少有五次，没见一个客服人员上来给任何解释，结账时让前台找客服经理，结果小姐直接把一个登记入住的客人晾一边，用高分贝嗓门与我们对理，直到经理来了还一直指责我们的声音比她大。弄的我都要怀疑她是客人还是我们是前台？？？', '短评打分': 1}
{'短评内容': '很好，非常不错的，空间大，服务态度也不错', '短评打分': 5}
{'短评内容': '很好，值得入住，下次去别的城市会留意同一连锁店', '短评打分': 5}
{'短评内容': '隔音太差，楼层配备的管理员职责不到位，夜里有旅客太吵无人管理', '短评打分': 5}
{'短评内容': '前台态度一般，只有早餐，没有午晚餐，房间有怪味，不是费用紧张的不建议住这里。不远处的滁州国际酒店看起来要好得多。也就贵100块钱', '短评打分': 1}
{'短评内容': '：这次定的大床间还挺宽敞的，比上次的标间都大。但卫生纸啊，毛巾啊，电脑上网都还不能令人满意…\r\nCandy', '短评打分': 3}
{'短评内容': '交通方便，比较干净。就是早餐不怎么样，不是太丰富。', '短评打分': 5}
{'短评内容': '这个店已经被速8给开除了吧，不过还是要去住住的哦', '短评打分': 5}
{'短评内容': '9很好，服务很好', '短评打分': 3}
{'短评内容': '挺好的，环境挺好的 数字电视 可以上网 地点挺好的 市中心', '短评打分': 5}
{'短评内容': '还不错的，房间挺干净整洁，床也挺舒服的，也很安静。比较不错。', '短评打分': 5}
{'短评内容': '烟味太浓,回来后全身上上下下都是烟味，前台态度很差', '短评打分': 1}
{'短评内容': '不推荐入住，理由如下：\r\n1、财产安全得不到妥善保障。别的快捷酒店都看门口的车子，此店柜员回答不看。\r\n2、隔音太差。对门口走过的不大脚步声、隔几个房间之外的拖拽物品声，房内听得一清二楚。尤其在夜里11点到2点客人频频入住，不堪其扰。\r\n3、设计严重不合理。在二楼，早餐食堂在最里面，清早时，频频进出的“食客”路过你的房门，一个字——吵。\r\n4、没有诚信。入住给我们的房间是靠楼梯的，我们看了后，想换', '短评打分': 1}
{'短评内容': '这酒店不错，推荐', '短评打分': 5}
{'短评内容': '环境不错，离市中心也不远，交通便利，附近有超市、饭店，比较方便', '短评打分': 5}
{'短评内容': '感觉周围环境一般，里面服务人员也一般。下次去滁州，如果是去开发区那边，应该住城市酒店可能更好些', '短评打分': 5}
{'短评内容': '滁州没的选 ', '短评打分': 5}
{'短评内容': '首先，这家酒店有单人房，比较便宜，但是不在网上卖，网上都是卖的比较贵的房间。第二，我入住的时候笔记本连不上网，应该是IP地址的问题，打电话到前台，前台让我重启机器，重启了还是不行，我建议前台让网管上来帮我看一下，网管人没上来，打电话说了一大堆，还是不行，前前后后打了4，5次电话要求让网管上来，可就是不上来，才三楼啊，而且前台并不忙，办公室里有好几个人，没有一个管我这个事。', '短评打分': 1}
{'短评内容': '靠马路的房间，即使是豪华的也噪音太大了！\r\n房间还挺舒服的，在滁州这算不错了。床是一大一小，网速由于到得太晚，没试过。', '短评打分': 5}
{'短评内容': '在滁州算是性价比比较高的酒店了，还比较卫生，早餐一般般吧，还是比较值得推荐的酒店', '短评打分': 5}
{'短评内容': '靠火车站不远，一出门就是一条热闹的街，晚饭后正好可以逛逛。房间设施齐全，卫生、清洁、干净。让我这个一向在外住宿很挑剔的人感到满意。唯一不足的是早餐太简单，质量不好，在这方面要加强就更好了。', '短评打分': 5}
{'短评内容': '停车场小！！', '短评打分': 5}
{'短评内容': '设施什么的还可以，早餐也还过得去，就是位置偏了些，不过也还好，不会太吵', '短评打分': 5}
{'短评内容': '卫生、设施等还不错，就是房间的隔音效果差了些，性价比还不错', '短评打分': 5}
{'短评内容': '此酒店在滁州性价比不算高 房间设施较旧 隔音太差', '短评打分': 1}
{'短评内容': '位置稍微偏僻了一点，但是酒店卫生不错，很干净，靠窗的房间不推荐，隔音效果很差，外面很吵', '短评打分': 5}
{'短评内容': '性价比不错的酒店，该有的设施全部都有，卫生情况也不错。电视的频道很多，总得来说还是比较满意的', '短评打分': 5}
{'短评内容': '设施有些陈旧,卫生和服务方面都还可以,位置还是挺方便的,舒适度也比较好的.性价比还是比较不错的.', '短评打分': 3}
{'短评内容': '酒店设施一般，并且早餐实在是烂的没话说，根本没有什么可吃的东西。距离景区大概10分钟车程。', '短评打分': 5}
{'短评内容': '房间很大，但是设施有点旧了~总的来说还算不错~', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '性价比很高', '短评打分': 5}
{'短评内容': '地理位置还可以，就是有点吵', '短评打分': 3}
{'短评内容': '酒店的隔音效果太差了.其它方面还是可以的.卫生和设施相对来讲很一般.服务也不错.', '短评打分': 3}
{'短评内容': '酒店的服务还不错,但是价格稍高了一些,房间设施还不错,因为城市本身很小所以酒店位置打车还是很好找到的.', '短评打分': 3}
{'短评内容': '酒店的条件很一般，卫生情况不好，感觉墙角都有发霉的情况，而且房间不隔音，给我们安排临街的房间很吵的。', '短评打分': 3}
{'短评内容': '在滁州这个地方来看总体还不错', '短评打分': 5}
{'短评内容': '停车不方便，网速慢，', '短评打分': 1}
{'短评内容': '非常人性化的一家酒店.有种到家的感觉..非常不错', '短评打分': 5}
{'短评内容': '这家酒店的性价比还是蛮不错的,住起来感觉还是不错的,值得推荐', '短评打分': 5}
{'短评内容': '酒店服务卫生方面还是不错的房间里的设施方面也还可以；位置有点偏了，周边交通不是很方便的，早餐也不是很丰盛，整体感觉价格还算比较合适的。', '短评打分': 5}
{'短评内容': '上次去的时候正赶上酒店电梯坏了，所以拿着行礼上楼很不方便，价格一般，不过其他方面都挺好的，挺方便的,内部环境也不错，住着也还可以。', '短评打分': 5}
