{'短评内容': '不会再去第二次的地方', '短评打分': 4}
{'短评内容': '蚊子不是一般的多，不开窗户都有蚊子，我都不知道那来的那么多，打不完，几天晚上尽打蚊子了，强烈建议给入住的客人提供电蚊香或者蚊香，', '短评打分': 3}
{'短评内容': '除了设施有点陈旧其他都好', '短评打分': 5}
{'短评内容': '双人房间可以充电的插头就一个松动的，想充电都困难。设施陈旧，地毯什么的都很脏。而且住了两天这宾馆竟然第二天都没给我们换一次性牙刷这些，服务真的差到爆，大堂经理态度也特别差。反正这次是我住过最差的一次体验了，绝对差评', '短评打分': 1}
{'短评内容': '可以，性价比高', '短评打分': 5}
{'短评内容': '虽然房间设施旧，但是性价比还是蛮高的，我在这里住了八天。服务态度好，热水好，还有暖气，晚上洗的衣服，早上就干爽了。住在二环内交通便利。', '短评打分': 5}
{'短评内容': '虽然房间设施旧，但是性价比还是蛮高的，我在这里住了八天。服务态度好，热水好，还有暖气，晚上洗的衣服，早上就干爽了。住在二环内交通便利。', '短评打分': 5}
{'短评内容': '位置很好出于西安的繁华地带，虽然设施比较老旧但是打扫的很干净，交通方便，附近有很多大型购物中心，价格实惠。', '短评打分': 5}
{'短评内容': '房间基本还可以，就那个价嘛', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错～', '短评打分': 5}
{'短评内容': '对得起这个价格，设施有点旧，', '短评打分': 4}
{'短评内容': '酒店不错，周围繁华，房间大，舒适干净', '短评打分': 5}
{'短评内容': '可以，帮朋友订的。', '短评打分': 5}
{'短评内容': '环境不错，出行便利，值得推荐', '短评打分': 5}
{'短评内容': '环境不错，出行便利，值得推荐', '短评打分': 5}
{'短评内容': '环境不错，出行便利，值得推荐', '短评打分': 5}
