{'短评内容': '总体来说一般', '短评打分': 3}
{'短评内容': '房间有点旧，房型也不好，没电梯，早餐一般。不太好。', '短评打分': 4}
{'短评内容': '房间有点旧，房型也不好，没电梯，早餐一般。不太好。', '短评打分': 3}
{'短评内容': '性价比高', '短评打分': 5}
{'短评内容': '宾馆位置不太好早，总体还不错。', '短评打分': 3}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '房间通透，卫生清洁，值得推荐', '短评打分': 3}
{'短评内容': '房间内设施老旧，价格便宜，一分钱一样货，不差钱的别去了。', '短评打分': 3}
{'短评内容': '还不错，房间挺大，卫生也还可以，离目的地很近！', '短评打分': 3}
{'短评内容': '就是没有电梯', '短评打分': 3}
{'短评内容': '＋房间设施比较全，大床房还有电脑，就是厕所有点味！', '短评打分': 3}
{'短评内容': '标B的房间不小，但是地毯看起来很脏，所以入住时换了标A。前台服务不错，就是早上找不到楼层服务员。早餐还可以，但是必须要7点准时去用餐，否则可选择性就很小了。第一天8点下去的，几乎没什么吃的了，第二天7点30下去的，已经有两个热菜空了，总之：菜量太小。对了，没电梯。', '短评打分': 5}
