{'短评内容': '蛮好的', '短评打分': 5}
{'短评内容': '房间还行', '短评打分': 5}
{'短评内容': '房间不错', '短评打分': 5}
{'短评内容': '前台的服务也很热情，很喜欢，而且价格实惠，房间又大又安静，环境很好，比较干净卫生，Wifi很快，打游戏都没掉过线，太棒了，很满意得一家酒店，推荐大家入住，赞一个，会常来的', '短评打分': 5}
{'短评内容': '订的早还是涨价啦！后面涨的更恐怖！环境一般', '短评打分': 4}
{'短评内容': '房间很漂亮', '短评打分': 5}
{'短评内容': '还可以     这个价           东西落酒店了  打电话过去还给帮忙找到了', '短评打分': 4}
{'短评内容': '服务很好  价位合适', '短评打分': 5}
{'短评内容': '帮出差的同事订的酒店，特意交代要给好评！为什么好评没告诉我咯，回头问一问看~~~~~~~~~~~~~ ', '短评打分': 4}
{'短评内容': '促销价98，这个价格比较切合实际，适合做钟点房，你懂的……', '短评打分': 4}
{'短评内容': '都很一般 ', '短评打分': 3}
{'短评内容': '价格实惠加实在，门口还有brt方便快捷', '短评打分': 4}
{'短评内容': '。。。。。。呵', '短评打分': 5}
{'短评内容': '很一般的酒店，入住的当晚连电视信号也没有，进入房间就有一股发霉的味道，感觉很不好，因为当天雨下的很大，又是一家人出行，也就没有再挑了，匆忙住了一宿第二天一早就撤了。', '短评打分': 3}
