{'短评内容': '刚刚评了，高大尚超值', '短评打分': 4}
{'短评内容': '感觉高大尚，便宜的价格超值', '短评打分': 4}
{'短评内容': '不含早餐，代预订的', '短评打分': 5}
{'短评内容': '一般', '短评打分': 5}
{'短评内容': '很好………………………………………………', '短评打分': 5}
{'短评内容': '不错不错 很满意 便宜', '短评打分': 5}
{'短评内容': '质量非常好，与卖家描述的完全一致，非常满意,真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物', '短评打分': 5}
{'短评内容': '京东商城预定的酒店，跟单服务还要加强，总体来说还是比较满意的。', '短评打分': 5}
{'短评内容': '京东商城预定的酒店，跟单服务还要加强，总体来说还是比较满意的。', '短评打分': 5}
{'短评内容': '酒店在当地算最好的，早餐品种齐全。还赠送了孩子的早餐券，服务还是很不错。酒店位置距离黄姚古镇和姑婆山都不远，交通便利。房间设施算不错的。唯一不足就是二楼餐厅出品有待改善。', '短评打分': 5}
{'短评内容': '很好，非常好。下次再来。', '短评打分': 5}
{'短评内容': '不错不错，在贺州能有这样的酒店算不错，离高铁站也不远，不用经过市区，离步行街逛街也不远，打滴滴也就7快钱', '短评打分': 4}
{'短评内容': '酒店门前大马路灰尘大', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '服务很好', '短评打分': 5}
{'短评内容': '酒店新，性价比高！早餐丰富！', '短评打分': 5}
{'短评内容': '前台服务态度很好，房间干净，下次出游继续订这间酒店。', '短评打分': 5}
{'短评内容': '环境整洁，干净', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': 'Very good hotel, it is big room , good food, comfortable bed. ', '短评打分': 3}
{'短评内容': '觉得很不错，那边风景很美，行程也很紧凑', '短评打分': 4}
{'短评内容': '酒店一般，价格不贵', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
