{'短评内容': ' 挺好的', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '不错不错', '短评打分': 5}
{'短评内容': '挺好的！！！！！！！！一次还住这里！！！！！！！评论好累啊！！！！！！！！怎么还不够字数啊？？？？？？好了，够了！！！', '短评打分': 5}
{'短评内容': '服务真的不行，酒店居然给我打电话，说网上订房订超了，问我要不要换另一个酒店？？？！！！这应该是你们酒店的问题吧！', '短评打分': 4}
{'短评内容': '在网上订的性价比很高，环境和设施一般，房间卫生酒店服务也很好，周边很热闹吃饭也很方便，唯一不好的就是停车位太少。', '短评打分': 4}
{'短评内容': '很好，，，，，，，，，，，，，，', '短评打分': 5}
{'短评内容': '很好，很好，非常好！！！！！', '短评打分': 5}
{'短评内容': '服务态度挺好，离火车站不远，干净卫生，环境不错，，性价比挺好，值得入住，附近吃饭的地方也挺多的，挺好', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '房间挺干净', '短评打分': 1}
{'短评内容': '环境不错啊', '短评打分': 4}
{'短评内容': '挺好的，唯一不足，被子掀开后发现有头发，就一根～～～算了，凑合住吧！', '短评打分': 4}
{'短评内容': '房间很大', '短评打分': 4}
{'短评内容': '嗯。。。。。。。。。。', '短评打分': 3}
{'短评内容': '餐厅价格偏贵', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '服务很好  住的很舒服', '短评打分': 5}
{'短评内容': '住了很多次了，感觉不错，价格实惠，返卷还多！', '短评打分': 5}
{'短评内容': '房间宽敞明亮，但周边餐饮娱乐很少      \n！', '短评打分': 5}
{'短评内容': '房间还行，挺大，\r遗憾的是沒有电脑', '短评打分': 3}
{'短评内容': '房间很宽敞，也很干净，服务员态度也不错。', '短评打分': 5}
{'短评内容': '总的来说不错，房间很大很新，就是楼层隔音效果差，楼上脚步声太大！', '短评打分': 5}
{'短评内容': '新开的分店，装修不错，服务也不错，性价比很好', '短评打分': 5}
{'短评内容': '我非常喜欢住锦江之星，这家锦江之星硬件设备很好，只是服务员态度实在是不敢恭维', '短评打分': 5}
{'短评内容': '我也算在外面混了8年了，每年大概有200天住在酒店里。但必须承认，从一开始，我就错了。这次要不是金都、凯悦之流都没有房间，也住不到这里来。锦江之星肯定比全国所有的3星强，比内陆地区的4星强。下次还要住！', '短评打分': 5}
{'短评内容': '  一如既往的方便热情，卫生好，管理完善，那位男的前台是我这么多年来住过不计其数的酒店中屈指可数的留下深刻良好服务印象的男同胞。', '短评打分': 3}
{'短评内容': '很好，房间很大，干净。吃饭购物可计入房费。但发票章不是锦江之星，前台人员解释说这是加盟店。', '短评打分': 5}
{'短评内容': '一个好酒店！', '短评打分': 3}
{'短评内容': '在漯河性价比很好的酒店了，房间很大干净舒适', '短评打分': 5}
{'短评内容': '位置不错，整层都是锦江之星自己的，房间也还不错，住的是标间，但是床一个大一个小，问了前台说都是这样的。 看到有套房，但是只有单人床，建议能开双人床，然后价格可以比标间高一些也可以接受', '短评打分': 5}
{'短评内容': '房间很大，很好。连锁酒店当中，锦江之星是我的首选哦...', '短评打分': 5}
{'短评内容': '空间较大且干净，但隔音效果不是很好,值得入住。', '短评打分': 5}
{'短评内容': '总体来说还行，就是我6点左右就到店他非要8点后才能入住，不然今天12点就是一天。还我干等了两个多小时。', '短评打分': 3}
{'短评内容': '房间很宽敞，卫生不错。到晚了，没有车位了。', '短评打分': 5}
{'短评内容': '锦江在连锁酒店里算是最好的了，干净，安静这一点其它连锁酒店做得都不怎么好', '短评打分': 5}
