{'短评内容': '服务狠热情', '短评打分': 4}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '性价比很高的酒店，值得再次入住', '短评打分': 5}
{'短评内容': '环境不错，方便', '短评打分': 5}
{'短评内容': '饭菜比较好吃', '短评打分': 5}
{'短评内容': '房间很干净！很不错的酒店，物美价廉', '短评打分': 5}
{'短评内容': '很不错，很舒服。', '短评打分': 5}
{'短评内容': '酒店性价比很高，开会入住的，房间卫生，自助餐实惠，早餐品种略少，但够吃了。', '短评打分': 5}
{'短评内容': '每次都好评，确实价格环境都没的话', '短评打分': 5}
{'短评内容': '每次来都住这里', '短评打分': 5}
{'短评内容': '这酒店真不错', '短评打分': 5}
{'短评内容': '价格优惠，环境很好下次来继续住', '短评打分': 5}
{'短评内容': '很实惠，很够档次', '短评打分': 5}
{'短评内容': '帮朋友代订，距离出差地交通方便', '短评打分': 3}
{'短评内容': '帮朋友代订，交通方便', '短评打分': 3}
{'短评内容': '不错很好', '短评打分': 5}
{'短评内容': '很不错呢，管理，环境，周边出行也方便，下此来还住这', '短评打分': 5}
{'短评内容': '环境真不错，地点也方便，距离市中心近，早餐很赞。', '短评打分': 5}
{'短评内容': '酒店很好，服务也很周到，房间就是少了点吃的零食。', '短评打分': 5}
{'短评内容': '很不错的酒店，服务和环境都可以，出行很方便，早餐也很丰富，下次还会入住。', '短评打分': 5}
{'短评内容': '酒店装潢大气，服务意思可以', '短评打分': 3}
{'短评内容': '环境很不错，性价比高', '短评打分': 3}
{'短评内容': '客房间设施很新，地理位置很好，特别是门口的停车场，房间挺干净的，早餐物超所值！！', '短评打分': 5}
{'短评内容': '酒店整体感觉很好，房间很宽敞很感觉，价钱也很合理，个人很喜欢这家酒店，地理位置也还不错，交通方便，服务到位，值得尝试的一家酒店', '短评打分': 5}
{'短评内容': '豪华房间设施齐全，和一般五星级宾馆相仿，但价格便宜多了，推荐入住', '短评打分': 3}
{'短评内容': '住的挺舒服的\n环境挺好的\n交通便利', '短评打分': 3}
