{'短评内容': '床很好。空调不够热。性价比很高。', '短评打分': 5}
{'短评内容': '如果选快捷酒店的话～～～还是选择别家吧～～周边环境不好～～～～房间里面隔音不好～～～很吵～～睡不好～～', '短评打分': 1}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '酒店还不错，性价比挺好', '短评打分': 4}
{'短评内容': '服务有道硬件给力', '短评打分': 4}
{'短评内容': '位置还行，房间有点小。', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '房间内不需要插卡就有电 自己开车去的话只有大门口有免费停车位 如果开进地下停车场的话 还是不要选这里了 你把停车费加到房费里可以选更好的酒店了 地下停车场真的太贵了 而且隔壁是一家饭店 免费的地面停车位饭点的时候去的话几乎停不到', '短评打分': 4}
{'短评内容': '赞', '短评打分': 5}
{'短评内容': '周边没啥吃的，还有建筑工地比较荒感觉，酒店隔音一般般。屋内麻雀虽小 五脏俱全，设计的比较实用。一楼吃早餐地方不大，周边打车不好打，需要软件叫车，离地铁口也要走个十分十五分钟。', '短评打分': 4}
{'短评内容': '房间还算干净。问题是晚上旁边有k房，虽然声音不是很大。早上8点多楼上有装修的声音，比较吵。', '短评打分': 5}
{'短评内容': '总的还可以', '短评打分': 4}
{'短评内容': '说实话这个地方我以后都不会再去第二次，完全配不上这个价格', '短评打分': 2}
{'短评内容': '标准双人间 竟然还有一个床是榻榻米 醉了', '短评打分': 4}
{'短评内容': '我是凌晨到的 早就做了预授权预定而且也写了到店时间较晚 结果到了酒店前台没人喊了半天 进了房间后发现床单非常脏 上面还有很多碎头发 真的是只能穿着衣服将就了几个小时 另外酒店好难找 是因为酒店的招牌灯都没亮 晚上根本看不到 不会再住了', '短评打分': 1}
{'短评内容': '还好', '短评打分': 4}
{'短评内容': '还好', '短评打分': 4}
{'短评内容': '房间卫生，性价比很高，宜必思的品牌确实值得信赖。停车确实不便', '短评打分': 5}
{'短评内容': '蛮好的酒店，安静，比较干净。不过没有面巾，这点比较麻烦', '短评打分': 5}
{'短评内容': '酒店很新很干净，房间也不算小，紧凑合理。遗憾是停车的地方太小，只有门前一小块。', '短评打分': 3}
{'短评内容': '房间很新很干净，酒店非常靠近地铁站，已多次入主权，很不错\n', '短评打分': 5}
{'短评内容': '＋环境挺好，服务周到，价格适宜，值得再次入住。唯一缺点房间内没梳子虚去前台拿', '短评打分': 3}
{'短评内容': '还不错,看上去很干净,前台的英文水平还蛮高的', '短评打分': 3}
{'短评内容': '位置很好，比较卫生，可是没有中晚饭不方便。', '短评打分': 5}
{'短评内容': ',酒店新开的，环境不错，性价比高。', '短评打分': 3}
{'短评内容': '开始的时候进入酒店 感觉大堂和周围环境不错 可是这次入住搞得心情极度的差 首先办好入住手续进房间的时候 房间乱的一塌糊涂 上一位住客退房后明显没有打扫房间 然后前台给我们办理了换房 换了一个房间后 热水不热 房间没有饮用水 找前台要吹风机久久要不来 最后直到睡下吹风机都没有送来 房间没有梳子···总之这次入住导致心情很不舒服 宜必思酒店不该是这样子的硬件和软件呀？不过 床铺睡得还算很舒服的。希望抓', '短评打分': 1}
{'短评内容': '房间和其他宜必思一样小的可怜，尤其是卫生间。入住后发现床单枕套都没换，还有不少头发在上面，告知酒店才给换的干净床品。酒店位置不是很好，虽然离地铁站不远，但周围饭店，商店都不多，不太方便。看来是仓促开业，酒店结账暂不能刷信用卡，发票要到三月份才会有，不知道上海市的税务局是怎么管理的。如果论性价比，和以前住过的其他品牌的快捷酒店有不小的差距。', '短评打分': 1}
