{'短评内容': '还可', '短评打分': 5}
{'短评内容': '总体感觉很差，就像读书时代开钟点房的感觉', '短评打分': 1}
{'短评内容': '真的很吵很吵，简直无法入睡，酒店的隔音效果很差，不值这个价钱，可能是靠近路边的缘故噪音比较大，但是里面的隔音效果真的一言难尽', '短评打分': 3}
{'短评内容': '还不错，房间有点小', '短评打分': 4}
{'短评内容': '方便卫生', '短评打分': 5}
{'短评内容': '带了俩个箱子放在前台俩天了 很好的房间 好评', '短评打分': 5}
{'短评内容': '好好好好好好，非常好，超级好。要不到台的好。', '短评打分': 5}
{'短评内容': '还好，就要是房间小了点', '短评打分': 4}
{'短评内容': '帮朋友订的 她们去考试 离那边方便', '短评打分': 5}
{'短评内容': '房间看起来很久 电视只能收到十几个台，而且有一半都是雪花点太多，没法看。空调也是很旧，制热效果不太行。房间隔音效果真是是个大问题。没有电梯这个倒不是大问题，上下楼就当锻炼身体了。', '短评打分': 4}
{'短评内容': '房间小就算了，窗户不隔音，晚上睡觉马路过车很吵，来住几次都是给五楼的房间，没有电梯要自己爬楼梯。一天能塞几次小卡片，最惊悚的是午夜过后塞卡片的人还拧我房间的门把手，吓死人了。半夜走廊里男男女女说话声、走路声、高跟鞋声，吓得我后半夜都不敢睡了。感觉不安全，下次不要来住了！', '短评打分': 3}
{'短评内容': '淋浴间简直了', '短评打分': 2}
{'短评内容': '还可以 不错 方便', '短评打分': 5}
{'短评内容': '花洒是一个亮点，用它洗澡就是发现细水喷出，没有发现负离子作用，或许感受不到。', '短评打分': 3}
{'短评内容': '还可以吧，方便一点，。。。', '短评打分': 3}
{'短评内容': '交通方便，还可以吧。。', '短评打分': 3}
{'短评内容': '没有电梯，服务态度不好，房间有异味', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '设施较差五层没电梯，房间很小。环境很吵', '短评打分': 3}
{'短评内容': '特别干净，服务很周到，感到很舒服，会再光顾的，', '短评打分': 5}
