{'短评内容': '不错的酒店，朋友很满意', '短评打分': 5}
{'短评内容': '还行吧，干净', '短评打分': 5}
{'短评内容': '这是第一次', '短评打分': 4}
{'短评内容': '适合带孩子出行', '短评打分': 5}
{'短评内容': '卫生、交通方便', '短评打分': 5}
{'短评内容': '离地铁口近，繁华地段', '短评打分': 5}
{'短评内容': '不错不错不错', '短评打分': 5}
{'短评内容': '很方便 房间太小', '短评打分': 5}
{'短评内容': '风景不错，房间干净', '短评打分': 5}
{'短评内容': '親戚來上海辦事,離家近,價格親民,簡潔舒適.', '短评打分': 5}
{'短评内容': '今天刚刚入住，发现房间好小。简直就是刚刚转身，房间不见得多干净。还要三百六十一晚上。悲催', '短评打分': 2}
{'短评内容': '这地段的如家都这么贵了，反正不值500，200多还行', '短评打分': 4}
{'短评内容': '不错的。', '短评打分': 5}
{'短评内容': '以前从来不知道评论，不知道浪费多少积分，自从知道美团评论能顶现金的时候才知道评论重要性，最后我就把这段话复制了，走到哪，复制到那，既能赚积分，还非常省事。特别是再也不用费脑子的苦思冥想了，非常好', '短评打分': 5}
{'短评内容': '以前从来不知道评论，不知道浪费多少积分，自从知道美团评论能顶现金的时候才知道评论重要性，最后我就把这段话复制了，走到哪，复制到那，既能赚积分，还非常省事。特别是再也不用费脑子的苦思冥想了，非常好', '短评打分': 5}
{'短评内容': '以前从来不知道评论，不知道浪费多少积分，自从知道美团评论能顶现金的时候才知道评论重要性，最后我就把这段话复制了，走到哪，复制到那，既能赚积分，还非常省事。特别是再也不用费脑子的苦思冥想了，非常好', '短评打分': 5}
{'短评内容': '以前从来不知道评论，不知道浪费多少积分，自从知道美团评论能顶现金的时候才知道评论重要性，最后我就把这段话复制了，走到哪，复制到那，既能赚积分，还非常省事。特别是再也不用费脑子的苦思冥想了，非常好', '短评打分': 5}
{'短评内容': '还不错的，下午6点前到店停车不方便，要等周边下班后，才有停车位空出来。', '短评打分': 4}
{'短评内容': '好的', '短评打分': 5}
{'短评内容': '好的', '短评打分': 5}
{'短评内容': '帮朋友预订的，如家也就这样子，交通方便，卫生不会太脏就可以了', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '到周边旅行比较方便，蓝村路地铁站比较近', '短评打分': 4}
{'短评内容': '很不错，比较新', '短评打分': 5}
