{'短评内容': '离地铁五六分钟路程', '短评打分': 5}
{'短评内容': '酒店环境不错', '短评打分': 4}
{'短评内容': '还不错吧。', '短评打分': 5}
{'短评内容': '位置有点偏，其他都挺好', '短评打分': 5}
{'短评内容': '有停车场，距地铁站几分钟路程。', '短评打分': 4}
{'短评内容': '酒店很安静，周边环境不错', '短评打分': 4}
{'短评内容': '挺干净的，也很安静', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '整体感觉不错', '短评打分': 5}
{'短评内容': '虽然位置偏了一点，但是各方面条件都挺好的！已经住过好几回了，以后有机会还会再去住的！不过，得住单间，有阳台，住的更加舒服！', '短评打分': 5}
{'短评内容': '房间挺干净的，离考场也近，赞一个！', '短评打分': 5}
{'短评内容': '酒店装修很上档次，服务也很周到，是出差及旅游不错的选择，性价比相对也较高，交通便利，很有特色，非常值得选择！', '短评打分': 5}
{'短评内容': '环境不错，服务好，性价比很高，强烈推荐', '短评打分': 5}
{'短评内容': '环境不错，餐饮也不错', '短评打分': 5}
{'短评内容': '招待所做到这样可以了，环境安静！！！！', '短评打分': 5}
{'短评内容': '安静，安全。门口修地铁路不好走，有车还是可以。早餐像吃食堂，还不错。', '短评打分': 3}
