{'短评内容': '王馨怡，生于1991年7.28。                  卒于2017年12.10。      死因，嗯(⊙_⊙)，有可能是咋死的。', '短评打分': 5}
{'短评内容': '差的不是一丁半点', '短评打分': 1}
{'短评内容': '酒店就在南锣巷里，前厅和星巴克相通，晚上逛回来信手一杯咖啡，很惬意！出门右手不到50米就到外大街，打车也很方便。离地铁站也很近。1000米左右，', '短评打分': 5}
{'短评内容': '挺好的蛮好的 大家都觉得蛮好的 ', '短评打分': 5}
{'短评内容': '酒店不错~前台服务人员炒鸡nice ', '短评打分': 5}
{'短评内容': '就是床小了', '短评打分': 5}
{'短评内容': '6号管家十分不错～服务态度特别好～', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '挺不错', '短评打分': 5}
{'短评内容': '比较安静，交通方便，但酒店设施一般', '短评打分': 4}
{'短评内容': '很好！交通便利！', '短评打分': 5}
{'短评内容': '一如既往的好，吃喝玩乐都很方便！推荐！！！', '短评打分': 5}
{'短评内容': '古香古色  挺好', '短评打分': 5}
{'短评内容': '环境很好，很安静', '短评打分': 5}
{'短评内容': '前台美女很热心!酒店地理位置很赞，就在古巷里，出行，吃饭非常方便!这次北京之旅相当惬意!', '短评打分': 5}
{'短评内容': '还算可以吧', '短评打分': 4}
{'短评内容': 'ok', '短评打分': 4}
{'短评内容': '床太小了 房间也小 不好', '短评打分': 3}
{'短评内容': '非常??特别风格的酒店，就是没有行李员，有时候网络不好', '短评打分': 5}
{'短评内容': '还不错，装修古色古香，地段也很好，而且一直弥漫着咖啡香～', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
