{'短评内容': '服务好，房间干净卫生。', '短评打分': 5}
{'短评内容': '酒店在三二三医院正对面', '短评打分': 5}
{'短评内容': '干净整洁，就是隔音效果有点差', '短评打分': 5}
{'短评内容': '不错，挺干净的，附近都方便', '短评打分': 5}
{'短评内容': '挺好的～', '短评打分': 5}
{'短评内容': '酒店位置比较好，交通方便', '短评打分': 5}
{'短评内容': '超值的感受', '短评打分': 5}
{'短评内容': '还好', '短评打分': 4}
{'短评内容': '周边交通不错，离三二三和建大比较近，整体还可以吧。', '短评打分': 4}
{'短评内容': '过的去吧！！！！！！！！！', '短评打分': 4}
{'短评内容': '一般吧！隔音很差劲！', '短评打分': 4}
{'短评内容': '我们住的房间电视看上几分钟就提示什么“干扰……”出来旅游也累了，索性就不看吧！叫总台也没精力了。入住时卫生间有一滩沐浴液在地上，也不知怎么做的卫生？隔音不好，关门的阵阵声音让人特没安全感。除了这些，酒店地段还是不错的，况且价格不高当然不能高标准要求。因为我携程选酒店也一定会查评价，所以认真评价给下位选择者', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '酒店还不错，尤其是工作人员服务态度好', '短评打分': 5}
{'短评内容': '凑合，感觉不值这个价', '短评打分': 3}
{'短评内容': '酒店位置还可以周边吃的挺多，就是隔音不好', '短评打分': 3}
{'短评内容': '酒店比较干净，地理位置离景区稍远些，有点吵', '短评打分': 2}
{'短评内容': '发票不给力，打印发票还得去另外一家店，领导每次住酒店之后还得派人再去拿发票，然后再给他寄过去，很不方面，希望尽快改进吖', '短评打分': 5}
{'短评内容': '昨天就入住了，今天还要住一天，这个价位，这个地段，还是很不错的。', '短评打分': 5}
{'短评内容': '酒店还不错，就是开发票很麻烦，结账的时候拿不到发票，发票还得去另外的地方打印，我给领导拿发票去了3次还没拿到，希望酒店能予以改进', '短评打分': 5}
{'短评内容': '给领导订的房间，领导觉得很不错，就是商务单间小了点，没地方挂衣服~希望酒店改进', '短评打分': 5}
{'短评内容': '挺不错的，很干净。旁边有个小超市  对面还有一家炒菜蛮不错的。', '短评打分': 5}
