{'短评内容': '位置环境服务设施好', '短评打分': 5}
{'短评内容': '位置环境服务设施好', '短评打分': 5}
{'短评内容': '交通不方便', '短评打分': 4}
{'短评内容': '好！', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '酒店在海甸岛，过了世纪大桥就到，酒店外观非常大气，房间比较舒适，环境宁静安逸，工作人员的服务热情周到，住的很温馨很满意，说下次还来这家酒店！值得推荐！', '短评打分': 4}
{'短评内容': '其他都好，就是蚊子太多了', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '亟需提高管理水平', '短评打分': 3}
{'短评内容': '位置不错，环境也好', '短评打分': 5}
{'短评内容': '好型', '短评打分': 2}
{'短评内容': '不错，经常住。', '短评打分': 5}
{'短评内容': '酒店硬件不错，周边环境好，有游泳池，就是吃饭不方便', '短评打分': 4}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '环境整洁，干净卫生，服务态度好', '短评打分': 5}
{'短评内容': '还好还好还好还好还好还好还好还好还好还好还好还好还好还好还好还好还好还好还好还好还好还好还好还好', '短评打分': 5}
{'短评内容': '外面的环境还不错，靠海边，有泳池温泉，可是房间没想像的好。电梯一个人坐也有点怕怕的。', '短评打分': 5}
{'短评内容': ' 房间很新很干净。港式早茶不错。窗帘不遮光影响睡眠。楼道没地毯噪音较大。', '短评打分': 3}
{'短评内容': '楼下是诊所太无敌了', '短评打分': 3}
{'短评内容': '房间装修很讲究，住着也很舒服。床比较大，三人睡也很宽。', '短评打分': 5}
{'短评内容': '房间很宽敞明亮，酒店里面环境卫生干净。挺喜欢的。', '短评打分': 5}
{'短评内容': '从来没有见过这样的5星酒店，入住的时候，你明明定的是海景，他不给你，下午回来换，开个门要快30分钟，服务员明明看到你在门口站着，居然依旧气定神闲的用小方步缓缓走了，解决不了就走，没有一点歉意，还有这家酒店很偏，没有出租车，所谓酒店的车又贵，最主要的是并不是他们酒店采购的车，而是外面叫来的黑车。强烈建议不要再上当！！！', '短评打分': 1}
{'短评内容': '這酒店不應該用温泉海景四字,入住時房間只看見車,後投訴轉了房但亦只看到遠遠的一小段海邊,温泉池只有樹葉及垃圾但無水,原打算住两天最後還是第二天轉了酒店,不過有一樣驚喜是西餐廳食品卻不俗.', '短评打分': 1}
{'短评内容': '酒店比较新，卫生还可以，房间很小，和描述的不符，海景房根本看不到海，从角落里看到一点点枯竭干涸的海边，周围环境很差，没有任何值得看的地方。', '短评打分': 5}
{'短评内容': '新酒店，设施不错就是地势比较偏远，交通不便。叫的很困难。', '短评打分': 1}
{'短评内容': '入住', '短评打分': 3}
{'短评内容': '这次没住到靠海边的房间，不过感觉也不错，房间超大，很温馨，适合一家人住。', '短评打分': 5}
{'短评内容': '温泉池没开，游泳池也没开。高级海景房，开始给的房根本看不到海，换了一间后才总算在缝里看到了黄色的大海', '短评打分': 3}
{'短评内容': '酒店就像家庭旅馆，确实临海，但是完全没有景色，旁边都是工地。早茶还不错，房间倒也干净，', '短评打分': 1}
{'短评内容': '溫泉設施本人入住時關閉，詢問前台服務人員仍告知可以使用，致使臨時購買泳褲無法使用，同時午餐時養生中餐廳有老鼠出沒，實在無法接受！！', '短评打分': 1}
{'短评内容': '可以，酒店不错，网上定购非常好，价格低，而享受好', '短评打分': 5}
{'短评内容': '    环境不错，房间卫生干净，可能是开张不久没啥人气，有点遗憾，我们入住时游泳池在维修，没有尝试过温泉。', '短评打分': 5}
{'短评内容': '酒店很新,就是交通指示不清楚,出租车司机找了半天才找到', '短评打分': 5}
{'短评内容': '不错的酒店，性价比比较高，环境可以。可以推荐。', '短评打分': 5}
{'短评内容': '到海口办事，看到特价298（不含早），住了两晚。总体感觉达不到5星标准，但是房间还是很不错的，一室一厅很大，我们一家3口入住很舒服。温泉就几个小池子，不咋的。周边荒凉，没有饭店和商店，打车不方便，酒店可以叫车，但是价格贵一些。中餐厅味道不错，价格贵，一般一个蔬菜在38元以上。\n推荐中餐厅的早茶，非常火爆，好多当地人都来吃的，品种味道都很好。我们第一天大点一番，吃了150元，剩了好多，第二天有经验了', '短评打分': 5}
{'短评内容': '房间不错,面积大,很舒服,连住三晚,以后还住这里.', '短评打分': 3}
{'短评内容': '7728房', '短评打分': 3}
