{'短评内容': '非常好非常满意', '短评打分': 5}
{'短评内容': '服务很好，环境很好', '短评打分': 5}
{'短评内容': '不错的地段，不错的体验', '短评打分': 5}
{'短评内容': '服务好，', '短评打分': 5}
{'短评内容': '位置好，交通方便', '短评打分': 5}
{'短评内容': '环境太老旧了，不推荐，墙都看到能掉皮，', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '地理位置好服务好', '短评打分': 5}
{'短评内容': '挺好的，地理位置很好找，就是屋里太潮，这个价位非常难得了', '短评打分': 5}
{'短评内容': '离地铁口较近，:比较安静，早上睡到白然醒', '短评打分': 5}
{'短评内容': '酒店位置不错，到后海很方便，环境总体不错，卫生得体，就是房间比较小，毕竟是北京，也算理解', '短评打分': 5}
{'短评内容': '吾消费京东商城数年，深知各产品琳琅满目。然，唯此宝物与众皆不同，为出淤泥之清莲。', '短评打分': 5}
{'短评内容': '还不错还不错还不错的哦', '短评打分': 5}
{'短评内容': '非常好，用京东很方便，主要是放心', '短评打分': 5}
{'短评内容': '总体一般吧，过去这么长时间了才来点评，已经没啥印象了。还有二十四个字叫我写点啥呢？还剩十个字了应该够了吧。', '短评打分': 4}
{'短评内容': '酒店附近多景点，近地铁。适合旅行，去长城也方便', '短评打分': 5}
{'短评内容': '挺好的，很方便', '短评打分': 5}
{'短评内容': '这是我见过最差的汉庭酒店，一下子把汉庭的标准拉的很低很低，房间脏的不像样，我甚至都不想用马桶和洗脸池，墙壁到处都是脏的，感觉客房卫生基本没做，还是说北京所有同类型的酒店都是如此…失望…', '短评打分': 2}
{'短评内容': '环境不错。', '短评打分': 5}
{'短评内容': '......SFASDFbucuode yishidbushzidao', '短评打分': 5}
{'短评内容': '不啊唾沫加Q不公平不过', '短评打分': 5}
{'短评内容': '还可以，如果是便宜的标间，就是不和普通房子在一栋', '短评打分': 5}
{'短评内容': '地段不错，过对面马路就是地铁，去什刹海，烟袋斜街很方便。酒店设施比较老旧，毛巾有破损的，半夜暖气也不热。', '短评打分': 4}
{'短评内容': '地点好，2号线上来就是，经济型酒店OK', '短评打分': 5}
{'短评内容': '总体，我对汉庭影响蛮好的，不过北京这家算一般般，上海住的比较好，环境很安静，还提供水果，内部设施也很丰富方便。这家就是南面靠近马路，稍稍有点声音，可能背面的好一点，就是没阳光了。', '短评打分': 5}
{'短评内容': '开车去的比较好找，出行地铁很方便。', '短评打分': 5}
{'短评内容': '地理位置很好，地铁边上去哪都方便，住的房间在过道门边，房间门隔音不好开关门很吵，床单有点污垢。', '短评打分': 4}
{'短评内容': '住了以后才发现其实那个方位 7天更方便 不过值得表扬的是汉庭的服务态度还是可以的 房间的暖气效果也不错 总体来说 睡睡还是可以的 另外 如果房间挑的好的话 我想应该会比7天安静 ', '短评打分': 1}
{'短评内容': '环境非常好，交通方便，周围吃饭的地方也多，不错！', '短评打分': 5}
{'短评内容': '非常好，以后还会住。交通方便，也不吵闹。', '短评打分': 5}
{'短评内容': '我是第一次去到北京，也是第一次找酒店，都是在网上预订了，选了又选，最终选了汉庭，总体来看还是比较不错的，别的店怎么样不知道，这家还是值得表扬的，下次还会考虑的。', '短评打分': 5}
{'短评内容': '在北二环边上，但又绿化隔离带，环境还是不错的，闹中取静。去鼓楼还需要走一段距离，但顺便逛逛也不错。', '短评打分': 5}
{'短评内容': '酒店离2号线鼓楼站很近，比较方便，房间干净整洁，我住的房间是面向居民区的一面，晚上睡觉比较安静，遗憾的是附近没看到超市，稍有些不方便，还有如果提供早餐就更好 ', '短评打分': 5}
{'短评内容': '交通方便，服务态度很好。其他都差不多，有金卡会比较好，早餐单买不值那价。', '短评打分': 5}
{'短评内容': '地理很方便，下次还会入住。\n不足：靠马路这边晚上很吵，早上7点就车水马龙了。', '短评打分': 5}
{'短评内容': '地理位置好，房子尚整洁。卫生间设施一般，尤其是抽水马桶不好用。', '短评打分': 5}
{'短评内容': '地理位置不错，离二号线鼓楼站很近。到南锣鼓巷也很方便，做个三轮车10块钱就到了。就是房间很小，近300的价位感觉有点贵。', '短评打分': 5}
{'短评内容': '交通快捷，出行方便，房间舒适，服务尚可，餐饮还说得过去。', '短评打分': 5}
{'短评内容': '酒店离地铁站很近,面向主干道的房间有点吵', '短评打分': 3}
{'短评内容': '前台服务态度好\n房屋隔音好，挨着2环也不吵\n冬天取暖不错\n离地铁近\n到后海附近逛也方便\n', '短评打分': 5}
{'短评内容': '离地铁站很近，步行5分钟就到。设施挺新的。住的一楼，光线不好。', '短评打分': 5}
{'短评内容': '地铁较方便................................................', '短评打分': 5}
{'短评内容': '很干净，地理位置也好，离地铁站很近。推荐！', '短评打分': 5}
{'短评内容': '酒店地理位置很好，很方便，靠近鼓楼，什刹海，后海等，出行便利', '短评打分': 5}
{'短评内容': '汉庭还是不错的。比7天好多了。起码不管特价不特价，会员不会员，一次性的用品还是给了。还有一瓶矿泉水喝。7天抠门的恨不得连毛巾都不让用。干脆别特价了', '短评打分': 5}
{'短评内容': '不错，挺好找的,房间设施都挺好.就是周边吃饭的地方不多.', '短评打分': 5}
{'短评内容': '酒店很干净，很舒服，地理位置非常好！是不错的选择哦！', '短评打分': 3}
{'短评内容': '不错，服务很周到。所处位置很方便。房间干净卫生', '短评打分': 5}
{'短评内容': '交通位置很好，离地铁口较近，附近景点较多', '短评打分': 5}
{'短评内容': '该酒店所在的德胜门东大街晚上没有商业，感觉比较冷清，但走多几步，来到酒店附近的旧鼓楼大街，由于正在建地铁，又有点杂乱；但是该酒店离地铁很近，所以要坐地铁去北京各处还是非常方便的，酒店的设施还不错，就是住的那天晚上正准备试通暖气，暖气管道有点噪音，不过把阀门关掉就基本没有声音了，汉庭的百元房确实很超值。', '短评打分': 5}
{'短评内容': '很干净，虽然在二环边，也不吵杂。服务人员素质比较高，还是挺满意的。美中不足的是房间里没有咖啡提供，必须出去购买。', '短评打分': 5}
{'短评内容': '很干净，床很大，地方很好找，交通很方便，就是有点潮湿，房间灯光不是很好', '短评打分': 3}
{'短评内容': '位置不错，离2号线的鼓楼站很近，不行几分钟就到了。酒店还算安静，房间不大，早餐的种类和质量有点差强人意了。', '短评打分': 5}
