{'短评内容': '环境还可以  卫生挺好 遗憾没有拍照', '短评打分': 5}
{'短评内容': '酒店环境一般，房间较小，房间多，也蛮乱，感觉不好。', '短评打分': 3}
{'短评内容': '房间太差', '短评打分': 2}
{'短评内容': '刚刚装修的，一般吧！', '短评打分': 3}
{'短评内容': '可以', '短评打分': 4}
{'短评内容': '真不怎么地。我反应了洗澡不方便的问题，只有服务员上去看了一下说没办法就算了，我说想调个房间也不行。总体评价一般。', '短评打分': 1}
{'短评内容': '打电话确认了几遍  说房间有窗子 结果付款到了发现根本没有（一点多到的，说有窗的定完了 我就呵呵了） 取消只能退第二天的房钱 第一天退不了 直接没有住 白花了198 走了 失望', '短评打分': 1}
{'短评内容': '隔音太差，很无语', '短评打分': 4}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '第一次住主题酒店感觉还不错！离博览中心打车也就26', '短评打分': 5}
{'短评内容': '只能说将就睡下', '短评打分': 1}
{'短评内容': '好！！！！！！！！！', '短评打分': 5}
{'短评内容': '不好不差，床有点不干净！', '短评打分': 3}
