{'短评内容': '下次去还会选择', '短评打分': 5}
{'短评内容': '很好，前台也好', '短评打分': 5}
{'短评内容': '还可以，在大昭寺边上', '短评打分': 5}
{'短评内容': '酒店位置佳', '短评打分': 5}
{'短评内容': '酒店位置非常好，重新装修了', '短评打分': 5}
{'短评内容': '古色古香，宾至如归。', '短评打分': 5}
{'短评内容': '  一般', '短评打分': 3}
{'短评内容': '就在大昭寺门口附近。不过门口是批发商城，人比较多。', '短评打分': 4}
{'短评内容': '帮驴友订的，应该还不错', '短评打分': 4}
{'短评内容': '环境不错，周围很方便！', '短评打分': 4}
{'短评内容': '地理位置特别好！', '短评打分': 4}
{'短评内容': '感觉一般', '短评打分': 4}
{'短评内容': '位置很好，就在大昭寺旁边，去周围也非常方便，就是设备老旧，晚上无暖气，这个季节很冷啊！', '短评打分': 4}
{'短评内容': '位置在步行街，出租车不直接到。有高反怕活动的就别住了。', '短评打分': 3}
{'短评内容': '性价比超高，价位适中，酒店设施干净整洁，上档次，在大昭寺周边应该是最好的了。', '短评打分': 5}
{'短评内容': '双比单好，住前检查房间，及时更换，忠告。', '短评打分': 3}
{'短评内容': '酒店肥皂质量次，洗两下就碎了，毛巾过于陈旧，屋里空气不好！门脸不临街，晚回来不安全，不符合4星标准！', '短评打分': 3}
{'短评内容': '酒店地理位置好，房间硬件设施还可以，早歺炒菜水平有待提高！', '短评打分': 5}
{'短评内容': '位置极佳，酒店硬件还可以，停车方便，保安很仗义，前台藏族职员工作热情，基本满意，推荐。', '短评打分': 3}
{'短评内容': '酒店房间还是很不错的，住的很舒服，早餐种类少了点', '短评打分': 5}
{'短评内容': '唐卡酒店的服务太差，说好接机，到时没来，以后不会再订唐卡酒店', '短评打分': 3}
{'短评内容': '优点：位于老城区中心，离大昭寺和八角街都很近，周围有很多手工艺品店铺，房间内空间和装修都不错，酒店很多外国人住，足以证明酒店的档次，早餐也还算可以。\n缺点：门口所在的宇拓路不能通车，必须步行二三百米才能拦车，如果拿着很多行李不太方便。', '短评打分': 5}
{'短评内容': '酒店不错交通很方便', '短评打分': 3}
{'短评内容': '刚住进来，环境不错，还安静。感觉挺好的，前台帅哥还免费给我们升级了。', '短评打分': 3}
{'短评内容': '这个酒店给我的感觉挺好的，而且酒店的餐厅做的菜也很不错噢\n就在大昭寺的旁边，非常方便。', '短评打分': 5}
{'短评内容': ' 没有能洗澡的热水，房间温度太低', '短评打分': 3}
{'短评内容': '酒店走廊没灯，看不见开门。', '短评打分': 3}
{'短评内容': '酒店地点非常优越，紧邻大昭寺广场。出去逛八角街实在是太方便了，累了还能回酒店小睡一下。酒店设施齐全，干净，整洁。周边环境较好。需要改进的地方：浴室下水设计缺陷，洗澡后水会把厕所变成游泳池；电视频道少的可怜而且信号差；空调实在是太不给力了（冬天）。望改进，整体推荐。', '短评打分': 5}
{'短评内容': '离大昭寺和布达拉宫都很近，没高原反应可以走着去。', '短评打分': 5}
{'短评内容': '居住环境很好，有车接送民航局。离大昭寺很近，没事就可以去看看信众祈福。', '短评打分': 5}
{'短评内容': '位置很好，旁边就是大昭寺。提醒各位，标间才有空调，一张床，不管大床小床都是没有空调的哦', '短评打分': 5}
{'短评内容': '性价比不错,房间也不错,就是想坐车要步行一段,酒店位于大昭寺后的步行街上', '短评打分': 5}
{'短评内容': '位置很方便，前台服务员非常热情，可能住的人多了，晚上水不是很热', '短评打分': 5}
{'短评内容': '前台很热情，帮了我们很多~本来以为会冷，结果非常暖和，热水也很充足。', '短评打分': 5}
{'短评内容': '藏式酒店，干净整洁舒适，交通非常便利，处在闹市但晚上很安静。', '短评打分': 5}
{'短评内容': '唐卡还算是一家蛮有特色的酒店，我很喜欢室内的藏式装饰，推荐大家来小住品味一下', '短评打分': 3}
{'短评内容': '来拉萨主要就是感觉各种藏式东西，今天去林芝，回来还住这里', '短评打分': 5}
