{'短评内容': '这样的酒店很好！值得信赖的', '短评打分': 5}
{'短评内容': 'ewogICJDb21tZW50VG90YWwiIDogMzc1LAogICJIb3RlbElkIiA6IDE4ODkwMDUsCiAgIlJvb21MaXN0IiA6IFsKICAgIHsKICAgICAgIlJvb21JZCIgOiA1MzgyMjI2LAogICAgICAiUm9vbU5hbWUiIDogIuWkp+W6iuaIvyIKICAgIH0sCiAgICB7CiAgICAgICJS', '短评打分': 5}
{'短评内容': 'ewogICJDb21tZW50VG90YWwiIDogMzc1LAogICJIb3RlbElkIiA6IDE4ODkwMDUsCiAgIlJvb21MaXN0IiA6IFsKICAgIHsKICAgICAgIlJvb21JZCIgOiA1MzgyMjI2LAogICAgICAiUm9vbU5hbWUiIDogIuWkp+W6iuaIvyIKICAgIH0sCiAgICB7CiAgICAgICJS', '短评打分': 5}
{'短评内容': '环境很好，方便', '短评打分': 5}
{'短评内容': '好评是刷出来的吧。位置很偏，就在一栋老楼里的两层楼，且附件是批发市场，晚上货车、摩托车、装货卸货的声音，完全睡不着。一晚上就睡了四小时。附近根本没啥饭店，都是批发市场的苍蝇馆子，你敢去？这个价位，是因为附近酒店少才这么会吧，还不如莫泰如家一百多的。当时早知道这么吵，我宁愿不要这两百多也会果断走人。一晚上没睡好，连累第二天玩都没精神。这是我来武汉最最错误的决定了。', '短评打分': 2}
{'短评内容': '最后没住，朋友推荐的，说是还不错，下次有机会再试一下吧', '短评打分': 5}
{'短评内容': '进门的一瞬间就给人满室的浪漫与温馨。直线条的造型，简约风格的搭配，房间干净、整齐。在十分充足的阳光下，顿时显得轻松、舒适、自然', '短评打分': 5}
{'短评内容': '前台服务员服务太差，房间还可以，有车的朋友千万别去，停车费太贵，10元一个小时，停一晚上都可以在开一间房了！', '短评打分': 1}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '房间大，干净整洁', '短评打分': 4}
{'短评内容': '挺干净，房间大', '短评打分': 4}
{'短评内容': '还不错  ', '短评打分': 5}
{'短评内容': '环境优美，地处交通便利、酒店干净卫生', '短评打分': 5}
{'短评内容': '满意', '短评打分': 4}
{'短评内容': '房间很小，但很卫生一般般', '短评打分': 3}
{'短评内容': '酒店地方还不错，很安静，也是武汉百年汉正街地方，很繁华，出门外面就是汉江，酒店服务员挺好，早餐也很好，大家放心的住。', '短评打分': 5}
{'短评内容': '还可以比较整洁明亮', '短评打分': 3}
{'短评内容': '在一栋综合楼的中间层里，电梯很难等，周边很嘈杂，吃饭不方便', '短评打分': 3}
{'短评内容': '还不错的酒店，靠近江边。就是打车不太方便', '短评打分': 5}
{'短评内容': '这里的预授权居然不能撤销。', '短评打分': 3}
