{'短评内容': '很一般吧，周围没有太好的酒店，只能将就', '短评打分': 3}
{'短评内容': '很一般吧，周围没有太好的酒店，只能将就', '短评打分': 3}
{'短评内容': '很一般吧，周围没有太好的酒店，只能将就', '短评打分': 3}
{'短评内容': '很一般吧，周围没有太好的酒店，只能将就', '短评打分': 4}
{'短评内容': '空间很大，暖气很好', '短评打分': 5}
{'短评内容': '一般般！地方比较偏！最不爽的网上显示有免费接送车！到店了却说没有', '短评打分': 2}
{'短评内容': '拉基两个字够了', '短评打分': 1}
{'短评内容': '环境不怎么样，卫生间下水道有问题', '短评打分': 2}
{'短评内容': '这个房型空气差点，旁边是监狱。其他还过得去jiuniuguajiweisloklvzjihllowrpllwypinmuqinlk', '短评打分': 5}
{'短评内容': '酒店还是不错的，wpogongtilogjiuqujijingtuilimintijiugujijitilogmindialqunalujll', '短评打分': 5}
{'短评内容': '环境还可以', '短评打分': 5}
{'短评内容': '房间挺干净的', '短评打分': 5}
{'短评内容': '服务一般 设施比较差 外面太吵了', '短评打分': 2}
{'短评内容': '不好啊！', '短评打分': 3}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '交通不便，附近无地铁。打的也不好打。好在酒店有车免费送去车站机场。格林豪泰比较不爽的地方就是无餐厅，以后尽量不考虑住它。', '短评打分': 4}
{'短评内容': '到的晚了，只有毯子没有被子，其他都还好', '短评打分': 5}
{'短评内容': '也就是能说得上是一般，唯一的好处能够免费接送虹桥火车站和机场！', '短评打分': 3}
{'短评内容': '简单干净，服务态度还是蛮好的。有点不好的是，没有放置洗衣皂，没有早餐，总体来说，还是可以的。', '短评打分': 5}
{'短评内容': '说是车接 让我等了50分钟 房间设施差 有异味', '短评打分': 1}
{'短评内容': '太偏远，环境也不算好。特别冲凉的地方太小了！', '短评打分': 1}
{'短评内容': '停车场无人管理；前台还说不能刷卡；服务员非常不专业，去时候电话不下5个，竟然说不上来在什么位置；时不时从门缝里塞几张卡片，这类事情竟然都不能杜绝；服务态度非常不好。以后坚决不入住这一家，也会阻止我的朋友们前往。', '短评打分': 1}
{'短评内容': '酒店的洗手间臭呀，是下水道冲上来的味道，臭死了，酒店的被子太薄，一晚都是和衣睡的，可怜极了', '短评打分': 1}
{'短评内容': '酒店紧邻高架桥，窗户是单层的且已经很陈旧，根本关不严，晚上高架桥全是大车且不时按气喇叭，一晚上根本不能入睡。', '短评打分': 1}
{'短评内容': '普普通通 只是很吵 很吵 服務人員很熱心 ', '短评打分': 5}
{'短评内容': '1.设施差  2.隔音效果差  2.房间太小  ', '短评打分': 1}
{'短评内容': '优点：房间大，服务好，有班车去飞机场和火车站，价格也比较实惠。\n缺点：距离高架桥近，马路这边的房间噪声很大。', '短评打分': 5}
{'短评内容': '整体还算可以，住的豪华房干净，只是天上的飞机有些吵，平均十几分钟一机掠过，看飞机很清晰。有接机，好！', '短评打分': 5}
{'短评内容': ' 性价比还好 环境一般 外面有高架声音不小 觉轻的人不推荐 总体来说还是比较值得这个价位', '短评打分': 3}
{'短评内容': '酒店位置不错，还有接送服务，设施陈旧了，不过可以接受\n', '短评打分': 5}
{'短评内容': '隔音不好。显得房间很吵。\n卫生间下水不好。洗澡完了差点滑倒。抽水马桶下水也不好。。估计是整个酒店的水管问题', '短评打分': 1}
{'短评内容': '酒店接送机这一点不错。因为所处位置的原因，外部环境不怎么样，不过对于喜欢看飞机的孩子来说可以看到很多大飞机有意思。还有附近没地铁站不太方便,每次出行都得公交车出去十几站路。房间内部还可以，但是小浴间的隔板下面漏水，一洗澡整个卫生间地面都是水，还有小蚂蚁哈。预交现金押金后不能换成刷卡，也很不便。综合比较价格有点高了。', '短评打分': 5}
{'短评内容': '为了去虹桥机场。。住的很干净 房间也很大 还有很大的落地窗。大爱。。。', '短评打分': 5}
{'短评内容': '感觉装修和卫生都比较差，不推荐，酒店周围环境也很差劲', '短评打分': 1}
{'短评内容': '整体还不错，酒店的送客服务挺好！', '短评打分': 3}
