{'短评内容': '就是很好呀', '短评打分': 5}
{'短评内容': '七天酒店环境好服务也好', '短评打分': 5}
{'短评内容': '只是挺远的', '短评打分': 5}
{'短评内容': '住过最好的一家七天，房间大，空间高，价格实在', '短评打分': 5}
{'短评内容': '服务很好，还会再来。设施齐全，网络很快，住的房间也很安静，打扫也比较勤，前台人员服务态度也很好，很满意~', '短评打分': 5}
{'短评内容': '服务很好，还会再来。设施齐全，网络很快，住的房间也很安静，打扫也比较勤，前台人员服务态度也很好，很满意~', '短评打分': 5}
{'短评内容': '1111', '短评打分': 5}
{'短评内容': '??????', '短评打分': 5}
{'短评内容': '环境服务都算满意。是个不错的居住酒店', '短评打分': 5}
{'短评内容': '还不错 过年期间，而且不需要押金的。', '短评打分': 5}
{'短评内容': '房间很大，服务非常好，', '短评打分': 5}
{'短评内容': '不错！', '短评打分': 5}
{'短评内容': '还可以，做活动送了早餐，7天的卡片竟然是IC芯片的', '短评打分': 5}
{'短评内容': '值得推荐', '短评打分': 4}
{'短评内容': '总体还行', '短评打分': 4}
{'短评内容': '推荐入住', '短评打分': 4}
