{'短评内容': '垃圾酒店，一个老头给我开房，开个房用了30分钟，请问你们酒店为什么请这样的人？', '短评打分': 2}
{'短评内容': '风景不错，环境也不错，就是配套设施一般般', '短评打分': 3}
{'短评内容': '一般，周边配套有点差，房子隔音不好', '短评打分': 4}
{'短评内容': '很好，不错的选择', '短评打分': 5}
{'短评内容': '很好，第二次来了。不错。', '短评打分': 5}
{'短评内容': '总体不错，离海边近', '短评打分': 5}
{'短评内容': '环境一般.价钱太贵，这样的房间最多200～300元', '短评打分': 2}
{'短评内容': '进去的3.5公里路全是水坑，坑坑相连', '短评打分': 3}
{'短评内容': '除了有点旧以外都很好，酒店就在海边，而且还没真正到旺季，人不算多，海也很干净！', '短评打分': 5}
{'短评内容': '环境挺好，入住舒适。', '短评打分': 4}
{'短评内容': '环境挺好，入住舒适。', '短评打分': 4}
{'短评内容': '环境挺好，入住舒适。', '短评打分': 4}
{'短评内容': '海滩环境好', '短评打分': 4}
{'短评内容': '海滩环境好', '短评打分': 4}
