{'短评内容': '酒店还可以吧 房间有点冷空调比较老 总体来说还可以的', '短评打分': 5}
{'短评内容': '水床很软 很温暖 但是晚上睡觉太热了睡不着 都不用盖被子 这种开放式卫生间很有特色 但也有些羞耻 浴缸水也很舒服', '短评打分': 5}
{'短评内容': '有点吵', '短评打分': 5}
{'短评内容': '环境好', '短评打分': 5}
{'短评内容': '位置不错的', '短评打分': 5}
{'短评内容': '房间挺大，水床挺舒服的', '短评打分': 5}
{'短评内容': '超值，满意', '短评打分': 5}
{'短评内容': '好好好，不错', '短评打分': 5}
{'短评内容': '太棒了，气氛和环境真棒，超满意', '短评打分': 5}
{'短评内容': '不错呢', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还行  ', '短评打分': 4}
{'短评内容': '总体还是不错的', '短评打分': 5}
{'短评内容': '在客运中心站南第二个+字路，右侧100米处。房间卫生清洁，前台服务热情，周边饮食十分方便，正对面是振华购物超市，推荐！', '短评打分': 4}
{'短评内容': '感觉比以前上了一个档次，推出了好多主题房', '短评打分': 4}
{'短评内容': '还可以新装修的', '短评打分': 5}
{'短评内容': '交通方便，周边环境干净整洁。吃饭比较方便', '短评打分': 3}
{'短评内容': '可以', '短评打分': 3}
{'短评内容': '价格合理，交通便利，环境也不错，还有wifi,下次出差还来住。', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 3}
{'短评内容': '内容', '短评打分': 3}
{'短评内容': '感觉还可以吧，环境也不错，边上有快餐厅又有大型超市，出门就可以可到车，总之挺值！', '短评打分': 5}
{'短评内容': '内容', '短评打分': 3}
{'短评内容': '很不错的一个酒店，不亚于汽车站周围的那些快捷酒店，价格还优惠一点，前台服务也很热情周到！', '短评打分': 5}
{'短评内容': '停电，无热水，房间太冷，住了一晚下次不会再来了', '短评打分': 1}
{'短评内容': '在这边住还是不错的，也不贵，电视，电脑，洗浴等一应俱全，交通也方便，性价比高', '短评打分': 5}
{'短评内容': '＋房间挺干净，设施较落后。', '短评打分': 3}
{'短评内容': '位置极佳，房间干净整洁，很舒服，有回家的感觉。', '短评打分': 5}
{'短评内容': '酒店环境不错，交通便利。服务业还可以，蛮不错的', '短评打分': 5}
{'短评内容': '挺不错的，干净，实惠，服务态度也不错，希望多点特价房', '短评打分': 5}
{'短评内容': '不错，条件便利，环境很好，服务态度也不错，下次还会去的，呵呵', '短评打分': 5}
