{'短评内容': '空间有点小', '短评打分': 5}
{'短评内容': '没有吹风机', '短评打分': 5}
{'短评内容': '按当前这个价位来说，这个条件也值。如果想住条件更好的，那订五百以上的酒店吧！', '短评打分': 4}
{'短评内容': '服务态度很好，环境还行。', '短评打分': 5}
{'短评内容': '位置一般，但是环境可以', '短评打分': 5}
{'短评内容': '脏乱差，还不情愿开发票', '短评打分': 1}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '住过的最烂的饭店', '短评打分': 1}
{'短评内容': '简直了，不知道这种酒店怎么上的携程', '短评打分': 1}
{'短评内容': '房间卫生特别差，地毯臭气熏天，马桶肮脏无盖，幸亏无毛巾，要不料你也不敢用；  周边环境不敢恭维，找到这家旅馆我整整找了3个小时，给旅店打了8次电话，老板答应来接，间隔200米，等半个小时。', '短评打分': 1}
{'短评内容': '房间卫生特别差，地毯臭气熏天，马桶肮脏无盖，幸亏无毛巾，要不料你也不敢用；周边环境不敢恭维，找到这家旅馆我整整找了3个小时，给旅店打了8次电话，老板答应来接，间隔200米，等半个小时。', '短评打分': 1}
{'短评内容': '很小的酒店，楼梯很狭小，只能过一个人，曲里拐弯，没有电梯，还上四楼。关键是停车非常麻烦，自驾车的朋友最好不要入住。', '短评打分': 1}
{'短评内容': '位置有点难找，最让人吃惊的是酒店竟然无电梯，提着行李上4楼，楼梯窄且曲折，还有一段栏杆松动，房间设施较新，适合不用大件行李上楼的客人！', '短评打分': 1}
{'短评内容': '很不错，就是难找了一点点，真的很不错，态度什么都很好，西宁也很凉快~~~', '短评打分': 5}
{'短评内容': '这边交通挺方便，很安静，服务态度也很好！就是房子稍微有点小哈！', '短评打分': 3}
{'短评内容': '地理位置还是不错的，位于繁华地段大众街西宁商城内，好找。服务态度特好，此行使得我对西宁印象加分不少，价格嘛也不贵，推荐！', '短评打分': 5}
{'短评内容': '闹中取静，位置不错，离清真大寺很近，家庭旅馆，挺温馨。条件一般，网速慢', '短评打分': 3}
{'短评内容': '宾馆在一个院儿里，看外观很新。离汽车总站很近，步行可达。附近有一个大超市，采购比较方便。清真大寺也就在附近。前台服务态度很好，对于住户提出的问题能够耐心解答。128的标间价格还是比较物超所值的。唯一的问题是部分楼梯出现松动，望及时修缮。', '短评打分': 5}
