{'短评内容': '装修太老了，味道很重', '短评打分': 5}
{'短评内容': '出差一直定的酒店，离伊藤洋华堂很近，就在马路对面，吃饭购物都非常方便，酒店设施有点陈旧，在高架旁。', '短评打分': 4}
{'短评内容': '早餐很一般', '短评打分': 3}
{'短评内容': '酒店位置还可以', '短评打分': 5}
{'短评内容': '出差预定的酒店，离伊藤洋华堂很近，马路对面就是，吃饭购物都非常方便，酒店房间比较干净，就是交通没有地铁，在二环旁边。', '短评打分': 4}
{'短评内容': '服务还好，就是房间太小', '短评打分': 5}
{'短评内容': '京东订的4晚，入住1晚后因为行程变动要求退房，酒店按入住1天半收费，但是京东不退，理由是让我去找他们合作的第三方某旅行社，后来京东直接把单号删了，交涉的人都找不到了，白白损失1千多元，网上价444元一晚比到店350元还贵，以后再也不用京东订房了。希望大家订房时注意，没有办法变更和退费的，京东太让人失望了！', '短评打分': 1}
{'短评内容': '可以，比较满意', '短评打分': 5}
{'短评内容': '房间确实比较陈旧，其他还行吧。就是晚上门外面一直有声音，问前台又说没有做什么', '短评打分': 3}
{'短评内容': '交通方便，处于闹市。周围吃和采买很方便。', '短评打分': 5}
{'短评内容': '楼下有唱歌的场子，有点吵闹', '短评打分': 5}
{'短评内容': '你好、不错', '短评打分': 4}
{'短评内容': '最近出差一直住这里，还好吧', '短评打分': 4}
{'短评内容': '酒店位於成都雙楠伊藤洋華堂對面。由於是商務出差，這個位置去伊藤洋華堂是非常方便的，酒店設施齊全，也挺乾淨，酒店周邊非常熱鬧，吃的玩的都非常便捷，值得推薦    ', '短评打分': 5}
{'短评内容': '酒店位於成都雙楠伊藤洋華堂對面。由於是商務出差，這個位置去伊藤洋華堂是非常方便的，酒店設施齊全，也挺乾淨，酒店周邊非常熱鬧，吃的玩的都非常便捷，值得推薦', '短评打分': 5}
{'短评内容': '酒店位於成都雙楠伊藤洋華堂對面。由於是商務出差，這個位置去伊藤洋華堂是非常方便的，酒店設施齊全，也挺乾淨，酒店周邊非常熱鬧，吃的玩的都非常便捷，值得推薦', '短评打分': 5}
