{'短评内容': '干净整洁热情', '短评打分': 5}
{'短评内容': '位置好，环境好，交通便利，右停车场，房间挺大', '短评打分': 5}
{'短评内容': '三星酒店也不行了，不过比较便宜。去之前问问装好了没，环境安全问题需要咨询。', '短评打分': 3}
{'短评内容': '早餐不错！价位合适！位置离三中很近！热水不是24小时的！11月房间有点凉！空调没用', '短评打分': 5}
{'短评内容': '酒店硬件不错', '短评打分': 5}
{'短评内容': '环境好，交通方便。', '短评打分': 5}
{'短评内容': '很不错，这次长途旅游中不错的选择！', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '服务热情周到，环境优美干净卫生。', '短评打分': 5}
{'短评内容': '还可以，这次房间比较宽敞！在后面一排。             出行购物都很方便，感觉超级棒，下次还会再住的', '短评打分': 5}
{'短评内容': '服务热情周到，环境优美干净卫生。交通便利。', '短评打分': 5}
{'短评内容': '服务热情周到、环境优美干净卫生，交通便利及时', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '交通方便，干净卫生，设施较旧', '短评打分': 4}
{'短评内容': '值得推荐，不错的商务酒店就是设施有点老但是早餐和卫生都不错', '短评打分': 4}
{'短评内容': '性价比很高，房间面积也蛮大的，早餐算很丰富！附近可以逛逛的地方没有。其他的方面还是不错的。停车场也挺大的', '短评打分': 5}
{'短评内容': '位置不错，卫生还可以，但服务不是三星级标准', '短评打分': 1}
