{'短评内容': '很吵，不是特别好', '短评打分': 3}
{'短评内容': '干净卫生，服务热情，有停车场。', '短评打分': 5}
{'短评内容': '环境还可以', '短评打分': 4}
{'短评内容': '一般，半夜飞机过路住一晚', '短评打分': 4}
{'短评内容': '适合带宝宝，房间宽敞明亮，性价比高，值得信赖', '短评打分': 5}
{'短评内容': '离商业街很近，卫生干净整洁，值得推荐一下', '短评打分': 5}
{'短评内容': '店家找了很久才找到订单，大半夜的我很迷茫', '短评打分': 5}
{'短评内容': '酒店房间空间大 不狭小 服务员很热情 只不过位置离机场不远不近 打车需要30块钱 最好打电话让酒店叫出租来接 不然在机场直接打车可能会遇到像我这种大半夜被司机恶意扔到半路的情况', '短评打分': 5}
{'短评内容': '很好，住了快一个月了。', '短评打分': 5}
{'短评内容': '很好，住了快一个月了。', '短评打分': 5}
{'短评内容': '很好很给力。挺好，住了快一个月了', '短评打分': 5}
{'短评内容': '出差来这里一个月了，比官网还便宜', '短评打分': 5}
{'短评内容': '出差住这里一个月了，价格比官网还便宜', '短评打分': 5}
{'短评内容': '非常不错，比在七天官网还便宜。住了一个月了。', '短评打分': 5}
{'短评内容': '酒店配置一般，环境地段一般', '短评打分': 4}
{'短评内容': '房间干净整洁，早餐很丰富还是自助，非常好，这家7天性价比很高，离机场很近，旁边吃饭也很方便，值得信赖！', '短评打分': 5}
{'短评内容': '服务员态度较好很热情，酒店管理不错，设施齐全，房间也很宽敞，干净整洁，价格实惠，晚上还有免费接机服务，值得推荐', '短评打分': 5}
{'短评内容': '酒店整体还不错，干净卫生，离机场很近，前台帮忙叫车很准时', '短评打分': 4}
{'短评内容': '还阔以啦啦啦啦，离机场近。', '短评打分': 4}
{'短评内容': '蛮好的', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '三楼Mtv，唱到挺晚，隔音不好，前台值夜班睡觉，忘了叫早。', '短评打分': 5}
{'短评内容': '酒店位置偏僻了一点下了飞机都不愿意过去，一定要双倍价钱才肯走，这点比较郁闷，但是酒店还是蛮好的除了没有牙刷', '短评打分': 4}
{'短评内容': 'ok', '短评打分': 4}
