{'短评内容': '还不错，挺好的，价格实惠，还不错！', '短评打分': 5}
{'短评内容': '听名字就知道是老酒店了。红色的床具，还挺喜欢的。地理位置还不错，如果深圳火车站没合适的，其实来国贸附近住还不错。晚上有人在酒店门口招客，这也太开放了吧。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '好，周围热闹', '短评打分': 5}
{'短评内容': '还是比较干净的酒店性价比比较高', '短评打分': 5}
{'短评内容': '一般般', '短评打分': 3}
{'短评内容': '酒店不错。性价比很高。', '短评打分': 5}
{'短评内容': '还不错，地理位置不错，房间还可以', '短评打分': 5}
{'短评内容': '还不错，挺舒服的，环境还可以！', '短评打分': 5}
{'短评内容': '地理位置绝佳，出来就是国贸和金光华广场，下次还会入住。', '短评打分': 5}
{'短评内容': '不错还可以 主要方便', '短评打分': 5}
{'短评内容': '房间一般，能上网就更好，可惜&hellip;&hellip;', '短评打分': 4}
{'短评内容': '房间一般般，有点小，空调有些久不够冷，287一晚有些小贵，总体还行。', '短评打分': 5}
{'短评内容': '京东速度快，服务好，东西?，厉害', '短评打分': 5}
{'短评内容': '酒店设施太旧，服务也差', '短评打分': 5}
{'短评内容': '位置很好，房间很大，服务很好，酒店有专用的停车场，就是设施有点陈旧，总体来说还是性价比很高的，下次来还会入住', '短评打分': 5}
{'短评内容': '环境很不错', '短评打分': 5}
{'短评内容': '非常不错的', '短评打分': 5}
{'短评内容': '酒店位置好 距离罗湖火车站近', '短评打分': 5}
{'短评内容': '好好好好好', '短评打分': 5}
{'短评内容': '环境挺好。设备有点陈旧', '短评打分': 4}
{'短评内容': '各方面都很好', '短评打分': 5}
{'短评内容': '很旧很老', '短评打分': 2}
{'短评内容': '酒店位置很好', '短评打分': 4}
{'短评内容': '有点年份的酒店', '短评打分': 4}
{'短评内容': 'good but only short stay in the hotel......clean ', '短评打分': 1}
{'短评内容': '老商务区。', '短评打分': 3}
{'短评内容': '环境挺好的', '短评打分': 4}
{'短评内容': '预定的大床房没有了，前台给换成了家庭房（大床??小床），还解释说，你还睡你的大床房，小床不用你睡！', '短评打分': 5}
{'短评内容': '地理位置好，不然也不选择住。其他就不敢恭维了', '短评打分': 4}
{'短评内容': '交通至便。コンビニ、日本食たくさんあり。朝食は1Fの日本食レストランで焼き魚などのちよっとしたものがあります。', '短评打分': 5}
{'短评内容': '交通方便,临近地铁,去罗湖火车站和机场都不用换车,附近吃饭的选择比较多', '短评打分': 5}
{'短评内容': '刚入住的时候给的是5楼，但电梯不给力，怎么按都不停，结果换到了13楼', '短评打分': 5}
{'短评内容': '京东定酒店很方便', '短评打分': 5}
{'短评内容': '酒店不错！态度也很好！', '短评打分': 3}
{'短评内容': '不错,房间很大.交通方便,临近地铁,去罗湖火车站和机场都不用换车,附近商业繁华,很便利.', '短评打分': 5}
{'短评内容': '酒店整体不错，位置在市中心，交通便利，酒店内部也不错。唯一不足就是煮开水的水壶的插头是三头英国式，没有可插的地方。', '短评打分': 3}
{'短评内容': '该酒店不错，价格合理，保安措施到位。距离市区很近。购物娱乐方便！', '短评打分': 5}
{'短评内容': '晚餐不错在一楼奥维斯西餐厅团购的99元原价400多的4人套餐。大床太小只适合一人住。洗浴用据嘛嘛嘚', '短评打分': 3}
{'短评内容': '服务态度还可以，早餐太一般，而且种类太少，还有西式早餐。', '短评打分': 5}
{'短评内容': '说是由高级房升级为豪华房，实际就是图片中高级房，电视无信号，无法上网，哎......无语。', '短评打分': 1}
{'短评内容': '房间很干净，服务还行，很热情，早餐一般般，', '短评打分': 5}
{'短评内容': '地理位置非常好，地铁国贸站出来步行5分钟即可到，离罗湖火车站一站地铁，也可直接到达机场。房间也挺舒服，早餐不错！ ', '短评打分': 5}
{'短评内容': '位置好，性价比不错，值得推荐，下次还来住。', '短评打分': 5}
{'短评内容': '地理位置优越.出门方便.附件吃喝玩乐很近.步行金光华广场2分钟即到', '短评打分': 5}
{'短评内容': '房间很小，很狭窄的感觉…', '短评打分': 3}
{'短评内容': '各位：不能住7楼因为有会议室，晚上10点多了还叽里旮旯的吵个不停，隔音不好，房间的窗帘太亮了，没有遮光，怕光的同志请注意，地点不错，早餐很简单，没啥好吃的。', '短评打分': 1}
{'短评内容': '很干净', '短评打分': 3}
{'短评内容': '不錯，不會失望', '短评打分': 3}
{'短评内容': '酒店很好，最主要是房间干净，床单、被罩非常干净，没有异味。位置也很好，很方便 ', '短评打分': 5}
{'短评内容': '房间一般，服务也很一般\n性价比不高的酒店', '短评打分': 1}
{'短评内容': '酒店有点旧', '短评打分': 3}
{'短评内容': '<深圳罗湖大酒店>位置很好，机场乘民航班车到市区（罗湖口岸）转乘出租车15元即到。\n酒店368房间为单人间住一人还好。', '短评打分': 5}
{'短评内容': '＋性价比可以，只是酒店有些旧.', '短评打分': 3}
{'短评内容': '2/26晚上房間樓下馬路施工,一直到早上六點多才停止,擾人清夢,不見飯店有任何處理,早上跟櫃檯反應,櫃檯一問三不知,', '短评打分': 1}
{'短评内容': ' very fantastic!', '短评打分': 3}
{'短评内容': '每次出差都住，下次可以再住。性价比还不错', '短评打分': 5}
{'短评内容': '该酒店位置好，服务态度也很好！只是房间偏小，没有早餐，很不方便。', '短评打分': 5}
{'短评内容': '还是不错，351元。 包括两份早餐。\n比较满意', '短评打分': 5}
{'短评内容': '环境不错，离机场比较近，给朋友订的房子，应该还可以吧', '短评打分': 5}
{'短评内容': '酒店服务还不错，环境也好!我是帮亲戚订的酒店，当时酒店服务员态度不错，就是没有提前加床', '短评打分': 5}
{'短评内容': '房间设施就是旧，位置是没得说。\n我觉得应该降价了', '短评打分': 5}
{'短评内容': '位置很好。就是设施有点旧了。前台服务一般', '短评打分': 5}
{'短评内容': '位置挺好，离地铁站也近，就是设施有点久了', '短评打分': 5}
{'短评内容': '酒店除了地理位置好之外，其它一无是处，破旧的壁纸和地毯，肮脏的洗脸盆和座便器，破烂露着内里的沙发，上世纪90年代的家具。选到这样的酒店真的“中奖”了。郁闷！', '短评打分': 1}
{'短评内容': '酒店地理位置好,在那附近的酒店算是性价比高.下次还会选择它', '短评打分': 5}
{'短评内容': '设施有点陈旧了，电梯好慢。。。不过地段真心不错', '短评打分': 5}
{'短评内容': '已入住，饭店设施，周边环境不错。能上网更好了。', '短评打分': 3}
{'短评内容': 'Location good but breakfast not so good. ', '短评打分': 1}
{'短评内容': '离地铁近, 价格便宜, 早餐也不错, 总体都很好.', '短评打分': 5}
{'短评内容': '个人觉得酒店还不错。。。 蛮好\n\n--------------------------------------------------------------------------------\n', '短评打分': 5}
{'短评内容': '交通还可以，性价比说的过去，下次应该还可以住', '短评打分': 5}
{'短评内容': '酒店位置很不错,离主要的交通枢纽很近,比较便利,也正是这个原因才促使我预定了该酒店,并且入住后感觉挺好的,酒店的装潢还好,如果能将服务水平再提升一步的话将会更好!', '短评打分': 5}
{'短评内容': '酒店位置交通便利.环境好.服务态度好.', '短评打分': 3}
{'短评内容': '离客户公司比较方便，出行也算便利，下次还会住', '短评打分': 5}
