{'短评内容': '非常满意', '短评打分': 5}
{'短评内容': '很多房间没有窗户，预定的时候标注不是很清楚。而且有房间通风不是很好，有霉味。', '短评打分': 3}
{'短评内容': '很多房间没有窗户，预定的时候标注不是很清楚。而且有房间通风不是很好，有霉味。很多房间没有窗户，预定的时候标注不是很清楚。而且有房间通风不是很好，有霉味。', '短评打分': 3}
{'短评内容': '总体可以，就是停车场小了，车子出不来', '短评打分': 5}
{'短评内容': '网络太差 出差连个网页都打不开，差评差评差评', '短评打分': 1}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '第二次去这了，不爽', '短评打分': 3}
{'短评内容': '感觉还不错吧，就是电视看不了有点不好，整体来说，还行吧', '短评打分': 4}
{'短评内容': '一般，就是普通快捷酒店。', '短评打分': 3}
{'短评内容': '服务不错', '短评打分': 4}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '环境及设施都不错', '短评打分': 4}
{'短评内容': '环境一般，价格适中，常规快捷酒店。比较方便', '短评打分': 3}
{'短评内容': '较安静  设施需要更新', '短评打分': 4}
{'短评内容': '一般，一般，空调制热不好，房间对马路，太吵了', '短评打分': 3}
{'短评内容': '酒店不错，质量和环境都有保障，但电脑质量有待改善，其他的都不错，更为重要的是，交通比较便捷，加油，喜欢。', '短评打分': 4}
