{'descr': '前台服务特别好', 'star': 5}
{'descr': '出差住的，还可以吧', 'star': 5}
{'descr': '可以', 'star': 4}
{'descr': '房间不大，隔音效果很不好！！！一晚上没有睡好，走廊隔壁声音听的很清楚', 'star': 4}
{'descr': '服务很好', 'star': 5}
{'descr': '还算安静哦', 'star': 5}
{'descr': '比较干净点', 'star': 5}
{'descr': '全季的环境很棒，就是这价格很气人，比官方贵了100', 'star': 5}
{'descr': '不要在京东平台订票，前台不能开发票。\n居然还要自己掏腰包付发票邮费。\n差评.&hellip;&hellip;', 'star': 1}
{'descr': '酒店装修比较新，就是特价的房间小了点。总体感觉还不错', 'star': 5}
{'descr': '经常来，很不错', 'star': 5}
{'descr': '位置还是有一点不方便，离地铁站较远，周围有一家购物中心还是不错的。服务和房间环境都不错。但是没有餐厅。离迪士尼挺远的，我们约了顺风车要三十块钱。', 'star': 5}
{'descr': '环境不错，离公司很近，设施干净而且临近主干道，出行方便。工作人员服务态度很好。就是电视频道少，没有网络电视。', 'star': 4}
{'descr': '房间蛮干净', 'star': 5}
{'descr': '听说还可以', 'star': 4}
{'descr': '酒店不作为且处于郊外，晚上时常有不法之徒进入楼层，严重影响客人人身及财产安全，向工作人员反映，态度恶劣，蛮横霸道，欺负外地游客，实属地痞流氓！望广大游客切记不要入住！！！！！！', 'star': 1}
{'descr': '挺好的   下次还住', 'star': 5}
{'descr': '性价比还行，就是卫生间东西太破了', 'star': 3}
{'descr': '环境挺好的，服务也不错，都挺好的', 'star': 5}
{'descr': '这个价钱还是可以的', 'star': 4}
{'descr': '酒店商住还可以', 'star': 3}
{'descr': '对于这个位置，这个酒店还是有些贵的，房间嘛，一般，一切都是一般。', 'star': 5}
{'descr': '房间卫生看起来还不错，安静舒适，价格适中，要求不太高的都适合选择', 'star': 5}
{'descr': '酒店位置还算方便,靠沪南路的房间稍微有些吵闹, 希望能提高隔音', 'star': 5}
{'descr': '下次还住这里。下次还住这里。下次还住这里。下次还住这里。下次还住这里。下次还住这里。下次还住这里。下次还住这里。下次还住这里。下次还住这里。下次还住这里。下次还住这里。下次还住这里。下次还住这里。下次还住这里。下次还住这里。', 'star': 5}
{'descr': '245块房价的酒店也不能有太多要求。', 'star': 3}
{'descr': '装修什么的都不错。交通也比较便利，评价不错。', 'star': 5}
{'descr': '临街马路，实在是太吵了，整晚都睡不好。装修有点太差了，针对这个价格觉得有点贵', 'star': 1}
{'descr': '服务很差,早上宽带也不能用了,房间小的很,而且隔音不好,隔壁2个房间打呼噜都听得到,,住过太多地方,这里毫无疑问的当选最烂冠军', 'star': 1}
{'descr': '地方有点远，浴室不给力，很小。和别的地方的MOTEL相比有差距。。。。。。。。', 'star': 1}
{'descr': '11点半就开始催退房，晚上热水供应不上，开个半小时水才有一点水温', 'star': 1}
{'descr': 'this is a economy hotel and I will stay this hotel next time', 'star': 5}
