{'短评内容': '按其价格来说还是不错的', '短评打分': 3}
{'短评内容': '已入住，老板很热情，条件一般，卫生间只有一个2楼的公用，一楼对外的条件不好说，推荐住2楼', '短评打分': 5}
{'短评内容': '实际就是农村的平房土炕，条件很差，唯一看过去的感觉卫生打扫的还算干净', '短评打分': 3}
{'短评内容': '已入住，还行', '短评打分': 3}
{'短评内容': '干净0房东挺好', '短评打分': 3}
{'短评内容': '房间很一般，只能算凑合。卫生条件有限，晚上房间里苍蝇很多。淡季一天180元不太值。', '短评打分': 3}
{'短评内容': '在青海湖上的住宿的话只能将就了，没有独立的卫生间，还有就是晚上到的晚了就没有热水了。', '短评打分': 5}
{'短评内容': '住着还行，主人家挺随和的；在湖边，这条件算符合期望~', '短评打分': 5}
{'短评内容': '这家酒店条件实在一般，刚开业不久，标准价没有卫生间，有公用的，房间仅有旧电视，说是标准间实在是不够标准，若是自驾游或需求不高，可以住4人一间的大屋，基本定义为家庭旅馆。若收160元不是很值，但在旅游区内，可能也就这样吧，不过老板及老板娘到是比较热情，青海湖景区就在住的“酒店”大门口，出入方便，建议可能不用进进去，请他地方也可以到湖边，不用花钱，要是租牤牛照相最好先谈好价，感具租个自行车环湖游比较好', '短评打分': 5}
{'短评内容': '酒店的地理位置不错。老板很热情，价格也很实惠。', '短评打分': 5}
{'短评内容': '地点相当好，房间也很不错，听说很快房间会有电脑，可是晚上狗狗总是会叫，有点烦。', '短评打分': 5}
{'短评内容': '老板人很好，可以洗热水，环境一般，只有这价格', '短评打分': 5}
