{'短评内容': '干净，，，，，，整洁，，，，，，，，有空调，网很好，，，，位置也很好，，，，，，，，很不错。。。。。。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '还不错位置方便的', '短评打分': 5}
{'短评内容': '没有早餐，酒店位置还可以，没有停车场吧，就是公寓里面的几间房而已', '短评打分': 4}
{'短评内容': '没有早餐，酒店是租的房间开的，二手贩子？酒店没有柜台，是在一个房间里办理入住！房间设施陈旧，在其他地段估计也就是80/90一晚，适合单身旅人短暂中转！不是家庭旅馆，附近是有收费的停车场。。。', '短评打分': 3}
{'短评内容': '可以的，非常满意，五星好评', '短评打分': 5}
{'短评内容': '之前订的两个标间，结果临时有事退了一个，入住进去感觉还不错。首先位置比较好，到锦里武侯祠的8路，到宽窄巷子人民公园的58路，到成都动物园熊猫基地的53路，到茶店子客运中心去青城山的4路都在附近。住了三天，卫生这块也做的不错，值得推荐', '短评打分': 5}
{'短评内容': '现在换了老板后，设施和服务都有较大的改进，离地铁2、3号线出口仅100米左右，就在春熙路伊藤背后，逛街、购物、办事都十分方便，总之感觉很好，今后到成都准备长期在他家住！', '短评打分': 5}
{'短评内容': '离春熙路特别近', '短评打分': 4}
{'短评内容': '卫生间有很多虫，价格虽便宜，但住着不放心，感觉空气中都有很多虫一样浑身不舒服，而且门不能反锁', '短评打分': 4}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '一般吧', '短评打分': 4}
{'短评内容': '干净，宽敞，就是设备差了点。', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '服务比较不错，对老人态度很好。', '短评打分': 5}
{'短评内容': '坐地铁比较方便', '短评打分': 4}
{'短评内容': '地处成都市最繁华的黄金地段&mdash;&mdash;春熙路科甲巷的经济型酒店式公寓，地理位置得天独厚。装修不好。', '短评打分': 3}
{'短评内容': '便宜，就在春熙路背面，含有早餐，其他的没什么了。房间一般 这个价格嘛', '短评打分': 5}
{'短评内容': '便宜，就在春熙路背面，含有早餐，其他的没什么了。房间一般 这个价格嘛', '短评打分': 5}
{'短评内容': '价格合理，感觉很好。贵店服务和卫生都不错。有早餐很方便。位置好，出去玩很方便。以后到成都还会来并介绍给朋友', '短评打分': 5}
{'短评内容': '房间马马虎虎 进来时还没打扫干净 地段真心不错 就在春熙路的大楼里的一个招待所 打扫阿姨蛮客气 房间用简单形容', '短评打分': 3}
{'短评内容': '地理位置不错，就在春熙路地区，出行很方便', '短评打分': 5}
{'短评内容': '我从28号住到六月三号才退的房，环境还算干净。就是房间隔音效果如空气！', '短评打分': 3}
{'短评内容': '地方不好找，电梯吓人，房间环境一般，就是酒店地理位置还可以逛街方便。', '短评打分': 3}
{'短评内容': '卫生间挺一般的，周边环境还不错。。。。。', '短评打分': 5}
{'短评内容': '出门就是春熙路,很方便,房间也不错,挺好的', '短评打分': 5}
{'短评内容': '价格不贵而且实惠，在伊藤洋华堂附近，有一个问题，大厦的电梯老是有问题。。。', '短评打分': 5}
{'短评内容': '位置不错，性价比很高，，，唯一的缺点就是门不能反锁。。。。  位置太好了，，，，顶一个', '短评打分': 5}
{'短评内容': '   原因如下：\n   1、地理位置很难找，我在雨中走了几圈才找到；\n   2、房间设施一般，只能说过得去；\n   3、公寓的电梯也是让人提心吊胆的。\n   综上所述，下次还住这个酒店的概率我只能说如有雷同，纯属虚构！', '短评打分': 1}
{'短评内容': '房间大,地理位置挺优越的.', '短评打分': 3}
{'短评内容': 'Very good location, hot shower and cheap!', '短评打分': 5}
{'短评内容': '地段不错，前台小妹是新人，业务不熟\n不过作为旅游的落脚点，性价比还是挺高的', '短评打分': 5}
{'短评内容': '卫生条件很差，毛巾上竟然爬有蟑螂，服务态度也很差', '短评打分': 3}
{'短评内容': '酒店不是一般差，连厕纸都有，沙发脏，窗帘遮不住光，浴巾也是烂的，周边酒店都含停车费，唯独此酒店不含，差，差，差！', '短评打分': 3}
{'短评内容': '不怎么样，里面很旧 很杂乱·就是位置还可以  逛春熙路很方便', '短评打分': 1}
{'短评内容': '房间不错，位置就在商业区春熙路片，虽然位置不大好找，但打个电话就OK了，挺！', '短评打分': 5}
{'短评内容': '酒店设备缺乏维修,服务人员态度差,不值得推荐。', '短评打分': 3}
{'短评内容': '已入住。', '短评打分': 3}
