{'短评内容': '第一天晚上竟然空调坏了，房间味道也很重……', '短评打分': 4}
{'短评内容': '在市中心，交通方便。', '短评打分': 4}
{'短评内容': '环境还可以，主要是离朋友们居住的地方比较近', '短评打分': 4}
{'短评内容': '网上订的酒店，在这个价位来说比较适合，临海老牌的三星酒店，地里位置非常好，并且很安静，主要是设施陈旧了，', '短评打分': 4}
{'短评内容': '国庆前几天，天气预报最高气温33到34度，酒店空调坏了，并且也没有风扇什么的，完全没有办法睡觉……尤其是第一天给安排在了七楼最里面朝南的那间711，窗户只有别的房间的一半大，没什么风吹进来，彻夜未眠。本来前台说第二天空调应该能修好，事实证明直到六天后退房都没修好。第二天换了朝北的房间，风大了，虽然还是热但勉强可以睡了。酒店的早餐和去年不能比，只有馒头片，速冻水饺，和粥。以后肯定不会考虑入住了。不过', '短评打分': 1}
{'短评内容': '环境一般，当时没有空调，虽然在办理入住时提前告知了，但是当时的情况也不好另找酒店了，只能将就住，热醒了。房间在一桩老旧的楼里，有点潮湿发霉，另一间房有很大的烟味', '短评打分': 4}
{'短评内容': '中央空调坏了，还好不是很热', '短评打分': 4}
{'短评内容': '地段非常好，有自己的停车场，去公园和江南长城非常方便。很老的酒店设施比较陈旧，前台服务还不错，去的那天空调坏了，但是没有空调也不热。', '短评打分': 4}
{'短评内容': '开始安排的房间空调坏了，联系总台后，派人来查看后马上就给换了一间。总体情况还可以，位置好，比较方便，水很热，就是房间里没有了网络。', '短评打分': 4}
{'短评内容': '没有网络，有待改进', '短评打分': 4}
{'短评内容': '性价比很高，给予好评！', '短评打分': 4}
{'短评内容': '设施陈旧，老早不是三星的标准了。而且感觉整个酒店都空的。沉沉的感觉。。。。。。早餐也差的可怜。。。。大大失望。。。', '短评打分': 3}
{'短评内容': '比较干净整洁的酒店，物有所值吧', '短评打分': 5}
{'短评内容': '充电插座是亮点', '短评打分': 5}
{'短评内容': '原装好货，送货速度超快，用着省心。', '短评打分': 3}
