{'descr': '性价比较高，干净，适合学生住。但是房间很小。', 'star': 5}
{'descr': '还不错，市区的中心地带，交通便利~\n环境还可以，热水也有，空调比较给力~~', 'star': 5}
{'descr': '因为第二天要赶早班飞机，所以选来选去选择了这家酒店，因为对面就是汉中门机场大巴始发站。\n\n酒店地理位置不错，汉中门地铁站一上来走大概100米就是，门前也有公交站台，去哪里都比较方便。\n\n入住的是高低铺房，以前也有住过百时快捷的高低铺房，但是汉庭这个比百时的房间大多了啊，下铺的床很大，两个人睡也不挤，无线网络也挺快的，退房的时候很方便，只要把钥匙交回前台就好了，不用在那等着检查这个检查那个的，感觉很', 'star': 5}
{'descr': '跟以往一样好。值得提出的是现在机场快线不在酒店对面停靠了，不如以往方便了。', 'star': 5}
{'descr': '1.离地铁站很近。楼下有KFC等吃饭的。方便。\n2.酒店停车只要5元，不错。\n3.定的上下铺，房间的确小\n4.不隔音', 'star': 5}
{'descr': '位置很方便，隔壁就是KFC，吃饭也方便，但是，有的房间的空调居然还好几个房间用一个遥控器，要调温度还要给总台打电话才行，这个很麻烦。。。', 'star': 5}
{'descr': '新春特惠啊，在南京这价格居然能住到，合适，很合适', 'star': 5}
{'descr': '还好吧就是没有开水和茶叶。以后是不是放一点茶叶？', 'star': 5}
{'descr': '环境不错，交通便捷，就是饮水提供有待完善。', 'star': 5}
{'descr': '住的大床房 房间有点小  没有洗发水  毛巾一条，没有杯子刷牙也不好刷。。。但是足够能睡一晚了。显得比较温馨吧。', 'star': 1}
{'descr': '还行，有窗户。比119的房间好很多。凑字哦凑字哦', 'star': 5}
{'descr': '位置不错，步行到新街口，交通也方便，就在地铁口，就是房间太小了。', 'star': 3}
{'descr': '每次来南京都住这家旅店。\n干净、价格比较便宜。适合学生过来。', 'star': 5}
{'descr': '一出地铁就见到了，比较方便。高低铺床也蛮大，下铺比上铺大。', 'star': 5}
{'descr': '一般，我只能这么说！不过在地铁和公交附近，交通方便', 'star': 3}
{'descr': '挺好的，很对得起价格的。。79元入住的。。。~别涨价哈', 'star': 5}
{'descr': '交通很方便， 门口就是地铁站，房间很小，但也齐全，比较安静，我定的高低铺房，建议将高低铺与墙体连接处固定，否则上去下来，翻身床都会轻微摇动。 ', 'star': 5}
{'descr': '还不错。就是空间太小了。服务很周到。如果可以。下次还回去', 'star': 5}
{'descr': '一个月没去了，一直都这样的，不错，这次还有了牙刷和拖鞋', 'star': 5}
{'descr': '还可以，地方小了点，但价格实惠，就是水声音大了点', 'star': 5}
{'descr': ' 房间除了有点小，有点闷外，还算是一家性价比不错的酒店了。', 'star': 3}
{'descr': '房间太小，也就八平米，没有浴液没有洗发露，而且没有浴巾，没有电话没有网络接口，有个14.1英尺的迷你悲剧小电视，还有个10', 'star': 3}
{'descr': '总体上还好，就是只提供牙刷跟牙膏，连涑口杯都没有。也不提供沐浴用品、浴巾跟洗脸毛巾也没有。说的大床大概也才1.35米.', 'star': 5}
{'descr': '非常不错的酒店  服务人员真的很亲人  还一起打了台球 玩了游戏   地理位置一级棒 下地铁就到  旁边吃饭 超市 都很好', 'star': 5}
{'descr': '位置好 在地铁口 去哪里都很方便。但是没有吹风机。也不提供洗漱用品', 'star': 5}
{'descr': '还不错，卫生条件和各方面设施都不错，适合年轻人入住', 'star': 5}
{'descr': '房间比较小，就是半夜的时候窗户外面有臭味~~估计是排污还是什么的···', 'star': 1}
{'descr': '性价比比较高  其他的没什么 地铁口的酒店 方便那是一个字 赞', 'star': 5}
{'descr': '很不错，对学生来说很适合', 'star': 3}
{'descr': '除了房间小了点之外。其他都还不错', 'star': 3}
{'descr': '我看行我看行我看行我看行我看行我看行我看行我看行', 'star': 5}
{'descr': '垃圾，第三次去，但这次不一样，我预定的是109（返30）单人间，，前两次都很顺利，有卫生间的，第三次预定，首先给我发短信，说涨价10块钱，我取消订单，再订一次，就把我安排到公共卫生间的房间去了，说要想换独立卫生间加10块钱，但加10块钱的房间注满了，只有加20.无语。。。', 'star': 1}
{'descr': '距离汉中门地铁非常近，去各个景点都狠方便，楼下就是KFC，马路对面有便利店，还有个巴弟鸡排可以满足吃零食的欲望。订的单人无窗房，设备齐全，现在提供一次性拖鞋、牙刷和牙膏，每天更换毛巾清除垃圾。床非常舒服，走廊尽头提供吹风机，三层是活动室，八层是自助洗衣房，前台提供行李寄存。唯一不足之处，浴室喷头采用的是那种大的喷头，但是因为有堵的地方，所以一开水，就溅的哪都是，又因为浴室是没有门的，浴帘完全阻挡不', 'star': 5}
{'descr': '环境不错，卫生也可以，就是网络不好，希望管理人员能弄下，给出行的游客带来方便\n', 'star': 5}
{'descr': '各方面感觉不错!同类型店里性价比很高!推荐!!!', 'star': 3}
{'descr': '早餐15元，水平一般般。门口公交、地铁很方便。洗澡水一会热一会凉。', 'star': 5}
{'descr': '前台说不提供洗漱用品，让去三楼自助机购买，然后我去买了，洗发露、沐浴露我买好了，买牙刷和牙膏的时候，那机器转到一半不转了，或者说是卡在那儿了。然后我打电话给前台，前台又让我到前台去拿，我去拿了，但是前台对我卡在自助机里的物品解释那没办法...好吧，既然可以从前台直接拿牙膏牙刷，那就在我住的时候说一声嘛...所以呢，各位，如果有如果你去入住的话，记得在前台拿牙膏牙刷。', 'star': 5}
{'descr': '房间虽小，但很舒服 ，热水很热  就是没有洗发水 有牙刷牙膏 毛巾太少没有浴巾', 'star': 5}
{'descr': '环境不错，很温馨，房间小了点，但是五脏俱全', 'star': 5}
{'descr': '住了三天，总的感觉还不错的，要求不是太高的人可以选择的', 'star': 5}
{'descr': '虽然比较小，但比较实惠，还不错，要求不是太高的可以选择的', 'star': 5}
{'descr': '很经济实惠的客房，服务有待提高，最好以后可以提供一次性的用具', 'star': 5}
{'descr': '地方虽然不大，但是感觉还是挺好的，交通方便~', 'star': 5}
{'descr': '房间很好、交通便利。很喜欢。', 'star': 3}
{'descr': '隔音效果太差，很吵，一次性洗漱用品质量也超级差，无线网络卡的跟蜗牛死的，出了价格，都不满意。', 'star': 1}
{'descr': '总体一般，睡睡还行。。房间的隔音效果不好，隔壁老是有声音发出，这个你们懂的。', 'star': 5}
{'descr': '附近就是地铁口，交通很方便，性价比还可以，以前在苏州的时候也住过汉庭海友，觉得比较满意，但是这次有点失望，卫生间味道有点大，在房间里都闻得到，淋浴打开后管道里声音特别大，感觉要炸掉一样~', 'star': 5}
{'descr': '酒店还行，连续住了2天，前台称以后会提供洗漱用品了，这个应该的。', 'star': 5}
{'descr': '虽然房间小了点，但还是比较温馨的，热水也蛮好的，不过要自带洗漱用品，总的来说还不错', 'star': 5}
{'descr': '优点，干净，整洁 ，有免费网络。缺点，小了点，没拖鞋。', 'star': 5}
{'descr': '酒店位置很好，出行很方便，床也很舒服。在那个区段价位很划算了，只是没有洗漱用品和拖鞋。。。', 'star': 5}
{'descr': '交通便利，地铁口，很好找，房间听干净，没有拖鞋（1元/双，可前台购买）。', 'star': 5}
{'descr': '经济实惠，交通也很方便，懒得再租房了，很划算。', 'star': 5}
{'descr': '住的是无窗大床房，还是有点闷，下次准备住有窗的房间，总体来说物美价廉。', 'star': 5}
{'descr': '很好很干净也很温馨...........', 'star': 5}
{'descr': '星期天去住的，价格挺实惠的，就是生活用品要自己买，什么都不提供', 'star': 5}
{'descr': '房间很小，不过位置不错，在市中心', 'star': 3}
{'descr': '房间虽然小可是很干净,感觉温暖舒服.空间虽然不大但是很自然,没有那种压抑的感觉,地理位置很方便,出门是肯德基,有地铁,去南京大屠杀馆只要地铁2站,虽然不是市中心但是什么都有,对面马路还有24小时便利点', 'star': 5}
{'descr': '房间虽小但设备齐全，住在629房间阳光很好，但临街路上车流声音较大', 'star': 3}
{'descr': '酒店很干净，是中央空调可以自己调温度，交通很方便，出地铁站就是。\n不过房间很小，如果不是对房间大小有要求的同志，这是个不错的选择。', 'star': 5}
{'descr': '服务不错', 'star': 3}
{'descr': '还行。比较小', 'star': 3}
{'descr': '还不错的 值得推荐 性价比较高 适合年轻人住  不过需要自带洗漱用品', 'star': 5}
{'descr': '酒店整体来讲还是挺不错的，服务还好，会一直入住', 'star': 5}
{'descr': '地理位置好，价格便宜，但是连拖鞋也没有，太坑爹了，而且隔音效果超级差，下次考虑多花点钱住个好点的。', 'star': 1}
{'descr': '还行，就小了点', 'star': 3}
{'descr': '住的无窗单人房，房间小到夸张，洗手间只是一条布帘做隔挡，床感觉只有一米宽。本来感觉那样的价格过得去，可是之后在苏州住的同样的无窗单人房同样的价格，苏州的要比这家好太多，心里一下子不平衡了。', 'star': 5}
{'descr': '挺好的,经济实惠,但是不提供牙刷,和梳洗用品', 'star': 5}
{'descr': '经济大床房很实惠，可惜很难得订到，很实惠。', 'star': 5}
{'descr': '交通比较方便，楼下就有肯得基，房间很干净。', 'star': 5}
{'descr': '说实在的，有点不方便，什么都要自己准备。', 'star': 3}
{'descr': '房间倒是很雅致，但是那个洗浴间咋就那么的袖珍呢？？？', 'star': 5}
