{'短评内容': '环境还行 交通非常便利', '短评打分': 5}
{'短评内容': '三年之后故地重游  景色依旧没有任何变化  唯一的变化就是设施更有年代的味道 和多了三只猫咪吧 ，三只猫真的太可爱了。酒店的位置位于一堆的民代建筑之中 更添复古的味道，大堂有水吧 有书屋 有乐器，但是也有待改善的地方吧 比如房间过于复古 以及床单似乎不那么干净。住在这里之前也住了新大都大厦的那家青旅， 但是那家真的空间太小 小到根本不像青旅 像一家只适合民工常驻的地方… 很喜欢这家的环境 ', '短评打分': 5}
{'短评内容': '已经第二次入住了，还是一样的满意，唯一的变化大概就是猫从一只变成了五只，地点非常棒，交通便利，离新街口也不远。这个季节能闻到甜甜的桂花香气，希望下次来南京时还可以住到～', '短评打分': 5}
{'短评内容': '整体感觉很不错', '短评打分': 3}
{'短评内容': '氛围还不错', '短评打分': 4}
{'短评内容': '很奇怪这个旅馆的好评从何而来？房间阴暗窄小，窗户破烂，墙纸卷起，沙发断腿，天花板墙皮脱落，洗手盆破裂且无下水堵塞 ，没有洗刷用品和电视就算了，这还是所谓的豪华大床房，拿着简陋和破烂当卖点？如果为了住宿休息不要去这样的旅馆，比后来住的价位相当的未见山和中山陵国际青年旅馆差距太大。', '短评打分': 1}
{'短评内容': '酒店位置尚可，居于梅园新村之中，离总统府很近，地铁也方便，但服务不敢恭维。中午办理入住问及下午去栖霞山如何走，结果告知我们来不及，说地处偏僻，建议别去，结果边上用中餐时馄饨店老板说现在去正好，时间绰绰有余，且能充分利用下午的光线拍到好照片。庆幸有老板指点，否则就错过了，因为第二天就是阴天。青旅本该是当地景点的最好参谋者！最不能认同的是被子薄的如空调被，空调制热效果极差，半夜冻醒向总台要被子，一位男', '短评打分': 4}
{'短评内容': '很好，很舒服！', '短评打分': 5}
{'短评内容': '还可以吧！', '短评打分': 5}
{'短评内容': '距离地铁站挺远的，房间和图片一样，但实景没有图片的美感，比较旧。去先锋书店，博物馆坐公车比较方便。但不大会再来选这里了。', '短评打分': 3}
{'短评内容': '总体不错', '短评打分': 4}
{'短评内容': '浴室的白色帘子该换换了，空调制热不怎么好声音也响，床咯吱咯吱的，整个环境很…一般。加上在搞装修，特色的大厅也无法享用。略失望的一次入住。', '短评打分': 3}
{'短评内容': '房间挺干净的，但是比较旧了点，墙纸都有破口了。服务态度真是不错，有个台灯坏了，告诉前台那是就有人来换一个，可惜厕所有个灯坏了反映了半天没人来修。楼外观是个小别墅，装修什么的真的不错，目前还在小翻修，有兴趣还是可以来住住的。', '短评打分': 4}
{'短评内容': '法国红红火火经济斤斤计较男女内裤 给黄金季节', '短评打分': 4}
{'短评内容': '周边环境很不错。步行到达梅园新村和总统府。毕竟是青旅，要求不能太高。', '短评打分': 3}
{'短评内容': '不错，文艺', '短评打分': 5}
