{'短评内容': '很好  还有停车场  非常靠近王家湾商业街', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '全部都很好，要放几个衣架就完美了，我们长期住的就方便多', '短评打分': 5}
{'短评内容': '位置不错。离地铁站很近', '短评打分': 5}
{'短评内容': '价格合适', '短评打分': 3}
{'短评内容': '酒店非常好，干净整洁', '短评打分': 5}
{'短评内容': '临近地铁，很方便', '短评打分': 5}
{'短评内容': '很好，经常去', '短评打分': 5}
{'短评内容': '很好，很不错', '短评打分': 5}
{'短评内容': '满好呃呃呃呃呃呃呃的。', '短评打分': 5}
{'短评内容': '还好，反正快捷酒店都那样', '短评打分': 5}
{'短评内容': '卫生间太小', '短评打分': 3}
{'短评内容': '可以选择', '短评打分': 4}
{'短评内容': '一般，可以选择', '短评打分': 5}
{'短评内容': '地点不错误，环境也很好，出行交通方便，前台服务态度很好，周围小吃较丰富，出行，旅游，小住，是不错的旋选择', '短评打分': 5}
{'短评内容': 'OK', '短评打分': 5}
{'短评内容': '周边环境一般，服务人员还不错?', '短评打分': 3}
{'短评内容': '前台服务员业务不熟练，办个登记搞了快十分钟', '短评打分': 5}
{'短评内容': '总的来说还行', '短评打分': 5}
{'短评内容': '到商学院老校区考试，这里离的近，面积不大，感觉还是比较干净，简单！', '短评打分': 4}
{'短评内容': '当天预订较晚，到店时前台仍未收到订单，接单不及时。房间有点小够走动，水压够大水温可调，网络信号显示满格，就是不能用，第二天快中午才能使用。总体来说还算满意。', '短评打分': 5}
{'短评内容': '预定的非常快，提前了很久，一直都给保留到晚上10点多入住，赞一个', '短评打分': 5}
{'短评内容': '就是房间小了点&middot;卫生间都还不错&middot;挺干净的&middot;', '短评打分': 5}
{'短评内容': '还不错，干净卫生，物有所值，正如其名，有家的感觉', '短评打分': 5}
{'短评内容': '优点以前讲过了。这次说点不足：反馈卫生间地漏下水超慢—洗完澡还得专洗脚。没人处理，第二天，照旧！郁闷！', '短评打分': 5}
{'短评内容': '基于此前愉快的入住经历，毫不犹豫地选择了。不过这次住的房间下水有些慢；早餐只有面，对喜吃米的南方人有些......', '短评打分': 5}
{'短评内容': '由于上次愉快的入住经历，本周房价虽涨了些，仍坚定地选择了它。\n前台服务人员的热情、周到是本次入住的难忘印象。', '短评打分': 5}
{'短评内容': '环境很好         服务很好    位置也很好     一切很满意', '短评打分': 5}
{'短评内容': '过去经常住如家开发区店，这次为了工作之余“小游”琴台、月湖、归元寺，选择了它。\n入住很愉快，服务人员热情大方，房间安全卫生，餐饮营养丰富。下次再来还会选择。', '短评打分': 5}
{'短评内容': '后期可能还要到武汉，估计还是会住到这里，总体来说还不错', '短评打分': 5}
{'短评内容': '入住之后感觉不错，性价比挺高的，又给同事订了', '短评打分': 5}
{'短评内容': '第二次入住，没第一次住的舒服，外面楼上的空调滴水下来，滴在我住的那层楼上面，很响，影响休息。\n隔音不大好，其他还行', '短评打分': 5}
{'短评内容': '干净，整洁，推荐入住，而且很有一种回家的感觉', '短评打分': 5}
{'短评内容': '真的不错，结婚招待朋友用的，所以订的比较多，看了很多快捷酒店，这家最干净，而且价格不高还有返现，很划算', '短评打分': 5}
{'短评内容': ' 感觉不错，又订了1间。', '短评打分': 3}
{'短评内容': ' 环境不错，价格也比较合适，房屋没有想象中那末小，还有个写字台，很不错了', '短评打分': 3}
{'短评内容': '房间装修的味道还没散去，有点刺鼻，我住的那个房间半夜会有垃圾车的声音很吵', '短评打分': 5}
{'短评内容': '还不错呀   虽然比较小     但是价格很实惠吧', '短评打分': 5}
{'短评内容': '环境还可以就是隔音效果不太好，隔壁放电视的声音可以听见', '短评打分': 5}
{'短评内容': '住了之后发现真的很好 而且价钱非常值 前台服务态度也非常好 值得推荐 ', '短评打分': 3}
{'短评内容': '服务不错，性价比也很高，就是房间隔音效果太差了', '短评打分': 5}
{'短评内容': '干净卫生，就是房间有点小,不过价格还是蛮合理的，以后还是会入住！', '短评打分': 5}
{'短评内容': '交通方便，设施齐全，环境较好，离归元寺近，方便游览', '短评打分': 5}
{'短评内容': '酒店比较干净住起来有家的感觉', '短评打分': 3}
{'短评内容': '环境还可以，设施也还可以，空间小了点，另外早餐还要自己买单', '短评打分': 5}
{'短评内容': '很好的酒店，很干净，服务态度也好。离归元寺，古琴台都不远，很不错', '短评打分': 3}
{'短评内容': '很好,很满意', '短评打分': 3}
{'短评内容': '酒店房间比较小，但是确实还比较干净，服务态度也还蛮好的，值得推荐。', '短评打分': 5}
{'短评内容': '很干净工作人员也很热情，就是临街的房间有点吵', '短评打分': 3}
{'短评内容': '酒店人员服务态度很好,所处位置周围交通方便,便于出行,总的来说还不错呐', '短评打分': 5}
{'短评内容': '刚装修的，味道大了点，位置不错，我下次还会入住', '短评打分': 5}
{'短评内容': '基本上都很好的，就是房间太小，比较挤，很怀疑给我的不是大床房，而是特惠大床房。', '短评打分': 5}
{'短评内容': '总体来说酒店内环境比较满意，挺好，还会再来。', '短评打分': 5}
{'短评内容': '位置可以，东西较新，感觉不错，卫生也可以的，就是有小卡片', '短评打分': 5}
{'短评内容': '挺干净挺舒服，唯一的硬伤是，基本没隔音～', '短评打分': 5}
{'短评内容': '团购比较给力 99 住的也还挺好的 有家的感觉', '短评打分': 5}
{'短评内容': '如家服务较好，客人较多，但服务不够灵活，借记卡需要每天每天刷，赠送餐券一天一领，增加前台工作量，浪费客人时间！', '短评打分': 5}
{'短评内容': '位置处于汉阳大道上，出行方便，只是网络网络较差，望能有改进。\n', '短评打分': 5}
