{'短评内容': '一般性的', '短评打分': 4}
{'短评内容': '位置不错，出行很方便。', '短评打分': 5}
{'短评内容': '很不错，超预期', '短评打分': 5}
{'短评内容': '性价比不错，晚上很安静，隔音效果好，服务态度也不错，退房快。', '短评打分': 4}
{'短评内容': '开业时间比较久，卫生条件不错，对得起这个价格', '短评打分': 5}
{'短评内容': '不错，物美价廉', '短评打分': 5}
{'短评内容': '一般般的酒店 不過不失', '短评打分': 3}
{'短评内容': '还不错，位置挺方便', '短评打分': 5}
{'短评内容': '总体来说还行，不吵。', '短评打分': 4}
{'短评内容': '周边环境很好，交通方便，离蠡湖很近，走路十几分钟即到，晨起沿湖健步感觉很好。不足的是房间隔音效果不佳。', '短评打分': 5}
{'短评内容': '第一次有酒店一分钟不给延迟退房', '短评打分': 4}
{'短评内容': '代订酒店', '短评打分': 3}
{'短评内容': '挺好的 房间干净整洁', '短评打分': 4}
{'短评内容': '武警旁边', '短评打分': 5}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': '挺好的，离风景区近，周围环境好！', '短评打分': 3}
{'短评内容': '表示房间很整洁，环境很好，交通也方便', '短评打分': 5}
{'短评内容': '找不到吃饭的地方。房间灯光暗，窗子小。', '短评打分': 4}
{'短评内容': '，7月30－8月1日入住汉庭无锡蠡园开发区建筑路店，总体感觉很不错，房间大，干净，空调也给力，可以免费停车。下次来还住这里。山人', '短评打分': 3}
{'短评内容': '很惊喜，新建好的，很干净，特价房，虽然窗户不能开，可是房间很大，很舒服，空调非常给力。服务态度很好，前台还有酸梅汤提供，很不错。酒店房间有矿泉水，喝完后还想要，前台立刻送了两瓶冰的。到鼋头渚，打车十来块钱，还是很不错的', '短评打分': 5}
