{'descr': '卫生环境尚可，服务有待加强！', 'star': 2}
{'descr': '就那样了。。。？。', 'star': 4}
{'descr': '价格实惠。', 'star': 4}
{'descr': '一般般，房间有味道', 'star': 3}
{'descr': '客栈位置好，房间挺大的，但是设施陈旧，卫生差，标间168太贵了，也就值88元。', 'star': 3}
{'descr': '酒店比较陈旧了，住的时候一楼正在进行装修，客房也应该翻修了，中间没的房间窗户对走廊，如果打开窗户，没防盗网容易进来人。总体感觉没有预期的那么理想。', 'star': 3}
{'descr': '酒店位置很好，方便，服务人员比较热情，酒店旁边有很大的停车场，房间内设施干净，入住比较舒心，可以推荐给朋友', 'star': 5}
{'descr': '服务态度特别棒！谢谢！', 'star': 5}
{'descr': '服务态度特别棒！谢谢！', 'star': 5}
{'descr': '服务态度特别棒！谢谢！', 'star': 5}
{'descr': '服务态度特别棒！谢谢！', 'star': 5}
{'descr': '大堂很小，房间还行，是老的酒店，周边还比较方便。', 'star': 5}
{'descr': '房间还行。缺点是好像没有大床房，都是双床的', 'star': 5}
{'descr': '如果我下次还出差到那，我还会选择这家，非常不错', 'star': 5}
{'descr': '总体还行，就是隔音效果不太好', 'star': 3}
{'descr': '环境卫生还不错，工作人员态度也挺好，就是拖鞋什么的还要自己买麻烦点', 'star': 3}
{'descr': ' 高低铺很可爱 下铺够两个人睡觉 房间很小 设计得很紧凑 电视挂在墙上 拖鞋要自己买 一元一双 性价比还可以 没有锦江之星大气', 'star': 3}
{'descr': '百时快捷的酒店麻雀虽小，五脏俱全，但不提供洗漱和拖鞋，所以入住前尧自己准备好，但价格适中，所以我很推荐住这样的酒店。而且早上有当天最新的免费报纸看，不错，服务蛮温馨的。', 'star': 5}
{'descr': '离地铁口只有20米，非常方便，门口就有公交车，坐3站就到夫子庙。百时快捷价格实惠，适合年轻人外出旅游，很棒。', 'star': 5}
{'descr': '百时一般。床感觉不是特别干净。离夫子庙还蛮近的。', 'star': 3}
{'descr': '距离地铁站很近，出行方便\n房间较小，打扫得还算干净\n隔音不好', 'star': 5}
{'descr': '交通非常方便，出门50米有地铁，到南京站和南京南站都不过7站。门口50米内还有公交站，到夫子庙，雨花台，中华门可以乘公交，总统府可以坐地铁。到新街口直接走过去10几分钟。\n四通八达，而且房间干净，有上网的小吧台，房间内有网线，大厅有免费的报纸，周边还有小超市、水果店，旅行社和吃饭的地方，大概都在200米内，性价比很高。值得推荐。', 'star': 5}
{'descr': '布局什么的和锦江之星很像啊。定的房间有窗，但是沿街的，所以很吵。厕所浴室竟然都是透明的。牙刷、拖鞋等都需另行购买。', 'star': 5}
{'descr': '房间卫生很好，就是空间小了点，还有靠街道的太吵，晚上噪音很大，整个晚上都是马路上的车声，建议容易失眠的人别选择靠街道的。', 'star': 5}
{'descr': '经常住这家 很不错的！！干净是最关键的！！！', 'star': 5}
{'descr': '干净、安静、热水24小时供应、床很舒服……适合短期出差或游玩……\n总之……就是一句话……麻雀虽小、五脏俱全……\n还有一个好处，地点很好……交通方便。\n总体而言很不错！很满意！！！', 'star': 5}
{'descr': '挺好的，交通方便。', 'star': 3}
{'descr': '房间小，隔音差，拖鞋，洗漱用品还需自己购买！！！', 'star': 1}
{'descr': '很方便的，除了地铁口就到了，就是房间小了一点，不过相对于价格来说，真的很不错了', 'star': 5}
{'descr': '酒店的地理位置还是很不错的，酒店附近就是张府园地铁站，出行很方便。酒店设施也可以，空调很给力。不足之处在于卫生间太窄，简直难以转身。另外酒店算是地处闹市，深夜车来车往比较闹，睡眠浅的人预定前可要三思。', 'star': 5}
{'descr': '基础设施还可以，唯一的缺点就是晚上睡觉有点吵，或许是我选的房间问题', 'star': 5}
{'descr': '地理位置很好，出门就是地铁，走几十米就是羊皮巷。房间虽小但是很舒适。', 'star': 5}
{'descr': '＋景观房和和网上照片差距太大，根本没阳台，地面看着不干净', 'star': 3}
{'descr': '房间很好，喜欢床头的两个灯，和窗帘，很浪漫，很温馨。就是靠马路有些吵。总体还是很赞的，喜欢', 'star': 3}
{'descr': '地理位置便利，离地铁张府园站特别近，酒店设置比较新，干净整洁，比较符合年轻人的时尚心理。', 'star': 5}
{'descr': '酒店整体感觉不错，迷你卫生，价位也还算合适。对于在外出差住宿还是不错的一个选择。', 'star': 5}
{'descr': '干净整洁但很小', 'star': 3}
{'descr': '位置极佳，价格低廉，隔音很差。性价比还可以', 'star': 5}
{'descr': '地铁站口，干净卫生，服务态度好\n闹中取静', 'star': 5}
{'descr': '满意满意！温馨温馨！！赞！！！老客户了！', 'star': 3}
{'descr': '感觉很不错，比较干净卫生，就是能提供拖鞋就更好了', 'star': 5}
