{'短评内容': '半夜被楼上KTV吵的不能睡，空调噪声大还不给力，不推荐，比较差', '短评打分': 2}
{'短评内容': '环境还不错吧 周围有很多饭店 不过房间内没窗户 空调有异响', '短评打分': 4}
{'短评内容': '卫生一遍', '短评打分': 3}
{'短评内容': '房间还挺大！离火车站很近 不错', '短评打分': 4}
{'短评内容': '简直无法直视', '短评打分': 1}
{'短评内容': '还不错，周围很热闹，就是旁边太乱，出门注意安全', '短评打分': 5}
{'短评内容': '不隔音', '短评打分': 3}
{'短评内容': 'wf信号也不好', '短评打分': 4}
{'短评内容': '性价比比较高。', '短评打分': 5}
{'短评内容': '很不满意', '短评打分': 1}
{'短评内容': '空间大，但是旧。楼下ktv。嘈', '短评打分': 4}
{'短评内容': '地点、交通都不错，服务态度也不错，就是房间设施陈旧了点。', '短评打分': 3}
{'短评内容': '晚上吵死了', '短评打分': 2}
{'短评内容': '还不错，房间蛮大的', '短评打分': 4}
{'短评内容': '因为在酒吧街，很方便。但是怕吵的客户得另当别论喽，早餐是到房务中心领取的 两个包子一个鸡蛋一袋豆汁。。。。', '短评打分': 3}
