{'短评内容': '酒店位置还可以  步行也可以到北海公园', '短评打分': 3}
{'短评内容': '还行 还行。', '短评打分': 5}
{'短评内容': '环境还不错', '短评打分': 5}
{'短评内容': '可以推荐', '短评打分': 5}
{'短评内容': '不错.下次还来', '短评打分': 5}
{'短评内容': '在五一假期能住到这么经济实惠的已经很好了，离明清宫苑很近', '短评打分': 5}
{'短评内容': '环境一般，节假日期间订的到已经不错了', '短评打分': 5}
{'短评内容': '环境一般，节假日期间订的到已经不错了', '短评打分': 5}
{'短评内容': '还可以，这个价位跟酒店的档次也差不多吧', '短评打分': 4}
{'短评内容': '环境挺好的 这个价格离横店也不远 还是非常划算的！', '短评打分': 5}
{'短评内容': '为了跑横店马拉松，还可以吧，比预想要好', '短评打分': 3}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '酒店不错，还蛮干净的！', '短评打分': 3}
{'短评内容': '不错的酒店，还可以！！', '短评打分': 3}
{'短评内容': '设施陈旧简陋，插座大多不能用，没有早餐，好在对面有早餐点，而且品种多很不错，下次不会再住了', '短评打分': 3}
