{'短评内容': '干净', '短评打分': 4}
{'短评内容': '有些贵', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '酒店最大优点是交通方便，斜对面就是民航机场巴士，外出很方便。客房和携程描述不符！客房很小，使用面积包含卫生间都不到15平方米。网上提示是18至22平方。客房中根本没有衣柜，衣橱。连一个抽屜也没有，入住须知皮册子也没有，打前台电话不知号码，瞎拨一个九到对了。用品没有6件，小肥皂都没有，拖鞋是化纤的，连续用可能不卫生，酒店用员工很少，前台一名员工，游客多要等侯，早餐标准低也不好讲，吃2个包子喝一点粥吧', '短评打分': 3}
{'短评内容': '早餐一般吧，位置还是挺安静的，卫生也可以，挺错的地方。平时出差或则居家住一住还是可以的，不过房间的食品不是都有。', '短评打分': 4}
{'短评内容': '位置很好，离机场大巴乘车点几分钟路程，环境也不错，有露天阳台，室内干净整洁，闲暇可以去附近白鹿洲公园散散步。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '一般般，非常一般', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '没网！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '满意又住了一天', '短评打分': 5}
{'短评内容': '第一次住，比较满意', '短评打分': 5}
{'短评内容': '价格略高一点，但是毕竟地段不错。经济型酒店还可以。下次还会入住', '短评打分': 5}
{'短评内容': '酒店地理位置好，出行方便，周边吃的很多', '短评打分': 4}
{'短评内容': '还可以，交通很便利，房间也还干净', '短评打分': 4}
{'短评内容': '房间卫生还好，周边出行方便，服务态度很好！', '短评打分': 4}
{'短评内容': '不建议入住。一般般。', '短评打分': 4}
{'短评内容': '地理位置比较好，交通出行比较方便。房间比较宽敞，比较安静。', '短评打分': 5}
{'短评内容': '和同事来温州考试，其实这家酒店并不陌生，因为就在我姐家旁边，离考试的地方又近，旁边都是吃的，交通也很便利，最最重要的是闹中取静，看其他朋友的评价说这里隔音效果太差什么的，可是实际入住一晚，并没有感受到隔音效果太差带来的噪音，相反非常安静，房间也很宽敞，布置也算温馨，最喜欢的就是4楼上那个过道，太有感觉了！哈哈，谁去谁知道，强烈推荐！！', '短评打分': 5}
{'短评内容': '我订的是210的房间，住完却收我230，说是商务标间有电脑··我又没说要电脑，是前台给我开的房间，也没有任何提示我的话，这让我怎么接受', '短评打分': 1}
{'短评内容': '交通方便，附近饮食也挺多的，环境不错，房间还算可以', '短评打分': 5}
{'短评内容': '酒店交通很方便，闹中取静，非常不错。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '第2次入住，朋友感觉不错，有大号的阳台，和雨阳棚，早锻炼和晚聊天不错。', '短评打分': 5}
{'短评内容': '地理位置略拥挤，房间布置有特色，汽车文化氛围浓厚，前台接待一个人，开房等了很长时间，4月2日晚4楼火警警报器响，响了一个小时。。。紧急情况反应太慢！', '短评打分': 5}
{'短评内容': '酒店太麻烦，电梯不太方便。', '短评打分': 3}
{'短评内容': ' 酒店很好，交通也很便利，但是房间隔音稍差一点。', '短评打分': 3}
{'短评内容': '隔音太差', '短评打分': 3}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '环境还行 也比较干净 就是隔音效果极差 我住的那个房间楼下有个酒店厨房 那抽烟机的声音 大家可想而知 除了这还有隔壁电视声 说话声听的一清二楚。以上是我个人看法。', '短评打分': 1}
{'短评内容': '1111111111111111111111111111111', '短评打分': 1}
{'短评内容': '隔音太差 房间太小 隔音太差 房间太小隔音太差 房间太小', '短评打分': 1}
{'短评内容': '还不错，还不错，还不错，还不错，还不错，还不错，还不错，', '短评打分': 5}
{'短评内容': '酒店位置还不错，交通方便。服务比较差，服务员不敲门直接插卡进屋。', '短评打分': 1}
{'短评内容': '房间小而且外面很吵，价格又贵。不过前台的服务人员很漂亮，态度也可以。', '短评打分': 1}
{'短评内容': '感觉一般..房间有点脏 床很舒服.', '短评打分': 3}
{'短评内容': '性价比不高，房间不大，而且隔音效果不好，半夜被对面和走廊里的人吵得没法睡！可能有车族比较适合吧', '短评打分': 1}
{'短评内容': '还不错，就是窗户开的幅度太小，刚入住的时候还有烟味，通风了好久', '短评打分': 5}
{'短评内容': '房间比较干净，硬件设施一般，卫生间的洗脸瓷盆有点开花了。', '短评打分': 5}
{'短评内容': '酒店小巧温馨，交通方便，就是卫生间地砖太滑！酒店不到500米便是体育中心，那儿有公交直达温州南动车站，机场大巴起点站也在边上。', '短评打分': 5}
{'短评内容': '+房间隔音效果太差', '短评打分': 5}
{'短评内容': '房间比较空.没有什么硬件设施,位置还错挺方便出行的,其它各方面很一般.', '短评打分': 1}
{'短评内容': '房间布置的比较简洁，很干净，也很安静，睡眠质量还不错。', '短评打分': 5}
{'短评内容': '不能刷卡结账，停车很不方便，酒店的环境还行，态度一般，价格还是偏贵。', '短评打分': 1}
{'短评内容': '整体水平还不错，不过就是前台服务意识不高.其它各方面也挺一般的，不过住起来还行.', '短评打分': 5}
{'短评内容': '连锁形式的酒店，价格就是比较实惠。', '短评打分': 5}
{'短评内容': '卫生设施还行，位置也很好找而且酒店的服务态度也很不错。价格我还是可以接受的挺适中的。', '短评打分': 5}
{'短评内容': '房间打扫的比较干净，设施还行，价格挺合适的。', '短评打分': 5}
{'短评内容': '空间还行，布置的比较精致，卫生很好，地面啊、床上啊都很干净。感觉比较舒适。', '短评打分': 5}
