{'短评内容': '房间还不错，很干净。早餐的种类虽少些，到很干净。', '短评打分': 5}
{'短评内容': '看了很多宾馆才决定选这家。没有让我们失望，在大榭经济开发区这里也算比较好的，双床房的床很大，就是感觉垫的比较薄，整体还不错。', '短评打分': 5}
{'短评内容': '看了很多宾馆才决定选这家。没有让我们失望，在大榭经济开发区这里也算比较好的，双床房的床很大，就是感觉垫的比较薄，整体还不错。', '短评打分': 5}
{'短评内容': '早餐种类不多，但是好吃', '短评打分': 4}
{'短评内容': '还行吧', '短评打分': 4}
{'短评内容': '环境很好，性价比高，建筑外观很漂亮，服务态度也好，房间挺宽敞的，挺满意的，下次需要还会住这家的。很好好', '短评打分': 5}
{'短评内容': '还可以，房间比较大，卫生设施也不错，早饭马马虎虎，就是定的标准商务间，电梯上去还要走楼梯，环境就一般了环境不错，价格不低，四楼需要坐电梯到三楼再爬楼梯上去。前台服务很好，赞一店整洁、卫生，服务热情、周到；隔一条马路就能欣赏日出日落；隔几站路就能登上有名的七顶山，俯视全岛的美景。', '短评打分': 4}
{'短评内容': '性价比还可以，晚餐比较单调，比较干净，比大榭国际肯定差一些，其他尚可。房间比较大，卫生设施也不错，早饭马马虎虎，就是定的标准商务间，电梯上去还要走楼梯，环境就一般了四楼需要坐电梯到三楼再爬楼梯上去。前台服务很好。', '短评打分': 4}
{'短评内容': '总体来说还不错', '短评打分': 4}
{'短评内容': '干净卫生、服务态度好', '短评打分': 5}
{'短评内容': '已连续住了20多天，发觉离酒店100米的海边很美、很美！', '短评打分': 5}
{'短评内容': '完美', '短评打分': 5}
{'短评内容': '完美', '短评打分': 5}
{'短评内容': '完美', '短评打分': 5}
{'短评内容': '一般般', '短评打分': 3}
