{'短评内容': '干净卫生服务好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '早餐不错，位于市中心，停车场比较宽敞！', '短评打分': 5}
{'短评内容': '还没到退房时间，而且客人也不在酒店，所有物品包括包包都在房间，没有打电话询问，就私自开门打扫房间准备退房了，完全不尊重客人的隐私，也不保障客人的权益！非常不满意！', '短评打分': 1}
{'短评内容': '住着儿舒服', '短评打分': 5}
{'短评内容': '非常好的酒店，服务价格都不错', '短评打分': 5}
{'短评内容': '不错的价格，性价比高', '短评打分': 5}
{'短评内容': '房间不错，每次到莱西都住这里', '短评打分': 5}
{'短评内容': '总体来说还不错的，我选择了复式房间，现在淡季，价格才343，房间很大，还分两层。带阳台，缺点是房间有点冷，制热慢。在就是设施略显陈旧。', '短评打分': 4}
{'短评内容': '都很一般。。。房间设施陈旧，洗澡水几乎要断流的感觉，而且很脏很脏。。。', '短评打分': 3}
{'短评内容': '一如既往', '短评打分': 5}
{'短评内容': '一如既往', '短评打分': 5}
{'短评内容': '推荐', '短评打分': 5}
{'短评内容': '满意，早餐不错，还送洗浴券', '短评打分': 5}
{'短评内容': 'Tuijian', '短评打分': 5}
{'短评内容': '还不错。', '短评打分': 3}
{'短评内容': '在莱西价格偏高，靠着医院近，到的比较晚，前台的男服务员快睡着了', '短评打分': 5}
{'短评内容': '好确实好，床特别舒服。但是相对于莱西这个县级城市来说，价格偏高，可能主要面对是当地的。。。。。。。你懂的·····', '短评打分': 5}
{'短评内容': '位与市中心，交通便利，环境比较不错，服务好。', '短评打分': 5}
{'短评内容': '服务周到，态度热情，尤其打扰房间认真细致。', '短评打分': 3}
{'短评内容': '莱西最好的酒店 住着比较舒服 早餐也好 总体一切都方便 下次肯定还住', '短评打分': 5}
{'短评内容': '以前出差 没有住 这次第一次住 没想到莱西会有这样好的酒店（有泳池）都好都好 下次还住', '短评打分': 5}
{'短评内容': '环境、服务都是很不错的，唯一一点不足就是周围有点偏', '短评打分': 5}
{'短评内容': '莱西最好的酒店 住着就是舒服 下次出差还要住 ', '短评打分': 5}
{'短评内容': '房间干净、整洁，很很舒适，下次还会来这里！', '短评打分': 5}
{'短评内容': '环境很好，房间卫生很干净！', '短评打分': 3}
{'短评内容': '坏境比较不错，就是毛巾太旧了。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '酒店条件不错，服务也比较周到。早餐品种一般。复式的房间住着并不舒服，感觉房间内的楼梯不是很结实。附送的报纸水果不错。', '短评打分': 5}
{'短评内容': '酒店位置好 服务不错 房间干净 早餐也好 下次还要住 价位要是便宜一些就好了 ', '短评打分': 5}
{'短评内容': '酒店很新 硬件很好 房间内设施很商务化 绝对配得上4星级的标准 ', '短评打分': 5}
{'短评内容': '酒店很新 干净宜人 早餐丰富 服务很好 交通方便（我们是开车过去的）设施不错 下次还住\n', '短评打分': 5}
{'短评内容': '服务还可以，但是没有真正的大床房，都是两张床拼的', '短评打分': 3}
{'短评内容': '不错，硬件软件都可以。。就是自带酒要开瓶费不好。。', '短评打分': 5}
{'短评内容': '这家宾馆不错，交通很方便，离商业街也近。卫生不错，服务态度也不错，就是早餐的花样少了点儿。餐饮要价老贵了', '短评打分': 5}
{'短评内容': '酒店位置不错 服务态度好 早餐也可以 房间还算干净 下次来还考虑住这里 性价比比较高 装修吗还算可以 总体感觉还是不错的 ', '短评打分': 5}
{'短评内容': '位置不错 服务可以 很干净 早餐也很好 住着很舒服 下次还考虑入住', '短评打分': 5}
{'短评内容': '附近吃的不是很多. 但酒店的各方面都还是可以接受的.', '短评打分': 5}
{'短评内容': '卫生 干净 位置不错 早餐也可以 下次还来 值得推荐！', '短评打分': 5}
{'短评内容': '很好，不错', '短评打分': 3}
{'短评内容': '怎么涨价了呢？\n服务有什么提升么？硬件有什么改善么？\n这时为什么呢？\n销售的态度倒是有点店大欺客的感觉，协议价格没得谈。', '短评打分': 5}
{'短评内容': '酒店不错，带了三个国外同事去的，他们都喜欢那里，服务好，性价比高，早餐对外国人比较单调', '短评打分': 3}
{'短评内容': '总体不错！', '短评打分': 3}
{'短评内容': '莱西比较好的酒店，每次来都会住这里，软硬件都很好，服务比较周到', '短评打分': 5}
{'短评内容': '酒店位置不错 前台服务好 房间舒适 早餐也可以 下次还来！', '短评打分': 5}
{'短评内容': '酒店位置好  干净卫生 服务周到 早餐可以 下次还住！', '短评打分': 5}
{'短评内容': '很不错 酒店干净 卫生 服务态度好 总体感觉不错 温馨 希望下次还住！very good!', '短评打分': 5}
{'短评内容': '酒店很舒适，楼下酒吧很有情调，性价比很高', '短评打分': 5}
{'短评内容': '位置不错，距离出差办公地点很近。环境也不错。下次出差估计还会住这里。', '短评打分': 5}
{'短评内容': '房间硬件设施不错.', '短评打分': 3}
{'短评内容': '这段时间在这儿住的挺多的， 要是早餐再丰富点就更好了。', '短评打分': 5}
{'短评内容': '不错，住的挺舒服的，服务态度好。房间设施与房价相当。\n\n有时客满订不到房。', '短评打分': 5}
{'短评内容': '酒店的服务很到位，服务员很热情，房间挺舒适，早餐很丰富。', '短评打分': 3}
{'短评内容': '酒店很好 干净早餐很丰富 ，很经济实惠，下次还入住。\n\n\n', '短评打分': 5}
{'短评内容': '洗澡间的地面看上去有些陈旧，其他都挺好,服务让人感觉舒适。', '短评打分': 5}
{'短评内容': '总体来说感觉不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '酒吧硬件不错，但软件不行。十一点就开始关门了。', '短评打分': 5}
{'短评内容': '酒店环境优美，最主要服务质量绝对称好，让人有家的感觉。', '短评打分': 5}
{'短评内容': '+房间挺大的。也很新.', '短评打分': 5}
{'短评内容': '服务很细心很周到，房间干净整洁，整体感觉酒店安全舒适，值得推荐。', '短评打分': 5}
{'短评内容': '房间面积挺大的，设计的以中式风格为主，卫生、设施方面都还不错，住的挺舒适。', '短评打分': 5}
{'短评内容': '在莱西算是最好的宾馆了。入住的时候别忘了向前台要COUPON，有免费的游泳，SAUNA等等。距离市中心还是很近的。\r\n推荐...', '短评打分': 3}
{'短评内容': '硬件软件都不错，就是餐厅价格高了点', '短评打分': 5}
