{'短评内容': '设施简单，就是个旅馆。要求不高就可以，便宜而已。', '短评打分': 4}
{'短评内容': '房间干净整洁，客厅布置的很有个性，窗外能看到风车，古楼王子就在对面，不错的住宿选择，和家里人一起很愉快的旅行', '短评打分': 5}
{'短评内容': '房间很干净整洁，被子毛巾干净，小林老板人挺好，房间面向湖边，环境舒适，楼下是他父母经营的饭店，价钱也公道。', '短评打分': 5}
{'短评内容': '客栈很有情调，客厅有茶有咖啡，帅哥老板不仅给我们泡茶还和我们聊天，很有家的感觉。一楼饭店客家菜好吃还不贵，很好的一家人。', '短评打分': 5}
{'短评内容': '客栈房间大，还有客厅，客厅内有茶具可以泡茶喝，还可以喝咖啡，墙上挂着土楼的照片，贴着游客的留言，窗外有山有水有风车，很有情调的客栈', '短评打分': 5}
{'短评内容': '很好 装修很新 也很别致 这个价格超值', '短评打分': 5}
{'短评内容': '很好 装修很新 也很别致 这个价格超值', '短评打分': 5}
{'短评内容': '在客家文化村里，找到一家实在的客栈实属不易，老板会唱歌会聊天，吃饭在楼下阿姨家也很方便，旅行最安心的所在', '短评打分': 5}
{'短评内容': '房子很大，在景区里面，得先买票', '短评打分': 5}
{'短评内容': '老板经热情，楼下的家常菜可口，尤其是自酿米酒十分好喝。', '短评打分': 5}
{'短评内容': '首先是干净，床上用品雪白，看的非常舒服。二是方便，住在景区里面，17:00以后车就可以开进去，有停车场，免费停车，19:00后进去还可以免门票。三是小老板厚道老实，小店收拾的干干净净，还挺有情调。', '短评打分': 5}
{'短评内容': '非常非常棒！老板热情人好，房间有独立卫浴和空调，晚上可以听见虫鸣，被子特别干净，环境整洁清爽，地理位置优越，靠近振成楼，满分体验，强烈推荐！', '短评打分': 5}
{'短评内容': '酒店位于景区里周边环境优美非常方便，楼下自家经营的饭店饭菜可囗，只是到底是几年前装修的设施比较简陋，卫生也略有不足', '短评打分': 4}
{'短评内容': 'Great spot, very convenient to walk to the tulous. Very good room deal, clean and friendly', '短评打分': 5}
{'短评内容': '干净卫生，住着很舒服！', '短评打分': 5}
{'短评内容': '环境很好，老板也是很热情的哦！旅馆楼下就是餐厅，东西好吃而且不贵', '短评打分': 5}
{'短评内容': '酒店在洪坑景区里面，携程上订联票也是在这门口取票（门口买100，网上定90），开车过来五点之后才能进景区，不然就得步行1.2公里到酒店，可以把车停在停车场然后换票先去土楼王（景区左转5公里），最老的土楼王（300年了），五点回来再开车进景区入住，或者19：00进景区直接免票了！酒店是一家人经营的，非常热情好客，一楼可以用餐，老板的爸爸炒菜很好吃，价格在景区里也不算贵，3个菜加上米饭80块钱！房间很', '短评打分': 5}
{'短评内容': '值得推荐的旅馆，大床房房间和卫生间都偏小，洗澡不方便，相比之下双床房空间宽裕比较理想，尤其二楼的河畔观景双床房，老板自己打造的家具摆设挺有特色，窗外景色很好', '短评打分': 3}
