{'短评内容': '早餐没来得及吃，睡懒觉了！因为被子太舒服了……', '短评打分': 5}
{'短评内容': '酒店环境还可以。入住的是双层套房。房间干净。主要价格便宜。这个级别住这样的房间相对是比较低价了。周边走几步就有饭店及超市，生活便利', '短评打分': 5}
{'短评内容': '只能说国庆三百的房间对的起这个价钱 便宜没好货 但和我定的另一间五百多的酒店也差不多 反正两间酒店都不会再来住了 要求住宿品质的这个酒店不适合', '短评打分': 3}
{'短评内容': '很满意，这么优惠，卫生很干净', '短评打分': 5}
{'短评内容': '第一眼感觉超差，压根不值两百多。', '短评打分': 3}
{'短评内容': '离景区较近，出游比较方便', '短评打分': 5}
{'短评内容': '不咋地…', '短评打分': 2}
{'短评内容': '真心一般，非节假日无房可住，不推荐', '短评打分': 3}
{'短评内容': '酒店位置还是可以的，离景区都蛮近的。但是房间设施老旧，卫生条件不怎么样。而且我们订的是大床房，前台非说大床房小，不好，什么样都不给我们看，非要我们改成标间！服务态度也不好。。。提供早餐，味道么。。。呵呵。。。。自己吃着看吧。。。。', '短评打分': 3}
{'短评内容': '公司旅游去的，价格合理，环境也不错', '短评打分': 4}
{'短评内容': '离天目湖景区确实挺近的，只是房间里有霉的味道，提供双早，只是早餐真心不贴心，七点半去吃早餐，除了稀饭是热的，其他所有的东西都是凉的。炒饭、炒面、包子、鸡蛋、全部都是凉的，双标还要282一间。真是抢钱', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '酒店挺好的，早餐也不错，很满意，就是第一次用艺龙有点麻烦，不像同程简单，幸好服务非常好，打了很多电话解决问题，态度极好，就是天目湖这个地方的门票必须提前一天定才有优惠，要来的人一定注意这个', '短评打分': 3}
{'短评内容': ' 1酒店地址很好找,就在快到天目湖的马路旁边2设施很好,冷热水切换很迅速,牙刷也好用3我们来得很巧 酒店把我们的大床房改成了套房 很大 很舒服 4服务很热情早餐也还算丰盛 非常愉快的入住体验', '短评打分': 3}
{'短评内容': '房间虽然不大但是很整洁，前台服务也很好，就是位置稍微有点偏。', '短评打分': 5}
{'短评内容': '酒店位置接近天目湖景区。房间装修一般，不太隔音。整体评价尚可。', '短评打分': 5}
{'短评内容': '离开天目湖虽有2KM距离，但是相比价格虚高的湖边酒店，这里的性价比显然更高。停车广场非常大，酒店房间小了一点，但是设施还是蛮新的。吃饭隔壁的百味堂菜式还是不错的。', '短评打分': 5}
{'短评内容': '君悦酒店蛮好的，里面很干净的，就是空调差了点，天冷要盖两条被子！', '短评打分': 3}
{'短评内容': '酒店还算干净，春节期间生意特别好，几乎客满。不过洗脸池没有热水，不方便。订了2个房间，其中一个味道大。', '短评打分': 1}
{'短评内容': '酒店的服务非常好。我们是一家三口住标间，我们入住的时候服务员快要下班了，还帮我们多准备了一双拖鞋和一副牙刷用品。', '短评打分': 5}
{'短评内容': '大年初三晚入驻480套房，在3号楼2楼，酒店位置离天目湖景区蛮近，但边上没啥东西，酒店内饰还是蛮新，只是比较简单，套房大是很大的，标间偷看了下也挺大。卫生间卫具都不是品牌，总体比较简单那种。早餐就中式的粗粮，粥啥的，简单的很', '短评打分': 5}
{'短评内容': '进到酒店后觉得比想象中的好很多。酒店是新酒店，住的是大床单间，虽然房间不是很大，但是房间里面一应俱全，干净清爽，卫生间也很干净，晚上睡觉很安静，还是不错的。', '短评打分': 5}
{'短评内容': '这个酒店，性价比实，是一般的小旅店。早餐也不是很好，就是安静是远离闹市区的原因。', '短评打分': 1}
{'短评内容': '很干净,服务也蛮好', '短评打分': 3}
{'短评内容': '前台服务不错，因为带了宝宝，大床房免费升级了套房，鱼头汤也很好；位置离湖边有点远，开车打了通电话才找到，晚上很安静。', '短评打分': 5}
{'短评内容': '房间太小，大床两侧不足半米，转身都难！房间还算干净！', '短评打分': 1}
{'短评内容': '总体感觉还不错，虽然位置偏了些，离吃饭的地方还算近，价格也便宜，下次去还会住', '短评打分': 5}
{'短评内容': '比较新，房间还可以，干净。由于酒店原因还为我们免费升级为套房，就是空调有点不足。价格还可以。', '短评打分': 5}
{'短评内容': '不错，很新，很干净，下次还会入住！酒店的早餐比较简单，但是管饱！热水倒是一般，空调不够热，但是，环境真的不错，下次会推荐朋友来的，自己也会来。但是必须要有车吧，停车很方便的！', '短评打分': 5}
{'短评内容': '，酒店不错，人不多，试合情侣。', '短评打分': 3}
{'短评内容': '环境很不错！鱼头汤味道也很好。关键是服务到位，推荐', '短评打分': 5}
{'短评内容': '客房条件不错，住着感觉挺舒服的，并且性价比也蛮高的，服务人员比较热情周到.', '短评打分': 5}
{'短评内容': '房间一般般达不到四星标准，位置还行，价格也挺贵的，酒店环境看起来不是太好。', '短评打分': 1}
{'短评内容': '这家酒店看起来是新建的，外表和内部装修都还不错，服务人员的态度也很不错。也可能是因为新开张的，屋子里面有一股味道，所以需要打开窗户通通风。', '短评打分': 5}
{'短评内容': '网络免费，可是不通。 早餐免费，2元标准。房间很新，没有电梯，因为只有2层。空调在头顶上，不管怎么调，总会把人吹出颈椎病来。水忽冷忽热，没有浴缸。被褥很新。就是个经济型快捷酒店。菜单肯定是国庆期间临时换的，价格涨了30%以上。结账时注意，账单又被临时多算了50多块，乱套了，点菜服务员根本不记得有什么菜，什么价，反正心里胡乱宰你就是了。厨师的水准就是没水准，街边小店的味道也比他烧的好。\r\n离天目湖景', '短评打分': 1}
{'短评内容': '说是在最繁华的商业区，但其实这商业区还没正式运行。。晚上空荡荡的~但是吧，酒店还是蛮不错的，那个砂锅鱼头也如其名的很好吃……总体给个好的评价', '短评打分': 5}
