{'短评内容': '住了两晚 非常舒服的酒店 干净安静 打扫房间的阿姨很客气 门口饭店小吃店很多 ＂外婆家＂距酒店600米', '短评打分': 5}
{'短评内容': '还是不错的，方便干净', '短评打分': 5}
{'短评内容': '不错的酒店', '短评打分': 5}
{'短评内容': '很棒很干净', '短评打分': 5}
{'短评内容': '位置优越，性价比非常高，房间也非常舒适，以后还会入住........................', '短评打分': 5}
{'短评内容': '酒店服务不错，虽然不微笑，但针对遇到的问题都能及时解决。早餐比较丰富，在这办会议的单位不少。晚上上电梯要刷房卡，白天不用，很人性化的设置', '短评打分': 5}
{'短评内容': '还可以。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '干净，卫生，早餐比较丰富', '短评打分': 5}
{'短评内容': '很不错的', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '新世纪大酒店 豪华标准双床房', '短评打分': 4}
{'短评内容': '很老的酒店，服务一般，感觉不值', '短评打分': 1}
{'短评内容': '不错不错不错', '短评打分': 5}
{'短评内容': '哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈呵呵呵呵呵', '短评打分': 5}
{'短评内容': '好好好哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈', '短评打分': 5}
{'短评内容': '哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈呵呵呵呵呵或或或或花哈哈哈哈哈', '短评打分': 5}
{'短评内容': '好好哈哈哈哈哈哈哈哈哈哈或或或或或或或或或或或或或或或或或或或或或或或或', '短评打分': 5}
{'短评内容': '非常一般，隔音超级不好，门缝大的可以看到外面，整楼的窗户是一体的，别的屋关窗户我们都能听见，地毯很脏还有味，早餐只能凑合，下回不会再住了', '短评打分': 5}
{'短评内容': '酒店还可以，交通方便，但就是设施有点陈旧', '短评打分': 4}
{'短评内容': '干净整洁，安静又舒适，非常满意', '短评打分': 5}
{'短评内容': '酒店很好，房间大，早餐也很好吃。下次来还住这。', '短评打分': 5}
{'短评内容': '放假很是非常不错的，很舒服，床很好。环境也不错', '短评打分': 5}
{'短评内容': '酒店很好，床又大，早餐也不错。', '短评打分': 5}
{'短评内容': '赞', '短评打分': 5}
{'短评内容': '酒店大堂略显陈旧，不过房间做的还是不错，两个房间里有一个有智能马桶盖。采光好，设施也齐备，还是比较推荐的。妈妈很满意。值得推荐的是早餐，品种多口味也不错，服务态度好，直接提升了满意度地段不错，整体环境较好，免费停车的地方要赞一个', '短评打分': 5}
{'短评内容': '出行便捷，服务员态度友好，不错的选择，推荐！', '短评打分': 5}
{'短评内容': '挺好的安静', '短评打分': 5}
{'短评内容': '四星酒店，地理位置也好，整体不错。', '短评打分': 5}
{'短评内容': '算是不错的了，毕竟四星级。适合商务出行。', '短评打分': 5}
{'短评内容': '酒店很不错！停车不方便', '短评打分': 5}
{'短评内容': '很好的酒店', '短评打分': 5}
{'短评内容': '酒店位置合理！停车一般！', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 4}
{'短评内容': '性价比高 离杭州大厦步行也就半小时，一切都还可以', '短评打分': 5}
{'短评内容': '还不错，就是房间与走廊隔音不好，外面说话声声声入耳。半夜12点竟然接到按摩电话', '短评打分': 5}
{'短评内容': '房间特价特别，餐饮还实惠，出入方便', '短评打分': 4}
{'短评内容': '此次留宿新世纪酒店觉得很温馨，舒适房间设施设计得很舒服，合理，所有个人用品有两种颜色，空调制热功能很强，水压充足，房间格局合理美观，下次来还会选择入住此酒店.', '短评打分': 5}
{'短评内容': '房间下水设施不畅通', '短评打分': 4}
{'短评内容': '房价偏高，设备检修有待加强，有一点小小的失落', '短评打分': 4}
{'短评内容': '整体来说环境还是不错的。离繁华地段也就几站路。交通方便。早餐太一般了。', '短评打分': 5}
{'短评内容': '位置方便，环境还可以，服务也不错', '短评打分': 5}
{'短评内容': '环境不错，位置也挺方便的', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 3}
{'短评内容': '房间和价格挺适中，酒店位置较好。', '短评打分': 3}
{'短评内容': '酒店这个价格还可以比较优惠，比咱们公司协议价还优惠，OK', '短评打分': 5}
{'短评内容': '离我上班的地方非常近，本人经常住这个酒店，就是早餐太简单了', '短评打分': 5}
{'短评内容': '新开的酒店，配套完善，干净，前台的服务还错。单位出差，定的特价房3间，性价比颇高。地处杭州市中心，离市政府 西湖都很近。', '短评打分': 5}
{'短评内容': '房间很大，价格也较为合适，缺点是：餐厅打烊太早了。', '短评打分': 5}
{'短评内容': '考虑到价位，早餐太差了。', '短评打分': 3}
{'短评内容': '酒店性价比好，卫生状况不错。服务员态度好。表扬！', '短评打分': 5}
{'短评内容': '酒店尚可，会议较多。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '杭州新世纪酒店挺不错的', '短评打分': 3}
{'短评内容': '住过两次  停车有点不方便 地方还行，对面造楼 有点噪音', '短评打分': 5}
{'短评内容': '干净蛮干净的，感觉这个价钱房间略小，而且保安态度不好- -', '短评打分': 5}
{'短评内容': '干净卫生，已经住过一次了，很宽敞，主要是离办事地点很近，很方便，很温馨。', '短评打分': 5}
{'短评内容': '环境不错，干净卫生，设施不是很新，但也还可以的，热水不是那种凉凉的，很舒服，挺宽敞的。', '短评打分': 5}
{'短评内容': '前台态度很差，早餐一般，可取之前就是位置', '短评打分': 1}
{'短评内容': '早餐都是中式的，外宾客户不太满意，其他基本满意', '短评打分': 5}
{'短评内容': '酒店环境不错，服务员态度很好', '短评打分': 3}
{'短评内容': '入住了 但是真的很无奈阿 什么四星啊 太偏人了 哎 想退 还要全天的费用 算了 将就吧', '短评打分': 3}
{'短评内容': '房间设置基本满意，早餐一般般，停车方便，可以免费停车。', '短评打分': 5}
