{'短评内容': '一般一般一般', '短评打分': 3}
{'短评内容': '个人觉得比较一般，卫生很差，第一天看见卫生间有烟头没打扫，第二天跟清洁阿姨说让她打扰一下房间，结果下午回去看还是有烟头。没有一次性拖鞋和小香皂，这个也能理解吧。', '短评打分': 3}
{'短评内容': '没有早餐 没有无线 连个袋子都没有 只有一个很小的枕头 拖鞋没有一次性的 部分灯坏的     睡到半夜还一帮人来酒店闹事 这酒店个人感觉不好', '短评打分': 2}
{'短评内容': '酒店呈回字形共三层，二层三层为客房。一层有餐厅、会客厅、还有一处小景观。酒店房间位置决定了空间的大小，很幸运入住的房间里有个小包间（有一张桌子+四把椅子），卫生间也蛮宽敞，还有一个小躺椅，感觉棒棒哒！', '短评打分': 4}
{'短评内容': '停车很方便，卫生也可以，没有准备拖鞋和水，并且屋子里有股不知道什么味道', '短评打分': 5}
{'短评内容': '有一个电视品牌叫TCL  翻译过来就是太差了 很贴切这家山庄', '短评打分': 2}
{'短评内容': '老板很热心，帮忙代购门票，早上5点30电话招呼起床，吃完早饭后，早饭的煮鸡蛋不错，老板亲自送到金沙缆车站，真心赞！真心给好评！', '短评打分': 5}
{'短评内容': '蛮干净的，设备齐，虽然房间有点小，但还是不错', '短评打分': 4}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '老板娘的态度太差了 下次不会再住了 性价比不如旁边的酒店', '短评打分': 4}
{'短评内容': '传统徽式建筑很有味道，这一次住宿很特别，有种穿越的感觉！酒店位置好，位于市中心，交通比较便利，很容易找，有停车位，这要赞一个。 酒店房间很干净，床很舒服，布置的古色古香，很不错！和亲爱的度过了一个不一样的晚上！好舒服！好爽！', '短评打分': 5}
{'短评内容': '酒店离高速很近，作为过路住宿非常方便。外观是徽式建筑，房间干净整齐。就是晚上水压不太稳定。', '短评打分': 5}
{'短评内容': '房间不大，但总体感觉还行，比较干净', '短评打分': 3}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '酒店位于市中心，交通比较便利，很容易找，有停车位，赞一个。 酒店房间很干净，床很舒服，布置的古色古香，早餐简单，不错', '短评打分': 4}
{'短评内容': '住宿条件不错，设施很好，早餐还行，卫生很好，环境一流，推荐！', '短评打分': 5}
{'短评内容': '酒店很新，卫生干净，不过价格太贵，早歺过于单一，酒店没有评星，网上却报四星，收费也是四星的标准，服务却太一般。', '短评打分': 3}
{'短评内容': '中式精品酒店 很温馨 出路方便 离醉温泉也很近 ', '短评打分': 5}
