{'短评内容': '免费升级套房，必须要纪念一下', '短评打分': 5}
{'短评内容': '酒店周围环境很安静，有单独的小花园', '短评打分': 5}
{'短评内容': '非常好！早餐丰富，不能加床，交通方便。非常适合商务出差入住。', '短评打分': 5}
{'短评内容': '环境好 国营', '短评打分': 5}
{'短评内容': '酒店比较老旧，属于机关内部酒店，早餐在工作人员食堂，很干净，当然了谈不上丰富不丰富了，出差途方便省事，可以选择。', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '环境不错，比较安静，停车方便', '短评打分': 4}
{'短评内容': ' 这次出行是送儿子上大学，宾馆位置不错，去哪儿玩都方便。房间大小刚好，很干净，卫生间很亮堂，个人很怕灯光暗暗的卫生间，这个给个非常好评。照片没有。宾馆的小院子也很好，简单，明了。', '短评打分': 5}
{'短评内容': '设施有点旧，不过比较干净，方便。', '短评打分': 4}
{'短评内容': '住的很好，开会方便，非常近', '短评打分': 3}
{'短评内容': '服务态度很好，门口有小餐厅，用餐很方便', '短评打分': 5}
{'短评内容': '楼上无网络', '短评打分': 5}
{'短评内容': '地方不错，挺安静，价钱有点贵，明明在艺龙网上定的，大厅服务员说不知道，一头雾水。', '短评打分': 3}
{'短评内容': '位置不错，环境也行，价格不算高，餐饮质量和服务都过得去。总体来说，性价比相当。\n\n不足：酒店标识不够醒目；车不能直接开到雨棚下；停车场至总台的通道门经常上锁，对驾车的宾客来说，不够方便。', '短评打分': 5}
{'短评内容': '自驾车过来的，交通还比较方便，不错', '短评打分': 3}
{'短评内容': '相对于酒店的设施、服务等等，房价显然高了点', '短评打分': 5}
{'短评内容': '对于价格，这里性价比还是挺高的，缺点就是，周围吃饭的地方比较少，当然，这样也很安静。总体不错的', '短评打分': 5}
{'短评内容': '宾馆条件不错,位置较偏!', '短评打分': 3}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '硬        件     环    境        不    好\n       ', '短评打分': 1}
{'短评内容': '烟味太重了！                                  ~空气极其干燥！', '短评打分': 3}
{'短评内容': ' 好', '短评打分': 5}
{'短评内容': '前台人员服务态度蛮横！\r\n我是９月17日凌晨预订的,当时因为航班时刻比较晚,所以已特意给前台人员打过电话,说18日凌晨1点多到,请保留并多多包涵,电话中对方态度不错，且同意可以延迟到１８日下午2点退房．结果，我于18日凌晨2点左右到达,前台人员一开始就十分蛮横,当我说能否延迟退房时,她居然说,＂不行,你爱住不住，不住赶紧走！这个时间来，我们都不应该收留你！＂我说，不是上飞机前我又特意给你打过电话的', '短评打分': 1}
{'短评内容': '+硬件设施太差', '短评打分': 5}
{'短评内容': '兰溪宾馆周围环境很安静，很好。', '短评打分': 5}
{'短评内容': '性价比和附近的交通条件都比较好，房间设施一般，服务不错。', '短评打分': 5}
{'短评内容': '兰溪宾馆位置不错，适合到附近办事的住。', '短评打分': 5}
{'短评内容': '宾馆服务规范，房间布置整齐。', '短评打分': 5}
{'短评内容': '客房设备比较齐全但不是很新，卫生还行，入住还算是理想的。', '短评打分': 5}
{'短评内容': '出差的时候住过，宾馆整体感觉不错，住着挺舒适，但是建议早餐时间延长一点。', '短评打分': 5}
{'短评内容': '房间里设施还是够用的，服务员见面总打招呼，比较热情。', '短评打分': 5}
{'短评内容': '经济型酒店，虽然门帘招牌不大，但进入大门感觉还像个酒店。', '短评打分': 5}
{'短评内容': '酒店的环境设施都是不错的，就是价格有点贵，但是他离我办事地方非常近，挨着国家环保总局，对我来说很方便，可是如果是旅游的话，这个位置就不太好了，在四环边上，如果旅游我会选位置离市中心近一点的地方。', '短评打分': 5}
{'短评内容': '设施维护的太差了', '短评打分': 1}
