{'descr': '出差去这住了两天，感觉不错，非常的好，前台服务员服务态度好，也干净，，交通也特别特别方便。早餐特别好。', 'star': 4}
{'descr': '这个酒店各方面都不错，比较理想，', 'star': 5}
{'descr': '方便快捷，服务可以', 'star': 5}
{'descr': '旁边有个Ktv，不过隔音还行！', 'star': 5}
{'descr': '房间很大。就是感觉不是很干净。旁边是个ktv比较吵。', 'star': 5}
{'descr': '房间还不错，挺干净，旁边是一个KTV有点吵，不过还可以接受，和如家，7天连锁基本一样的，下次还可以住。', 'star': 5}
{'descr': '真心不怎么样，业务不熟练，不给开发票。如果不是我坚持，这事就泡汤了，态度还很差。是便宜，但是最起码的业务总要做好吧', 'star': 3}
{'descr': '好', 'star': 5}
{'descr': '酒店环境不错，而且房间也不小，就是偏僻了点', 'star': 5}
{'descr': '环境不错，价格可以。。。。。。。。。。', 'star': 5}
{'descr': '确实很干净，床也很大，沐浴也很舒服，就是窗户关不严实，天冷了以后是个问题。', 'star': 5}
{'descr': '干净，环境好，服务到位，', 'star': 5}
{'descr': '卫生干净，服务当当滴。', 'star': 3}
{'descr': '还行，环境一般，价格比较适中，周边交通方便，酒店挺好找的', 'star': 5}
{'descr': '服务良好，但是订单不准，定两间留了一间，希望以后注意。', 'star': 5}
{'descr': '房间有点冷，网速慢，其他还行。', 'star': 3}
{'descr': '房间有点冷，网速慢，其他还行。', 'star': 3}
{'descr': '服务很好  就是热水有待提高  房间还可以  适合两个人住', 'star': 5}
{'descr': '服务很好  就是热水有待提高  房间还可以  适合两个人住', 'star': 5}
{'descr': '我一共换了三次房间 第一次是没有换床单 我打开辈子还看见猫猫 第二次是电脑不能用 后来又换了一次 服务员进门不敲门直接拿卡就开了 卫生一般 条件很简陋 服务员很少 态度还可以', 'star': 1}
{'descr': '我一共换了三次房间 第一次是没有换床单 我打开辈子还看见猫猫 第二次是电脑不能用 后来又换了一次 服务员进门不敲门直接拿卡就开了 卫生一般 条件很简陋 服务员很少 态度还可以', 'star': 1}
