{'短评内容': '性价比还不错，就是晚上有点吵，睡得不好', '短评打分': 4}
{'短评内容': '房间一般，设施有点旧，早餐很简单。', '短评打分': 4}
{'短评内容': '位置好', '短评打分': 5}
{'短评内容': '近宁国市中心，出行方便，有免费停车场，酒店设施齐全在宁国应属较好酒店了，服务满意，自助早餐还是可以的，推荐入住。', '短评打分': 4}
{'短评内容': '有停车场，位置比较好，周边比较繁华，吃喝玩的都有。酒店挺干净，房间也挺大，里面设施齐全，也挺新的！总之挺好', '短评打分': 5}
{'短评内容': '空调不好用！', '短评打分': 4}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '设施一般', '短评打分': 3}
{'短评内容': '性价比还不错吧', '短评打分': 5}
{'短评内容': '地方不错，价格也很适中，还有早饭呵呵，有机会还来', '短评打分': 5}
{'短评内容': '一般商务出差尚可，空调制热功能不好，可能那天是气温骤降的缘故吧！交通还是挺方便，酒店对面有烧烤，面店都还错！', '短评打分': 3}
{'短评内容': '酒店很老旧，房间地毯非常脏，沙发上布满污渍，都不敢坐上去。好在床上还算干净，卫生间卫生也还行。早餐种类极少，八点钟去吃的时候，基本都凉了。好在只住了一晚，酒店再不翻新的话，不推荐入住。', '短评打分': 4}
{'短评内容': '酒店环境很好 设施比较完善 最主要的是服务人员服务态度很好 很满意', '短评打分': 5}
{'短评内容': '不错的体验，一行人住着都感觉很好，以后还会选择这里', '短评打分': 5}
{'短评内容': '性价比很好，周围吃饭地方多性价比很好，周围吃饭地方多性价比很好，周围吃饭地方多性价比很好，周围吃饭地方多', '短评打分': 5}
{'短评内容': '经济实惠，标间是1米3的，还带双早。入住的标间空调不制冷，联系前台说是房间都住满了，但后来还是给换到2楼套房了，说是给经理留的房间给让出来了，价钱还是按标间结算。', '短评打分': 5}
{'短评内容': '性价比挺好的，房间挺好，浴室水温不错，早餐还需要加强！总体来说物有所值', '短评打分': 5}
{'短评内容': ' 准三星吧，早餐很差，国际饭店客满，只有住这里。', '短评打分': 3}
