{'短评内容': '一般般，细节太差', '短评打分': 4}
{'短评内容': '安逸舒适', '短评打分': 5}
{'短评内容': '第一次入住，还不错，空气很好，在商业街里面，很方便，还可以出去圈圈，房间虽然小了点，整体还是够用的。', '短评打分': 5}
{'短评内容': '西溪边的酒店，位置好。 服务也到位，每日卫生也确实能做到位，是一个出差、旅游的好选择。 如下次到西溪出差还是会第一优先考量。', '短评打分': 5}
{'短评内容': '酒店非常近西溪湿地公园，环境安静，是渡假的好地方。酒店很多设施与悦榕庄共用，去SPA中心还有75折优惠。酒店提供的早餐品种虽然不多，但质量还是可以的。酒店服务态度很好，令人有宾至如归的感觉！', '短评打分': 4}
{'短评内容': '房间不是很大 环境还可以 早餐种类较少 性价比一般', '短评打分': 5}
{'短评内容': '愉快的入住体验，湿地风景极好，第二次来了，下次还会入住。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '西溪悦椿酒店就在静谧的西溪湿地畔，晚上安静', '短评打分': 5}
{'短评内容': '酒店很不错，服务人员态度好，房间设施新，地段安静。', '短评打分': 5}
{'短评内容': '房间隔音不好，听得到隔壁的声音', '短评打分': 4}
{'短评内容': '位置不错、周围步行街、餐饮便利，适合度周末', '短评打分': 4}
{'短评内容': '早餐不错，房间小。', '短评打分': 5}
{'短评内容': '房间小了些…其他都还可以，相对比其他酒店价格有一点优势，早餐选择不多', '短评打分': 5}
{'短评内容': '赞啊好地方', '短评打分': 5}
{'短评内容': '房间不大 但整体干净 一楼大堂装修还好，二楼的装修感觉不上档次。。。有种快捷酒店的赶脚。位置在西溪湿地附近 去湿地比较方便。反倒是隔壁的杭州西溪天堂西轩酒店非常值得一住~', '短评打分': 5}
{'短评内容': '非常不错的酒店，阳台看出去风景很好。早上空气很清新，附近小路散散步很幽静很舒服。地理位置很好，离西溪湿地很近，周边吃的也很多，还有外婆家旗舰店。', '短评打分': 5}
{'短评内容': '之前住过云南抚仙湖悦椿酒店，印象挺好，所以一看西溪湿地也有，没犹豫就预订了。  其他都还好，就是前台负责接待的小姐态度不是太好，有点不太愉快', '短评打分': 4}
{'短评内容': '贵贵贵，达不到价值，下次不敢住了', '短评打分': 1}
{'短评内容': '环境总的来说不错，人不多，服务比较好，价格稍高。', '短评打分': 5}
{'短评内容': '房间的设计稍微有点low，装修方面有点粗糙，但是酒店服务相当到位，得知我们是周年纪念还特地送了瓶红酒，服务员都笑容可掬也会主动关心客人，感觉很好。房间有点小了，包包什么的没地方放，其他还行。', '短评打分': 5}
