{'短评内容': '嗯', '短评打分': 5}
{'短评内容': '轮渡SQL咯哦哦OK啦', '短评打分': 5}
{'短评内容': '位置不错，方便', '短评打分': 4}
{'短评内容': '1.8米特价大床房', '短评打分': 4}
{'短评内容': '好，位置不错', '短评打分': 5}
{'短评内容': '环境凑活，设施不太好，好像很古老了，凑活吧', '短评打分': 2}
{'短评内容': '   房间空间大  ', '短评打分': 4}
{'短评内容': '房间环境特别差，隔音不好，还有股霉味，房间里有蚊子，又没有蚊香提供！由于手机充电器落在房间了，打了好几回电话，最后也没有给处理，态度特别差！', '短评打分': 1}
{'短评内容': '地理位置不错，交通便利，就是房间太小。', '短评打分': 5}
{'短评内容': '房间干净卫生，服务很好，交通便利，价格便宜，设施齐全', '短评打分': 5}
{'短评内容': '房间还行，就是有点陈旧！', '短评打分': 5}
{'短评内容': '还算满意，', '短评打分': 5}
{'短评内容': '房间太小 水压太小', '短评打分': 4}
{'短评内容': '整体还不错，价格也合适', '短评打分': 4}
{'短评内容': '环境好，干净整洁，空间很大，服务人员态度也不错', '短评打分': 5}
{'短评内容': '设施一般，交通便利', '短评打分': 4}
{'短评内容': '环境不错，房间干净整洁，交通还好！', '短评打分': 3}
{'短评内容': '环境好，比较安静，房间整洁干净！', '短评打分': 3}
{'短评内容': '满意，满意，绝对满意，就是喜欢住这里', '短评打分': 5}
{'短评内容': '整体还不错，比较安静，也比较干净。不足就是卫生间马桶位置让人蛋疼，不好蹲下', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '环境一般，窗户外竟然是一个广告牌。电梯还坏了。', '短评打分': 1}
{'短评内容': '舒适干净，价格公道。', '短评打分': 3}
{'短评内容': '酒店新开不久，设备较新，价格还可以，晚上门口有很多排档，早餐没去吃，看样子不太好', '短评打分': 5}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '位置有些偏不太好找，不过距离车站不算远，客房内的环境还不错空间很大，就是周边环境有些乱.', '短评打分': 5}
{'短评内容': '酒店条件不错，整体比较达标并且性价比不错，价格优惠住着也很舒服.', '短评打分': 5}
{'短评内容': '酒店还可以，但是周围的环境有点乱，晚上水压有点小，上网网速挺快的，总体来说，值得推荐', '短评打分': 5}
{'短评内容': '综合来说很不错，比较干净，闹中取静,门口晚上还有摆摊的，也有烧烤，旁边还有一个超市，很方便', '短评打分': 5}
{'短评内容': '虽然少确认了一间房，但房间设施和环境相当不错，工作人员态度也热情，超赞', '短评打分': 5}
{'短评内容': '该洒店地处交通要道，方便出行，适合自驾游客人，设施一般，热水不错，服务态度好。邓', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '酒店内部还可以，床太硬了，可能经济型酒店都这样吧，就是酒店旁边太难叫到出租车了，而且那里的交通真的很复杂', '短评打分': 5}
