{'短评内容': '下次来厦门还是会选择这里。', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '交通非常便利，出门就是中山路，服务态度也很好，推荐！', '短评打分': 5}
{'短评内容': '房间很干净卫生，交通也方便，服务态度特别好！', '短评打分': 5}
{'短评内容': '房间很干净，噪音也比较小，东西食品也比较全，各项服务设施也比较全，洗漱方面也可以。住了好几回了，相比较都市快捷旅店来说，各项服务也比较速度，价格方面也较之之前的有优势，下次我还会选择这家酒店', '短评打分': 5}
{'短评内容': '酒店价格实惠，住宿环境整洁安静，工作人员态度热情亲切，交通便捷，周围小吃很多。', '短评打分': 5}
{'短评内容': '交通方便,环境优雅,价格优惠,干净卫生，条件舒适,档次较高,房间宽敞,出行方便', '短评打分': 5}
{'短评内容': '，。。。。？？？', '短评打分': 5}
{'短评内容': '酒店大门在装修，正如前网友评论除了洗澡水大其他都不行，洗澡在房间里用玻璃隔开，玻璃门坏的，和儿子住，洗澡不方便，房间很小，除了床头柜一个摇晃的插头，再无其他电源插头，网上订180左右如果第二天住就是258，当然不可能住了，不值这个价，是我住的最不好的一家酒店。', '短评打分': 5}
{'短评内容': '一般般啦哈哈哈哈哈哈哈哈哈哈', '短评打分': 5}
{'短评内容': '整体还可以，就是外观差点', '短评打分': 5}
{'短评内容': '环境OK，空间OK，睡的蛮舒适舒坦的。', '短评打分': 5}
{'短评内容': '非常差劲，灯也坏了，服务态度又差。大家绝对不要去住。宁愿睡街头', '短评打分': 5}
{'短评内容': '53673737383836788844', '短评打分': 5}
{'短评内容': '63773737737383838', '短评打分': 5}
{'短评内容': '房间干净，位置方便，很好', '短评打分': 5}
{'短评内容': '以后不会在住了！洗澡一半！没水', '短评打分': 3}
{'短评内容': '卫生还可以，其他都还行，就是洗澡老没有热水、昨天晚上洗澡洗一半突然没有热水了！气死我了！', '短评打分': 3}
{'短评内容': '酒店就是很一般的经济型酒店，设施服务都很一般，在巷子深处（单行线）。地理位置不错，周边小店林立，离步行街很近，走路不到十分钟，台湾小吃街也很近', '短评打分': 4}
{'短评内容': '酒店设施陈旧，服务尚可，位置不错，老厦门的感觉！餐饮非常多的选择，离步行街也不远。走到主路5分钟  。', '短评打分': 5}
{'短评内容': '非常满意，服务，环境，设施都喜欢，赞一个！', '短评打分': 5}
{'短评内容': '房间不是很大，但是比较干净。最最重要的不是这些，而是它的位置，无论是购物，吃饭，夜市，还是去码头坐轮渡，真的非常方便。不错。', '短评打分': 5}
{'短评内容': '干净舒适，很满意', '短评打分': 5}
{'短评内容': '位置很方便', '短评打分': 5}
{'短评内容': '满意', '短评打分': 5}
{'短评内容': '满意', '短评打分': 5}
