{'短评内容': '忘拍图了，挺好的1.可以免费停车    2.可以住高层，相对来说安静。   3.房间很干净简洁，看着很舒服温馨   4.有可以学习工作的桌子   5.服务很亲切，打扫的阿姨也特别好', '短评打分': 5}
{'短评内容': '酒店在白果林地铁D口不远，卫生,干净,清净，吃饭也很方便,楼下也有比较大的超市，住得还是比较满意舒服，下次一定还来哦！不过，门口的标志不太明显，我找了半天，希望外外面立个带灯牌子，方便晚上找哦', '短评打分': 5}
{'短评内容': '离地2号铁站非常近，方便', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '住宿很不错', '短评打分': 5}
{'短评内容': '第二次入住 环境还不错', '短评打分': 5}
{'短评内容': '非常不错哦！', '短评打分': 5}
{'短评内容': '非常不错哦！', '短评打分': 5}
{'短评内容': '非常不错哦！', '短评打分': 5}
{'短评内容': '非常不错哦！', '短评打分': 5}
{'短评内容': '交通方便，离白果林地铁站几分钟路程。周边小餐馆多，品种选择大，而且价格大众化，味道不错。工作人员态度好。房间卫生干净。提醒一下，金广快捷与锦江之星是一家。', '短评打分': 5}
{'短评内容': '房间酒店挺干净的，就是周围不是怎么好逛', '短评打分': 4}
{'短评内容': '好评，非常喜欢，下次还来', '短评打分': 5}
{'短评内容': '离地铁近，比较好找，价格也还可以，卫生不错。', '短评打分': 4}
{'短评内容': '环境不错，地理位置也挺好，离地铁站很近，也比较容易找到。', '短评打分': 4}
