{'短评内容': '好好好！', '短评打分': 5}
{'短评内容': '真的是强烈推荐的客栈，服务很贴心到位，特别是小光，非常感谢他的热心服务，还有客栈和设备都是让人享受到超值。我们8个人每次都要定四间房，为了挑酒店花了好些天，同时打开三个app.多方比较，选了听花堂也没底，到了住了后觉得真的很棒，在古城里，出去也很方便。', '短评打分': 5}
{'短评内容': '房子挺旧，但交通便利', '短评打分': 4}
{'短评内容': '一般般的快捷酒店 设施一般', '短评打分': 4}
{'短评内容': '床头开关，有几个都是坏的，卫生间淋浴房内电线裸露，洗个澡真的好吓人！！！附近酒店携程搜索这家酒店拍第一，不知道携程方面与这家酒店的广告费是多少。', '短评打分': 4}
{'短评内容': '常住的地方了，很方便', '短评打分': 5}
{'短评内容': '很方便，好停车，服务好，常住，可以一赞', '短评打分': 5}
{'短评内容': '很方便，好停车，服务好，常住，可以一赞', '短评打分': 5}
{'短评内容': '很方便，好停车，服务好，常住，可以一赞', '短评打分': 5}
{'短评内容': '其他都还可以，就是空调有点不给力，老板人好换了三次', '短评打分': 4}
{'短评内容': '其他都好，就是空调不太给力啊', '短评打分': 4}
{'短评内容': '其他都好就是空调不太给力啊', '短评打分': 4}
{'短评内容': '还不错，挺大的', '短评打分': 4}
{'短评内容': '环境不错，简单，干净。但无线网络不稳定', '短评打分': 5}
{'短评内容': '房间一般，一进去有股味儿~但还算干净。只是居然不提供洗发水、沐浴露，什么都得自带。除非你用酒店的有偿使用的那些、、、总体说，中上等吧', '短评打分': 5}
{'短评内容': '**的，一个鸟地方。不仅房间里面环境差，床单特别脏。最重要的是服务态度极其之差。前台的人拽的跟二五八万一样。', '短评打分': 1}
{'短评内容': '＋雨田假日酒店服务态度不错。', '短评打分': 3}
{'短评内容': '屋子在边上，不怎么干净没有吹风机窗子不能闭紧前台态度一般', '短评打分': 3}
{'短评内容': '一家很差劲的酒店,卫生条件差,空调也不行，抽水马桶还莫名的堵，晚上还有人敲门,然后塞进乱七八糟的卡片.', '短评打分': 1}
{'短评内容': '房间条件太差了，对不起它的价格，门缝里好多塞小卡片的，没法住~', '短评打分': 1}
{'短评内容': '卫生条件还行，房间适中，设备略显陈旧，靠近韶山路一侧晚上很吵，影响休息。希望能够提供早餐最好。', '短评打分': 5}
{'短评内容': '地理位置不错的，房间很大，就是浴室卫生有待加强一下。', '短评打分': 5}
{'短评内容': '  还可以。', '短评打分': 3}
{'短评内容': '对面就是沃尔玛，购物很方便。也很实惠。就是在马路边上，可能晚上会有点吵，不过头上窗子后还是可以睡得很安稳的。房间内的配套也很齐全，当然是要收钱的。', '短评打分': 5}
{'短评内容': '基本可以\n优点：房间较大，走廊漂亮，网速较快，对面是沃尔玛，一层有火车售票处。\n缺点：床上用品陈旧，卫生间没有放牙具和晾洗衣物的位置，走廊尽头地下总有很多换洗用品堆放。电视和书桌的位置应该对换，就不档通道了。', '短评打分': 5}
{'短评内容': '不隔音 网速太慢 大概在这里办事才来住吧', '短评打分': 3}
{'短评内容': '由于朋友强烈要求住在雨花亭沃尔玛附近，这家确实是不二之选。房间够大，卫生还行，只是靠街边的一面有些吵。望加隔音窗户', '短评打分': 5}
{'短评内容': '位置很好，卫生一般。地面不是很干净。一般吧。', '短评打分': 1}
{'短评内容': '太不怎么样了  进去一看就像招待所  虽然是新装修的  但是环境卫生等都不好  重要的是有线网络不能上  酒店自称有无线 但就是搜不到', '短评打分': 1}
{'短评内容': '位置不错，房间也还行，就是盥洗盆漏水', '短评打分': 3}
