{'短评内容': '好！！！！！', '短评打分': 5}
{'短评内容': '完美', '短评打分': 5}
{'短评内容': '早餐稀饭馒头，煮鸡蛋。三个素菜，都冰凉的。酒店位置离市区二三十公里很偏僻，有停车场。离诲边遥远能看到但无法去。山下只有一趟公交车进市区。', '短评打分': 2}
{'短评内容': '现时代WIFI不能正常使用是种痛苦！', '短评打分': 4}
{'短评内容': '不是很推荐此家酒店，交通不方便，吃饭只可以在酒店里面吃，周边没有吃饭的地方。入住人气不足，提供的早餐种类少', '短评打分': 3}
{'短评内容': '入住两个晚上，环境与服务都不错。', '短评打分': 5}
{'短评内容': '太偏僻了。', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '环境很好！！很棒！！！有机会还回来！！！', '短评打分': 5}
{'短评内容': '酒店没有wifi，上下山能累死，不过就当的锻炼了身体了', '短评打分': 5}
{'短评内容': '不错 性价比很高', '短评打分': 5}
{'短评内容': '早上可以爬山，风景不错', '短评打分': 5}
{'短评内容': '环境不错，餐厅也很好', '短评打分': 3}
{'短评内容': '特别好 早餐十分棒 环境好的没话说 ！！', '短评打分': 3}
{'短评内容': '环境条件还不错，交通不大方便。', '短评打分': 5}
