{'短评内容': '整体都还好', '短评打分': 5}
{'短评内容': '一般般', '短评打分': 4}
{'短评内容': '环境还可以，国庆期间出行，鼓浪屿人不算多，别墅离小吃街不远，不过位置还是挺难找的，前台服务不错，帮忙提行李上去，还可以到世界名人馆接我们', '短评打分': 5}
{'短评内容': '不错，环境很好。酒店位置有点难找，但小哥可帮你带路，周围环境很幽静，不会担心晚上被吵到。设施都很齐全，质量都还不错。', '短评打分': 5}
{'短评内容': '总体还不错，下次去了还住这里', '短评打分': 3}
{'短评内容': '这是我住过最差的酒宾馆 屋内卫生很不干净 以至于全是蟑螂  而且是特别大的那种 睡到半夜爬到床上和空调里面 没吓死我 下去喊管事的 也没说给换房 拿了瓶杀虫剂就完事了 第二天少收了88元就算完事了 还说老板不在 他是干活的 着急走 没有多余时间跟他理论 告诉大家一下 千万别被骗了  仔细看我的照片中编织床头里面的黑影黑色的蟑螂 凌晨两点恰好呗手机拍到 要不还不承认呢  空调也非常差 往床上滴水', '短评打分': 1}
{'短评内容': '服务很好，酒店位置不错，虽然在半山腰，为了风景费点力气还是值得的，总体来说还是不错的，给点建议就是酒店周围弄点氛围灯，海景房阳台放个遮阳伞会更好一点。', '短评打分': 5}
{'短评内容': '??气好', '短评打分': 5}
{'短评内容': '很幽静、服务小哥很热情。接送客人都帮忙拿行李。就是设施老了些。', '短评打分': 4}
{'短评内容': '环境幽静，很安静，小哥服务很到位，唯一不足，要水要东西得下楼去要！比较麻烦，要是能有电话就更完美了！', '短评打分': 5}
{'短评内容': '房间较小，和图片宣传有较大出入，床不舒服。但服务还可以。', '短评打分': 3}
