{'短评内容': '不好，不想去第二次', '短评打分': 2}
{'短评内容': '前台的服务也很热情，很喜欢，而且价格实惠，房间又大又安静，环境很好，比较干净卫生，Wifi很快，打游戏都没掉过线，太棒了，很满意得一家酒店，推荐大家入住，赞一个，会常来的', '短评打分': 5}
{'短评内容': '前台的服务也很热情，很喜欢，而且价格实惠，房间又大又安静，环境很好，比较干净卫生，Wifi很快，打游戏都没掉过线，太棒了，很满意得一家酒店，推荐大家入住，赞一个，会常来的', '短评打分': 5}
{'短评内容': '挺好的吧，都挺方便的，离大型超市近，附近的饭店也挺多，服务态度还算说的过去吧，地板啥的看着老了点挺好', '短评打分': 4}
{'短评内容': '有停车场，可以在楼下停车', '短评打分': 5}
{'短评内容': '还可以吧', '短评打分': 4}
{'短评内容': '地理位置优越，价格实惠，交通便捷，卫生干净，酒店设施还是比较全的。除了毛巾有点旧之外，其他的都不错的。', '短评打分': 4}
{'短评内容': '还可以，一般吧。', '短评打分': 4}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '不错 交通便捷', '短评打分': 4}
{'短评内容': '环境太差了，走了还收我床单清洗费20，屋子里居然还有蟑螂，房内布局，我也是够了，哎，总之就是差，超差，在也不去了，', '短评打分': 1}
{'短评内容': '酒店不远就是超市。买东西，闲逛都方便，公交车门口就有。房间面积不是很大，但家庭住足够，该有的也都有，挺不错的。照片忘照了，如果你不是很苛刻的人，应该会满意的', '短评打分': 5}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '性价比可以。', '短评打分': 4}
{'短评内容': '很干净，家居有点旧，服务很好', '短评打分': 3}
{'短评内容': '房间里的东西未用，但是怀疑是我们用的，很上火', '短评打分': 1}
{'短评内容': '设施很旧，靠近马路很吵。位置很不错。在市中心。', '短评打分': 1}
{'短评内容': '交通方便，在市区，距离商业街夜市等都很近！', '短评打分': 5}
{'短评内容': '环境优美，家具旧了些，一切还是可以的！', '短评打分': 3}
{'短评内容': '房间 还行  家具有点破损，服务还是很好的', '短评打分': 5}
