{'短评内容': '早餐很好，房间干净', '短评打分': 5}
{'短评内容': '酒店评价关键标准，卫生，差点', '短评打分': 3}
{'短评内容': '干净舒适，停车方便，早餐也不错，很满意', '短评打分': 5}
{'短评内容': '酒店很老了', '短评打分': 5}
{'短评内容': '有停车场，很方便', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '忽悠人的，89的描述都是假的哦，大家不要上当', '短评打分': 2}
{'短评内容': '服务热情，态度佳。酒店位置好，在省医旁边，步行三分钟到。用餐方便。我的东西丢在房间，服务员将它收起来，完善的交还给我。感谢！', '短评打分': 5}
{'短评内容': '千万不要网上预订这家啊，网络预订和到店预订的差别对待，见人下菜碟，后悔死了，分配的房间都是最差的，明明有空房都不给调换。', '短评打分': 1}
{'短评内容': '环境不错不错', '短评打分': 5}
{'短评内容': '不错的酒店', '短评打分': 4}
{'短评内容': '房间竟然没有洗手间也不说明下，真是第一次见这样的宾馆。价格还115', '短评打分': 2}
{'短评内容': '十多个句字，住的不错，服务不错', '短评打分': 3}
{'短评内容': '还可以，很安静，就是空调没开', '短评打分': 3}
{'短评内容': '房间不能开空调！！！以后需要改正', '短评打分': 5}
{'短评内容': '在纬九路，还可以吧，挺干净的，就是价格也不便宜。', '短评打分': 5}
{'短评内容': '环境还可以，必竟价格便宜', '短评打分': 3}
{'短评内容': '干净舒适，性价比较高，预定信用良好，标间还有新装的电脑网速很给力！推荐！', '短评打分': 3}
{'短评内容': '磐石宾馆吃住条件都挺不错的，物有所值!', '短评打分': 3}
{'短评内容': '房间还可以，有点陈旧，但距离省立医院比较近，有区位优势。', '短评打分': 5}
{'短评内容': '住在三楼，晚上和蚊子进行了殊死搏斗，其他还不错，离省立医院近', '短评打分': 5}
{'短评内容': '离省立医院比较近，环境还不错，我们定的三人间卫生还可以，由于是网上定的所以不带早餐可别人同样的消费却包含。总的来说还不错啊 ！', '短评打分': 5}
{'短评内容': '竟然没卫生间，又改个185的。', '短评打分': 3}
