{'短评内容': '下个礼拜', '短评打分': 5}
{'短评内容': '实在是很差 房间有怪味 房门总是报警滴答滴答响不停 前台脸色很难看 说话也不会理 再也不会去住了 差评', '短评打分': 1}
{'短评内容': '经济实惠呗', '短评打分': 4}
{'短评内容': '就是没供应我早餐', '短评打分': 4}
{'短评内容': '早餐还可以，我一个人住的，感觉不错，酒店位置也是好位置，有停车场，不错，以后出差过来还住这里', '短评打分': 5}
{'短评内容': '很不错的体验，很安静。朋友很满意', '短评打分': 5}
{'短评内容': '每次都会住提香格调，房间大', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '环境挺好', '短评打分': 5}
{'短评内容': '挺好，挺不错的', '短评打分': 5}
{'短评内容': '很一般', '短评打分': 3}
{'短评内容': '价位低，还不错', '短评打分': 5}
{'短评内容': '设施有点旧，周边还挺方便', '短评打分': 4}
{'短评内容': '设施陈旧，价格较高，服务也不好', '短评打分': 1}
{'短评内容': '厕所太臭，老宾馆。应该是没加装防臭地漏', '短评打分': 4}
{'短评内容': '没有早餐不好，其他还可以！', '短评打分': 3}
{'短评内容': '不错。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '帮别人订的，在此就不发表言论了，不知道是什么情况', '短评打分': 5}
{'短评内容': '破破的酒店 一個星也沒有 浴室超髒的 打掃的算勤快 早餐勉勉強強 出入超級不方便的 但周遭吃的很多 五樓以下 應該可以說沒網路了 除非半夜大家睡了 才可能輪的到你來上 不會在來喔....', '短评打分': 1}
{'短评内容': '设施旧，卫生间喷头漏水，，，，，，，，，\n服务态度不好，再不改进该换地方了', '短评打分': 1}
{'短评内容': '不错，安静，设施有点陈旧，被褥单子有点旧，该换新的了', '短评打分': 5}
{'短评内容': '酒店非常脏,早餐是我去过的酒店中最差的一个,价格也不便宜,住了三天,早餐券没有一天送对的......', '短评打分': 1}
{'短评内容': '房间很大。就是外面在施工，稍稍有点吵。位置比较中心，离大型超市很近', '短评打分': 5}
{'短评内容': '装修得有点情调，但房间有点陈旧了，洗澡水流得满地都是。还不如一般的快捷酒店。有些不值这个价。', '短评打分': 1}
{'短评内容': '位置非常好，周边楼盘都是是蚌埠房价最高的。早餐也不错，房间布置也还有点情调。', '短评打分': 5}
{'短评内容': '还好，，，，，，，，，，，，，，，，，，，，，，，，，', '短评打分': 5}
{'短评内容': '很好的酒店，服务、设施都很好，就在市中心，是旅游住宿的好选择；', '短评打分': 5}
{'短评内容': '装修陈旧', '短评打分': 3}
{'短评内容': '还行，这个价位，凑合，地理位置还好，早餐太差。', '短评打分': 5}
{'短评内容': '滿意…！！舒適干淨…服務態度好…早餐品種多樣…有家的感覺…～恩…加油…～', '短评打分': 3}
{'短评内容': '洒店会议多，住房经常紧张。前台服务不好。他们可能不愁客。感觉不好。位置还不错。购物方便。有复式房间，价格高，还要上下楼不方面', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '比较干净，价格也不贵,就是退房速度太慢了。', '短评打分': 5}
{'短评内容': '性价比较高，在蚌埠找酒店困难的，可以试试这家酒店。', '短评打分': 5}
{'短评内容': '酒店生意看来很火，入住时被告知只能住一天，还好计划次日离开蚌埠。酒店位置不错，设施服务都还可以，餐厅的菜量很大，味道不错', '短评打分': 5}
{'短评内容': '本来定好畅聊房间的，而且也确认了，到现场却说没有了！！换了个什么豪华单人间，也不怎么样，地毯老脏了！早餐不行啊！！！不过话说回来，蚌埠也没有像样的酒店了！！哎，没办法啊\n', '短评打分': 1}
{'短评内容': '格调温馨，服务挺好，早餐丰盛。就是价位在蚌埠偏高，前面的杂草地改进下更好，总的来说还可以', '短评打分': 5}
{'短评内容': '还不错！', '短评打分': 3}
{'短评内容': '满意！', '短评打分': 3}
{'短评内容': '房间很温馨，还有鲜花，这很有创意，给人一种家的温暖，如有可能，我还会再住在这里的。', '短评打分': 5}
{'短评内容': '服务还不错，住在2楼，饭菜味太大，房间装饰材料味也大。', '短评打分': 1}
{'短评内容': '酒店布置很温馨，地理位置也还可以，就是空调有点响；', '短评打分': 5}
{'短评内容': '小情小调小俗气，不过俗得不讨厌。服务也很质朴。\n如果在附近办事的话，住这儿还是不错的。', '短评打分': 5}
{'短评内容': '不错的酒店, 早餐也不错的, 我家宝贝很喜欢的!', '短评打分': 5}
{'短评内容': '环境也不错, 早餐也很好的, 下次还会住的.', '短评打分': 5}
{'短评内容': '酒店的环境很好，附近有乐购和大型超市，房间设计的比较复古，服务很好，早餐也很丰盛，值得一住', '短评打分': 5}
{'短评内容': '本身城市不大，所以位置稍偏倒不是什么大问题，但对于这个价位，实在有些不值了，无论是硬件还是服务等方面。', '短评打分': 1}
{'短评内容': '总体感觉不错，房间也很干净舒适不过地理位置不错呀！', '短评打分': 5}
{'短评内容': '地理位置不错就是大门离开主干道远了一些房间布置还可以饭菜可口', '短评打分': 5}
{'短评内容': '还可以，房间空调不太好', '短评打分': 3}
{'短评内容': '性价比一般', '短评打分': 3}
{'短评内容': '家乐福旁边，空调不是很好', '短评打分': 1}
{'短评内容': '房间挺干净的，服务也不错，就是设施一般，这样的价格在蚌埠来说有点高', '短评打分': 5}
{'短评内容': '价格太高。', '短评打分': 5}
{'短评内容': '价位和服务不成正比', '短评打分': 3}
