{'短评内容': '早餐还不错', '短评打分': 4}
{'短评内容': '有点旧，设施还行，空间不小', '短评打分': 5}
{'短评内容': '出差再次入住，服务非常贴心，值得推荐', '短评打分': 5}
{'短评内容': '挺不错的！', '短评打分': 5}
{'短评内容': '挺不错的！', '短评打分': 5}
{'短评内容': '酒店位置周边较繁华，设施齐全，大小适中，价格合理', '短评打分': 4}
{'短评内容': '房间和早餐一般，价格也不算很优惠！', '短评打分': 3}
{'短评内容': '很好，环境非常好，价格特别合适，性价比较高。很好，环境非常好，价格特别合适，性价比较高。很好，环境非常好，价格特别合适，性价比较高。', '短评打分': 5}
{'短评内容': '非常好！来济宁绝大多数时候都住这里，房间卫生条件是很好的，房间比较大，床铺还是很舒服的，周边打车不是太方便。', '短评打分': 5}
{'短评内容': '酒店服务很好，位置不错，很榜', '短评打分': 5}
{'短评内容': '地段好，服务好', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '每次都住，还不错', '短评打分': 4}
{'短评内容': '帮客户订的，客户比较满意', '短评打分': 5}
{'短评内容': '住宿环境不错，设施齐全，就是能听到路上的声音', '短评打分': 5}
{'短评内容': '酒店地处市中心，出入方便，服务员态度很好，不错的酒店', '短评打分': 4}
{'短评内容': '暖气好装修好房间大很值', '短评打分': 5}
{'短评内容': '硬件比较低，早餐很丰富，基本满意', '短评打分': 4}
{'短评内容': '十酒店不错，挺好的，干净舒适.', '短评打分': 3}
{'短评内容': '客房很大，比较整洁，自助晚餐很丰富，就是退房速度比较慢，需要改进。', '短评打分': 5}
{'短评内容': '该酒店是一个性价比相当不错的名副其实的四星级酒店，只是停车在门前有点不太方便。会向大家推荐的。建议餐厅应多一些济宁的地方菜系就更好了。', '短评打分': 5}
{'短评内容': '酒店位置很好，服务也挺好，不过空调是中央空调统一控制，不能自己设置温度不给力，房间感觉还是蛮热的。洗漱用品写的是收费不过后来确认了是不收费乱写啊~', '短评打分': 1}
{'短评内容': '位置不错，出行方便，酒店设施还算行，早餐一般般，来济宁应该还会住这里 \n', '短评打分': 5}
{'短评内容': '不错，强烈推荐，环保意识较强，最好自带洗漱用品', '短评打分': 5}
{'短评内容': '在当地也没有更好一点的酒店了, 设施还可以吧', '短评打分': 5}
{'短评内容': '4星级酒店,服务人员素质好,出行方便。\n居住合适,酒店餐饮不错.', '短评打分': 5}
{'短评内容': '济宁市中心酒店,距离闹市区很近.\n出行方便', '短评打分': 5}
{'短评内容': '该酒店位置不错，房间大但设施不够完备，价格稍高了些。', '短评打分': 5}
{'短评内容': '酒店非常宽敞、明亮。客户服务态度也非常好。在当地是非常不错的出差首选！', '短评打分': 5}
{'短评内容': '整体不错,就是电视太小,不含早餐,', '短评打分': 3}
{'短评内容': '济宁市区四星级标准的。相对而言不错，价格也实惠。当晚还免费将普通标房升级了豪华标房。早饭在当地算是相当丰盛了，各种山东风味的都能见到。总体而言不错！\n还有贴心水果酸奶附送，不错！', '短评打分': 5}
{'短评内容': '在当地还算可以的,就是周围没有什么可以购物的地方不太方便', '短评打分': 5}
{'短评内容': '这个酒店挺不错的，就是服务员感觉不是那么好，并不会主动跟您说您好。', '短评打分': 5}
{'短评内容': '典型的山东酒店，客服人员态度有点横！房间还行，早餐不太丰富。。。山东酒店，南方人吃的东西太少', '短评打分': 5}
{'短评内容': '支持推荐中。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '支持中。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '住过两次，觉得不错，设施较新，服务周到，就是早餐不是很丰富', '短评打分': 5}
{'短评内容': '位置较好，交通比较方便，酒店设施还算不错，就是早餐不是很丰富，餐点补充不是很及时。', '短评打分': 5}
{'短评内容': '房间硬件设备还行，但普通间的不是液晶电视。交通便利，距离运河城很近。', '短评打分': 5}
{'短评内容': '服务还不错，房间硬件设备还行，交通便利，距离运河城很近。', '短评打分': 5}
{'短评内容': '地理位置不错，早餐和自助餐不错，就是房价感觉有点高了，', '短评打分': 5}
{'短评内容': '房间挺大的，床也很大。就是设备旧了点，就是电视不是液晶的，卫生间设计有点不合理', '短评打分': 1}
{'短评内容': '环境还可以，自助餐挺不错的，很实惠，出差的时候都喜欢住这家店', '短评打分': 5}
{'短评内容': '房间环境和其他服务人员的态度都很不错，但是前台有个男服务员是个榆木脑袋，外加早餐必须登记两名才能得到2张餐券太秀逗的规定，从此以后再也不住了。', '短评打分': 1}
{'短评内容': '去济宁的首选。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '房间够大，服务中规中矩。。。。。。。。。', '短评打分': 5}
{'短评内容': '房间宽敞，早餐品种比较多，地处市中心，交通方便。', '短评打分': 5}
{'短评内容': '很好的酒店  服务很贴心  每天送杯梨水和水果 并给你张便条', '短评打分': 5}
{'短评内容': '很不错，很实惠，早餐好吃', '短评打分': 3}
{'短评内容': '1、环境优雅\n2、服务周到温馨\n3、停车服务员严谨认真\n4、早餐丰富，价格偏高\n5、房间隔音效果不是很好', '短评打分': 5}
{'短评内容': '每次去济宁都是住这一家,不能说多好,但是性价比还是不错的 ', '短评打分': 5}
{'短评内容': '酒店环境很好，服务员态度也不错，下次继续。\n', '短评打分': 5}
{'短评内容': '这个酒店整体还是不错的，细节上对于这样的饭店还是需要加强的，如：床头应该给予网络插孔', '短评打分': 5}
{'短评内容': '酒店设施比较齐全但略显陈旧，空调暖风不足，第二天加了一台电暖气，房间温度比较舒适，早餐不错，服务水准还不错。', '短评打分': 5}
{'短评内容': '济宁市比较好的酒店了，优点是服务很到位，位置好，但卫生一般，设施老旧，价格偏高。 不过在济宁真的没有什么性价比高的酒店。', '短评打分': 5}
{'短评内容': '酒店设施确实有些陈旧了，但服务尚还可以，早餐也还行。', '短评打分': 5}
{'短评内容': '赶上供暖开始，一直有水流的声音，没有太睡好，但酒店服务还可以。', '短评打分': 5}
{'短评内容': '性价比高的酒店，送水果和报纸，挺不错的，就是酒店有点吵。', '短评打分': 5}
{'短评内容': '酒店性价比可以，而且有水果赠送，早餐稍差一点，但考虑到价格，也算不错了。', '短评打分': 5}
{'短评内容': '位置好，我是我们家经理定的房，回来后基本满意。', '短评打分': 5}
{'短评内容': '电视竟然还是CRT那种，不过这个价钱也不能太要求什么', '短评打分': 5}
{'短评内容': '早餐比想象中好！没有娱乐设施啊。总体感觉还好啦', '短评打分': 5}
{'短评内容': '离市区近,周围很方便。\n便于观光，\n便于吃饭，\n便于购物，\n便于出行', '短评打分': 5}
{'短评内容': '酒店靠近市政府，是当地最好的几家酒店之一。硬件设施和服务态度均不错。早餐也挺丰盛。', '短评打分': 5}
{'短评内容': '酒店地处济宁市中心地区，交通便利。酒店服务比较人性化，入住当日，经电话联络，房间保留至深夜11点多，感到很温馨。今后去济宁出差，还会入住此饭店。', '短评打分': 5}
{'短评内容': ' 早餐不错 卫生间龙头及马桶不给力', '短评打分': 3}
{'短评内容': '还行，位置不错，就是内部显得有点陈旧了，早餐也还可以。', '短评打分': 5}
{'短评内容': '酒店很一般，将近500的房间居然在牙具上标着2元使用费。', '短评打分': 1}
{'短评内容': '酒店还不错，服务还不错，早餐还可以，下次再考虑', '短评打分': 5}
{'短评内容': '地理位置优越，房间虽然比较大，不过显得比较陈旧了。', '短评打分': 5}
{'短评内容': '还算不错的酒店吧，房间比较大，早餐也不错，品种比较多', '短评打分': 5}
{'短评内容': '在市中心，房间比较大，房间里除了有电脑还有一跟网线供自己带电脑使用。', '短评打分': 5}
{'短评内容': '性价比还可以，不过订的大床房被告知没了换得标准间，地毯挺脏的，88的自助晚餐还可以！', '短评打分': 5}
{'短评内容': ' 酒店环境较安静  室内干净  交通还可以', '短评打分': 3}
{'短评内容': '相当不错的酒店，服务说平高，房间也不错，下次还会入住', '短评打分': 5}
{'短评内容': '酒店不错，硬件环境还不错，但软件需要提升，比如相关的服务设施的建立', '短评打分': 5}
{'短评内容': '好酒店好服务，加强早餐的改善就更好了！！\n', '短评打分': 5}
{'短评内容': '不错，酒店比较新，早餐比较丰盛，性价比较高的酒店！', '短评打分': 5}
{'短评内容': '还不错的酒店,服务还不错.下次会再考虑.', '短评打分': 5}
{'短评内容': '，很好，早餐很丰富', '短评打分': 3}
{'短评内容': '服务很热心，8楼的网络需输入IP，公司电脑不能用，免费升到11楼啦', '短评打分': 5}
{'短评内容': '酒店有点老，硬件有点陈旧，不过服务还行，早餐也不错。\n\n', '短评打分': 5}
{'短评内容': '房间很好，早餐很好，服务态度很好，值得给大家推荐', '短评打分': 5}
{'短评内容': '非常不错，房间空间大，干净卫生，服务态度好，可以达到四星的水准。', '短评打分': 5}
{'短评内容': ' 这次定的是标准间，单间没有定上，房间配置跟都一样，大堂有个美女在弹钢琴，不过大堂有些吵，有些影响，', '短评打分': 3}
{'短评内容': '不错，位置好，卫生好，早餐好，房间够大，就是停车位太少，', '短评打分': 3}
{'短评内容': '还是不错的。。。。。。。。。。。；这样的酒店算是可以的了。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '实话实说，这酒店不怎么样，实在称不上四星级。设施陈旧，服务欠佳。窗户打开后就关不上，餐厅服务人员消极怠工。450多元一晚实在不值。这是第一次住，以后不想再住了。', '短评打分': 1}
{'短评内容': '市区比较不错的酒店，设施较好，大堂的香水味较好闻，早藏也很好吃', '短评打分': 5}
{'短评内容': '干净，整洁，位置好，设施齐全，早餐也不错，但作为普通的商务酒店，价格有些高。', '短评打分': 5}
{'短评内容': '还不错，3星+吧，尤其是房间里配备了电脑，可以免费上网。', '短评打分': 5}
{'短评内容': '位置很好，环境不错，早餐超赞。房间比较新，有水果送。', '短评打分': 5}
{'短评内容': '非常值得推荐的酒店，服务贴心、很干净！免费提供水果、纯净水！', '短评打分': 5}
{'短评内容': '酒店环境优雅，非常不错。值得入住，家的感受', '短评打分': 5}
